{'短评内容': '位置去哪里都是几分钟车程', '短评打分': 5}
{'短评内容': '每次出行都用京东，方便快捷', '短评打分': 5}
{'短评内容': '一切都好，都OK', '短评打分': 5}
{'短评内容': '都很好，值得入住！', '短评打分': 5}
{'短评内容': '早餐太贵了，竟然要216元', '短评打分': 3}
{'短评内容': '温馨，浪漫，位置好！', '短评打分': 5}
{'短评内容': '还好吧，该有的设施都有，但也仅此而已，房间最多20平米，客房送餐很慢，只要了份蘑菇汤和果盆等了四十分钟……', '短评打分': 4}
{'短评内容': '服务卫生都很好', '短评打分': 5}
{'短评内容': '房间，卫生，服务都好', '短评打分': 5}
{'短评内容': '十一去上海玩订的酒店，免费升级了房型，入住当天正值中秋，还送了一盒月饼(月饼颜值蛮高，六种味道都蛮好吃)，意外的惊喜！房间很宽敞，关键是干净，不管是房间的配置还是整个酒店的配置都蛮符合我的心意！窗外能看到江，风景很好！前台的服务人员态度也特别热情，酒店周边很安静，距离东方明珠估计一公里左右，距离四号地铁跟十三号地铁步行十分钟，当然可以选择骑小黄车去地铁站，超方便！总之以后还会入住！', '短评打分': 5}
{'短评内容': '升级了房型，很满意！！！', '短评打分': 5}
{'短评内容': 'jdjdjd', '短评打分': 5}
{'短评内容': '还不错，挺干净', '短评打分': 5}
{'短评内容': '还不错，环境很好，早餐不错，下次还来。', '短评打分': 5}
{'短评内容': '很好很方便，位置便利', '短评打分': 5}
{'短评内容': '预定很快，确认的也很快', '短评打分': 5}
{'短评内容': '房间很卫生，服务也不错', '短评打分': 5}
{'短评内容': '房间很好，性价比高', '短评打分': 5}
{'短评内容': '房间不错，中间装修有味道也给我们免费换了房', '短评打分': 5}
{'短评内容': '性价比超级高，来上海出差必定', '短评打分': 5}
{'短评内容': '酒店设施完善，整洁舒适，非常适合商旅人士，下次还会选择再次入住。停车场也比较大，吃饭也方便。很好的选择', '短评打分': 5}
{'短评内容': '很好的我一直来预定', '短评打分': 5}
{'短评内容': '客户住的，景观视野不错，停车不便，周边马马虎虎', '短评打分': 4}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '酒店还行，就是外面在修路', '短评打分': 5}
{'短评内容': '虽然挂了四星 总体感觉只有三星 酒店没有自己的停车场 整体感觉一般', '短评打分': 3}
{'短评内容': '推荐', '短评打分': 5}
{'短评内容': '在上海公司旁边，去办事很方便，设施虽然有些老了，不过总体还不错', '短评打分': 4}
{'短评内容': '不错的，因为附近的医院住下了的', '短评打分': 4}
{'短评内容': '挺好的，主要因为附近的医院所以住下了', '短评打分': 4}
{'短评内容': '交通方便,就是找吃的难', '短评打分': 5}
{'短评内容': '替客人订的，酒店不错，客人评价很好。位置还好，交通也便捷。', '短评打分': 5}
{'短评内容': '到底是大上海，性价比不高，一般一般，没有什么特别值得称赞的地方，住的九楼，自从住进房间就一直有机器的轰鸣声，虽然不是很吵，也懒得叫服务员，但还是能非常清楚的听到噪音', '短评打分': 5}
{'短评内容': '房间不错，酒店位置也挺好，离地铁4号线海伦路站步行十分钟，值得推荐！', '短评打分': 5}
{'短评内容': '酒店的高级房间装修很好，很舒适，以后还会入住的。', '短评打分': 5}
{'短评内容': '不错的酒店。酒店MS装修了也没有多长时间，大堂装饰很用心啊。下车行李员还蛮主动的帮我拿行李。前台接待也蛮热情，帮我安排的房间景观也不错，房间舒适，床软软的。窗外风景不错的，出行还蛮方便的。', '短评打分': 5}
{'短评内容': '不错的酒店，装修也比较新，值得推荐，值得入住，关键是离我办事的地方很近，呵呵', '短评打分': 5}
{'短评内容': '不错的酒店，整个装修比较新，离我办事的地方也非常近，值得推荐', '短评打分': 5}
{'短评内容': '交通便利，房间软件设施很好。总台钥匙设置总是消磁，要上上下下好几次。', '短评打分': 5}
{'短评内容': '能看到浦东的东方明珠，地理条件不错，很方便', '短评打分': 5}
{'短评内容': '环境很好，在窗口就能看到外滩。服务态度优秀。顶一下。', '短评打分': 5}
{'短评内容': '交通便利，酒店服务不错，就是早餐简单了点', '短评打分': 5}
{'短评内容': '酒店装修好，交通也很方便离外滩很近！去浦东也很方便！', '短评打分': 5}
{'短评内容': '设施不错，软件一般', '短评打分': 3}
{'短评内容': '跟同事一起出差订的酒店，特价豪华大床房才398一晚，很值啊。感觉标准有四到五星，细节做得很好，一次性用品质量很不错，房间也很舒适，卫生情况也好。缺点是房间稍微小了点，开门直接看到床，没有遮拦\n旁边就是1933老场坊，晚上没事儿的时候去逛了一下，原来的很多小店都关掉了，剩下的不多，但是建筑还是很有特色的，跟北京的798感觉有点像。酒店离南京东路啊陆家嘴啥的都挺近的，尤其是新建路隧道去浦东很方便。\n总', '短评打分': 5}
{'短评内容': '朋友推荐的没有错啊，酒店很好，机场到酒店也蛮方便的，2号线都能搞定。到办事的公司也方便。门口叫车也很方便的，不错。下次还会住的。', '短评打分': 5}
{'短评内容': '每次去上海都入住这家酒店，非常好，值得推荐', '短评打分': 5}
{'短评内容': '还不错，看起来比较老，但是里面条件还挺好，性价比还算比较高吧', '短评打分': 5}
{'短评内容': '酒店最近有促销活动，入住了豪华房，价格不错，性价比很高。酒店出行很方便，地铁、交通都很便捷。周围的创意园区氛围也不错。酒店大堂装饰的很有过年的气氛，蛮温馨的，下次还会入住这个酒店。', '短评打分': 5}
{'短评内容': '很喜欢九龙饭店', '短评打分': 3}
{'短评内容': '这家酒店其实环境是不错的  就是价格所谓有点高', '短评打分': 5}
{'短评内容': '这里距我办事儿的地方很近，房间也很干净舒适很不错。下次还会住', '短评打分': 5}
{'短评内容': '房间还是可以，在上海，这个价格也还可以，只是场地关系，广场小一些。', '短评打分': 5}
{'短评内容': '设施好,房间大,地理位置优越,性价比高.', '短评打分': 5}
{'短评内容': '经朋友介绍入住上海九龙的，办事的公司就在九龙附近，出行很方便，周边也有创意园、四川北路购物街，晚上还可以逛逛，朋友的推荐还不错呢。下次还会住的。', '短评打分': 5}
{'短评内容': '酒店配置很好 住的挺满意的 下次还去 因为交通很方便', '短评打分': 5}
{'短评内容': '性价比很高', '短评打分': 3}
{'短评内容': '天气宜人，到上海办事，听朋友介绍这家酒店不错的，出行方便，酒店服务人员也很热情，关键是豪华房新装修，床垫很舒服，呵呵。这次到上海选择了这家酒店入住。朋友没有介绍错，真的蛮好。下次还会住的。', '短评打分': 5}
{'短评内容': '虽说离外滩远点，但酒店本身不错，值得推荐入住。', '短评打分': 5}
{'短评内容': '不错的酒店，房间内的设施齐全，大床房的床真的超级大，唯一的不足是有些房型不含早餐。', '短评打分': 5}
{'短评内容': '我们先预订了三个相同的房间，到了酒店，办理完入住手续之后 ，才发现有一个房间小了点，后来打电话找前台，又给换了一间房。还算满意。\n最不太好的就是门口的门卫了，他们有点太不讲道理，把车放门口，取行李，他都不乐意，一个劲催促让车放一边去。欠人情味。', '短评打分': 5}
{'短评内容': '住了一晚，总体感觉很不错！就是去外滩远了点！', '短评打分': 5}
{'短评内容': '豪华房很舒服干净，人员都很热情，下次还住这家，赞！', '短评打分': 3}
{'短评内容': '环境好，设备全，地段好', '短评打分': 3}
{'短评内容': '位置离江稍微有点远.宾馆本身很好,客房舒适.价格有点贵.', '短评打分': 3}
{'短评内容': '酒店真的不错啊，这次经朋友介绍，选择入住了这家酒店。交通出行很方便，地铁10、4号线多有，打车门口师傅也很热情的帮我叫车。正好旁边1933在举办活动。正好晚饭过后去逛逛。以后还会入住的。', '短评打分': 5}
{'短评内容': '离公司很近，走路2分钟，所以常常会住，不过设备老化了，应该考虑翻修', '短评打分': 5}
{'短评内容': '到上海出差，经朋友介绍选择了这家酒店入住，总体来说还是不错的，大堂格调蛮不错。前台登记人员也蛮热情的为我安排房间，房间设施蛮不错，床垫还很舒服呢！卫生间也挺宽敞，淋浴和盆浴还是分开的，为客人提供的东西也蛮齐全的。周边的环境也不错，还有创意园区可以逛逛，吃饭也不错，对面有饭店。', '短评打分': 5}
{'短评内容': '酒店干净安全，服务好，地段也好，交通方便，我台湾加拿大朋友都住宿都满意。是我上海酒店的首选，隔壁有苏浙汇餐厅。', '短评打分': 5}
{'短评内容': '这酒店也就和快捷酒店差不多，严重的不值。酒店的服务人员服务意识很差。我觉得也就值300元，居然能卖到800元的行政套房真的没觉得好', '短评打分': 1}
{'短评内容': '还不错，地理位置好，酒店设施也还不错。\n还不错，地理位置好，酒店设施也还不错。\n还不错，地理位置好，酒店设施也还不错。', '短评打分': 5}
{'短评内容': '价格算合理 不过就是备品太差 需要改进             ，，，，，，，，，，，，，，，，，，，，。。，，，，。。，，。', '短评打分': 5}
{'短评内容': '朋友帮我预订这家酒店的，说是房间不错的，入住后果然没有推荐错。房间很宽敞，卫浴里，淋浴和盆浴分开来的，为客人考虑的很周到，还有电子称，不错。周边出行也很方便，到外滩和人民广场都很快。谢谢朋友的推荐，下次也会入住该酒店。', '短评打分': 5}
{'短评内容': '住着挺不错的，屋子里面还是比较新的，我们住的是大床房。\n价格也好', '短评打分': 5}
{'短评内容': '个朋友代订的酒店，出行很方便的，有轨道交通，打车也蛮方便的。房间里面的设施还蛮新的。朋友住了以后感觉不错，下次还会选择该酒店入住的。', '短评打分': 5}
{'短评内容': '位置很好 就在第一人民医院隔壁 交通非常方便', '短评打分': 5}
{'短评内容': '酒店地理位置不错的，出行还蛮方便的，离轨道交通4、10号线还蛮近的。原以为酒店去浦东会比较远，不方便，没想到听前台服务员介绍，打车到浦东走新建路隧道还蛮近的。到外滩和城隍庙啥地方也不远，酒店性价还行。还会入住的。', '短评打分': 5}
{'短评内容': '默认不知道为什么只有一套牙刷，但是一个电话过去，1分钟内就送到了，而且是很晚的时候。不错。里面的点心也是24小时的，但是有点贵，一个雪菜肉丝面要40块。', '短评打分': 5}
{'短评内容': '房间太小，价格太贵，就是离第一人民医院近办事方便。', '短评打分': 1}
{'短评内容': '进一步进行推荐吧，老婆住过后推荐给我的，不错的', '短评打分': 5}
{'短评内容': '性价比不高的酒店，朝黄浦江的酒店还可以。单人房太小。', '短评打分': 5}
{'短评内容': '环境很幽雅交通方便下会还会如住该酒店。希望酒店对叫车服务有待提高', '短评打分': 5}
{'短评内容': '五星级的标准，便宜的价格，房间很好，下次来我还会住这', '短评打分': 5}
{'短评内容': '酒店还不错，早餐也不贵，打的挺方便。周边吃饭也挺方便。', '短评打分': 5}
{'短评内容': '还不错，位置挺好，交通方便。房子设施还好。', '短评打分': 5}
{'短评内容': '去迟了服务员安排的豪华大床房面积一点小~', '短评打分': 3}
{'短评内容': '还可以', '短评打分': 3}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '酒店很不错，价格比较始终，每次去上海都是该酒店', '短评打分': 3}
{'短评内容': '房价太贵，就是离第一人民医院近。办事方便，要不这个房间是不值这个价的。', '短评打分': 1}
{'短评内容': ' 房间一般般 入住时前台态度不好', '短评打分': 3}
{'短评内容': '正赶上特价活动，超值的选择，真的不错～～～～～～～～～～～～', '短评打分': 5}
{'短评内容': '酒店很好服务很好', '短评打分': 3}
{'短评内容': '给朋友预订，朋友说很好很好。呵呵。', '短评打分': 3}
{'短评内容': '酒店房间还不错', '短评打分': 3}
{'短评内容': '很好的宾馆，服务好，晚上7点的飞机，我们入住行政楼照顾到下午4点退房，非常人心化的措施。房间干净舒适，价位适中。\n', '短评打分': 5}
{'短评内容': '酒店房间设施可以，但早餐太贵，而且种类很少', '短评打分': 5}
{'短评内容': '总体情况还不错，设施较新，服务也不错。地理位置也不错。', '短评打分': 5}
{'短评内容': '稍微有点贵，不过离第一人民医院很近。办事方便，要不这个房间是不值这个价格的', '短评打分': 5}
{'短评内容': '、不错', '短评打分': 3}
{'短评内容': '给人的感觉前台比较傲气，感觉不是挺舒服的，还有房间的厕所的门打开以后坐便器就挡住了，很不方便。', '短评打分': 1}
{'短评内容': '、还可以', '短评打分': 3}
{'短评内容': '世博的时候去的  感觉前台很傲气  上海人就这德性   都看不起外地人  房间特贵  还没有塑料拖鞋   让他找双拖鞋  还一副死相', '短评打分': 1}
{'短评内容': '房间不错，环境也不错。适宜安静，交通也便利。出门购物和就餐附近较少。', '短评打分': 5}
{'短评内容': '感觉比较温馨的一个酒店，客房服务很好，出行也方便。活动时入住的，很值！', '短评打分': 5}
{'短评内容': '房间大 舒适，附近有很多餐饮店，下次还来', '短评打分': 3}
{'短评内容': '不错  酒店气氛良好 设施不错 房间略小 ', '短评打分': 5}
{'短评内容': '房间太小且不规整，根本不够4星标准，住店停车还要收费。 \n', '短评打分': 1}
{'短评内容': '房间太小且不规整，根本不够4星标准，住店停车还要收费。', '短评打分': 1}
{'短评内容': '酒店位置不错，周边环境很安静，而且交通也方便。房间有点小，但是设施齐全。性价比适中！', '短评打分': 5}
{'短评内容': '酒店位置较好，装修也不错，价钱不算贵，总体感觉满意。', '短评打分': 3}
{'短评内容': '九龙还可以就是没含早餐', '短评打分': 3}
{'短评内容': '地段地处商业街四川北路，购物非常方便。酒店房间的装潢还可以，洗澡水也不错，加之性价比较高。', '短评打分': 5}
{'短评内容': '服务不错', '短评打分': 3}
{'短评内容': '离公司比较近才选了这间酒店，但老实说性价比不是很高，这个标准房的设施跟外面三星级的差不多，下次不会来住了。曾经还住过行政大床房，风景不错，但是其他还真没什么亮点。', '短评打分': 1}
{'短评内容': '酒店干净，房间大，装修也好。性价比不错。就是离地铁远了一点。但出租很方便', '短评打分': 5}
{'短评内容': '交通便利，距离四川路和外滩都比较近。装修好。价格适中。', '短评打分': 5}
{'短评内容': '地段不错，就是比较老,去外滩很近，走走就5分钟', '短评打分': 5}
{'短评内容': '绿地九龙宾馆位置好，服务也不错，价格也挺好', '短评打分': 3}
{'短评内容': '预订标准间，入住时没有，免费升级到豪华间，不错。', '短评打分': 3}
{'短评内容': '地段好，价格不错，服务还可以.要有无线网络就更好了', '短评打分': 5}
{'短评内容': '地段很好，价格不高，服务不错', '短评打分': 3}
{'短评内容': '酒店设施有点老，不过地理位置不错，价钱在300-400的话可以考虑', '短评打分': 5}
{'短评内容': '还不错，我们已经是这里的常客了，只要来上海，就一定会来这里居住的。', '短评打分': 5}
{'短评内容': '总体感觉不错，房间偏小，设施略显陈旧，价格再低点性价比将更高。', '短评打分': 5}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': '服务质量太差，入住的时候额外加订了早餐，结果服务台没作记录，结果是，我得天天早上与餐厅和服务台沟通，幸亏只住两天。', '短评打分': 1}
{'短评内容': '入住很顺利。谢谢！', '短评打分': 3}
{'短评内容': '环境很好，本来定的是豪华商务房，结果给的是豪华商务套房，满惊喜的。房间很大，洗手间很有档次，不错，很是喜欢', '短评打分': 5}
{'短评内容': '酒店不错', '短评打分': 3}
{'短评内容': '酒店房间，位置等各方面都还可以，就是没有早餐，遗憾。', '短评打分': 5}
{'短评内容': '房间偏小，装修有点久了，旧了，四星算不上，三星差不多，不过价格也和三星差不多，性价比还行。', '短评打分': 5}
{'短评内容': '行政楼层还不错，但是房间和我朋友住的豪华房没什么差别，就是多了份早餐，还有静思好一点。这个酒店不错。', '短评打分': 5}
{'短评内容': '豪华房是小套房的样子，卫生间很大，很舒服。床也不错。', '短评打分': 5}
{'短评内容': '地理位置优越、方便，价位相对偏高', '短评打分': 5}
{'短评内容': '世博会期间能住上赠送世博门票和自助早餐及餐券的四星酒店已很不错啦，连住了三晚，可惜时间都花在世博会了，没来得及体会下酒店的好服务。三楼的中餐厅菜式丰富，味道很好。', '短评打分': 5}
{'短评内容': '不错的酒店.就是旧了点.', '短评打分': 5}
{'短评内容': '入住房条件好,周围环境好得很.楼下就是苏州河.周围吃饭很方便.', '短评打分': 3}
{'短评内容': '非常的满意，性价比高，位置方便，距离4号地铁线很近。', '短评打分': 3}
{'短评内容': '酒店位置不错,走着去外滩很方便,后面就是居民区,有超市,饭店,菜场等.离地铁5分钟路程.下次去还会选择这里.', '短评打分': 5}
{'短评内容': '硬件软件都不错,离外滩也很近,还送了餐券,下次再去上海还住他们家.', '短评打分': 5}
{'短评内容': '＋上海绿地九龙宾馆，大堂很漂亮但房间、洗手间有点老旧，尤其是洗手间更差，不过上海房价贵，按性价比还是可以的。', '短评打分': 5}
{'短评内容': '酒店的位置还是比较方便的，就是浴室的排水不够畅通，淋浴的水好半天流不出去。', '短评打分': 5}
{'短评内容': '前台小姐歧视我们外地人  接待窗口就两个  要排队很长时间  没有塑料拖鞋 问他们要态度很差', '短评打分': 1}
{'短评内容': '酒店服务一流 距离外滩很近。在世博会期间有这样的酒店已经很不错了', '短评打分': 5}
{'短评内容': '下次入住首选此家宾馆，位置不错，性价比很高。', '短评打分': 5}
{'短评内容': '+', '短评打分': 5}
{'短评内容': '居住条件好.周围环境好.', '短评打分': 5}
{'短评内容': '巳入住', '短评打分': 5}
{'短评内容': '酒店不错，离景点很近，服务态度也不错，下次去还住这。', '短评打分': 3}
{'短评内容': '该酒店地理位置不错，条件还可以，在世博会期间用这个价格住这样的酒店，应该说不错了。', '短评打分': 3}
{'短评内容': '宾馆挺不错，离景点都很近。', '短评打分': 5}
{'短评内容': '世博会期间有这样的价格，真没说的。位置很好，酒店也不错，推荐！', '短评打分': 5}
{'短评内容': '还可以吧，希望价格会有所下调就会更好，酒店不错总体来说', '短评打分': 5}
{'短评内容': '旁边的艺术中心极其诱惑，马路对面是舟山渔村，味道正宗。', '短评打分': 3}
{'短评内容': '很好了，就是停车场另外再收费不是太好啊。其它的服务也不错，就是早餐有点贵了，品种也不是太多，特别是上海的特色品种有点少了。还会去住的，我会推荐朋友们也去住的。', '短评打分': 3}
{'短评内容': 'hotel was fine. will come again', '短评打分': 3}
{'短评内容': '一般吧。行政房不值', '短评打分': 5}
{'短评内容': '换了新名字\r\n价格变得很非常贵\r\n普通房间还没免费网络啊\r\n等于是价格再加几十啊\r\n奇怪\r\n', '短评打分': 1}
{'短评内容': '不错.', '短评打分': 5}
{'短评内容': 'Sorry to be in the small building next door, access inconvenient.', '短评打分': 5}
{'短评内容': '住进来啦！昨天就住进来了', '短评打分': 5}
{'短评内容': '新装修的豪华楼层设施不错，早餐品种较丰富，味道不错。前台和餐厅部分服务员给人一种怠慢的感觉，让客人觉得不太舒服。西餐厅下班前半小时内千万不要去点餐，我们因为看世博回店较晚，点了一个汉堡，一个男服务员可能是着急下班不愿意给做，我们说还没到下班时间，他冷笑了一下下去就不见人啦了，结果真给人脸色看，一个汉堡等了半个小时才端上来。旁边一桌有两个外国人比我们早到，不知点的什么也是半天不见上菜。我们从连住3天', '短评打分': 1}
