{'descr': '不错，就是网络不怎么好', 'star': 5}
{'descr': '早餐不知道   加床就不要想了    环境太差太差 换了两次房  要么空调有问题   要么房间特别臭   发霉的那种臭   空间也特别的小  极致差评  差评   ', 'star': 1}
{'descr': '以前的莫泰，不合作了感觉还是和莫泰差不多，早餐也是差不多水平', 'star': 4}
{'descr': '以前的莫泰，不合作了感觉还是和莫泰差不多', 'star': 4}
{'descr': '一直住的，设施有点老，出行吃饭都很方便。停车也比较方便。就是便宜的没有窗户的，味道比较大，服务态度什么的都不错。', 'star': 5}
{'descr': '一般', 'star': 3}
{'descr': '房间还可以，就是不向阳', 'star': 4}
{'descr': '尚可。前身是motel168', 'star': 3}
{'descr': '价格比较便宜，周边吃饭很方便。周边环境比以前有很大改善。', 'star': 4}
{'descr': '价格便宜，周边吃饭很方便。周边环境比以前好多了。', 'star': 4}
{'descr': '还好.................', 'star': 3}
{'descr': '服务人员态度很好，商务旅行者不错的选择', 'star': 5}
{'descr': '没入住，说是没有房间了……', 'star': 3}
{'descr': '整体还不错，就是房间下水道味道有点大。住了好几次，这次最差', 'star': 4}
{'descr': '房间空气不好', 'star': 3}
{'descr': '酒店性价比高，卫生也不错，我很满意，下次出差还住这里。', 'star': 5}
{'descr': '酒店很不错，房间挺大的，性价比很高，以后出差会一直住这里。', 'star': 5}
{'descr': '酒店还不错、在镇上的。也只能这个样子、请谅解。', 'star': 5}
{'descr': '房间还可以、定了一个商务大床房、就是前台有点不厚道、先给了一个不能带暗床的房（就是房间对着走廊），里面有个麻将桌、而且还是坏的，在于前台严正交涉下才换了一个房间。', 'star': 1}
{'descr': '酒店地理位置不错，方便我工作，而且环境很好，卫生也不错，价格也实惠', 'star': 5}
{'descr': '酒店地理位置不错，方便我工作，而且环境很好，卫生也不错，价格也实惠。', 'star': 5}
{'descr': '房间还行，只是房间墙面有淋浴间渗水污迹。', 'star': 3}
{'descr': '交通方便，不管是去浮桥工业区还是回上海；房间干净整洁，房间相对也宽敞。', 'star': 5}
{'descr': '大床房 房间面积：18-20平方米，商务大床房 房间面积：25-28平方米，我付了商务大床房的费用，房间面积却是18-20平面，要求换房，服务员回复其他房间更小，天哪下回不能选择莫泰！', 'star': 1}
{'descr': '要在浏河的话，还是不错的。不带窗的不能住，烟味太大。', 'star': 5}
{'descr': '这个酒店新开两个月左右，比较干净，态度也可以，就是前台的业务不够熟练，退房速度快！', 'star': 5}
