{'短评内容': '如果有停车场就更好', '短评打分': 5}
{'短评内容': '无早餐，隔音差', '短评打分': 3}
{'短评内容': '酒店旁边一大早就很吵，各方面条件都很差', '短评打分': 2}
{'短评内容': '', '短评打分': 5}
{'短评内容': '我觉得房间里的灯实在是太暗了，我们近视眼很严重的人摘了眼镜特别不方便，还有厕所淋浴室外边会积水，马桶旁边如果有水流不到洗手池下边的下水道，就这两点挺不满意的其他都挺好，建议酒店能解决一下这两个问题。', '短评打分': 4}
{'短评内容': '不错。不错。又多个旅游选择。', '短评打分': 5}
{'短评内容': '不错，不错', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '灯光太暗', '短评打分': 3}
{'短评内容': '继续入住', '短评打分': 5}
{'短评内容': '酒店楼下噪音大，房间被子卫生差有螨虫咬', '短评打分': 2}
{'短评内容': '还不错', '短评打分': 4}
{'短评内容': '酒店房间很大，位置也很好找，周边很多东西吃，价钱也很实惠！下次过去还会再考虑入住！', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '卫生条件不错，社区服务方便。唯一不足就是没有停车场，自驾的朋友不推荐。', '短评打分': 5}
{'短评内容': '酒店位置比较比较偏僻，但房间还不错，面积比较大，设施也不错', '短评打分': 5}
{'短评内容': '设施还好，不过我们同事的戒指掉在了酒店，还在交涉中。', '短评打分': 1}
{'短评内容': '还可以。周围吃饭的地方比较多。在市区靠边，开车到达方便。', '短评打分': 5}
{'短评内容': '标准又人间比大床房要好，标间房间很大，而大床房的窗户无法打开。', '短评打分': 5}
{'短评内容': '被安排一个靠水电房的房间，一个晚上数次被水泵轰隆隆的抽水声吵醒，服务员只道谦而并说向上级汇报了问题，但直接第二天早上退房时，我还没有追问到酒店的解决问题的办法。', '短评打分': 1}
