{'短评内容': '还不错，挺好的', '短评打分': 5}
{'短评内容': '酒店是不能加床的，我订的是双床房，提好的。酒店周边挺方便的，离小雁塔比较近。', '短评打分': 5}
{'短评内容': '很温馨 不过有的房间水不大 卫生不错', '短评打分': 5}
{'短评内容': '服务非常棒', '短评打分': 5}
{'短评内容': '房间不错，设施挺好，尤其是还带小书桌和写字台灯，孩子很喜欢，离地铁挺近的，就是我们是晚上入住，没有是先打电话，找了一会，打电话服务台很热情，到了后服务台有免费给我们升级了个家庭房，真心不错，第二天退房后服务台又打电话给我们说我们遗失了一本书在里面，我们都不知道，是孩子的课本忘在了酒店，服务台姿势及时联系了我们，我们报了地址后，服务台就给快递了过来，说的到付，结果人家还把运费给付了，谢谢了，真心为你', '短评打分': 5}
{'短评内容': '服务态度挺好，地方挺好找', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '如家宾馆卫生干净，房间小，窗户小，跟网上不符。还不好找，特别是巷子里，气味太不好。', '短评打分': 5}
{'短评内容': '不错，很干净，很方便', '短评打分': 5}
{'短评内容': '京东价格比其他网便宜，有**券，\n宾馆的位置在里边，路边有**转运车，不是很舒服，附近有个物流站，早晨有装卸货物的车\n订的商务大床房，网上写的是18平面，实际估计12平，房间比较干净，有早餐10元一位，\n地铁口700多米，坐公交也算方便，去鼓楼，回民街，城墙，打车10元，去大雁塔打车12', '短评打分': 5}
{'短评内容': '长期住在那里，因为在小巷子里，所以很安静，推荐给大家n', '短评打分': 5}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '这个地方微微有一点偏僻，不是很好找。酒店卫生还可以。服务也符合这个价位，就是隔音不太好。隔壁聊天的声音都可以听到。这一点比较烦，如果怕吵的游客要慎重考虑。', '短评打分': 4}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '每次回去都回去住都挺好', '短评打分': 5}
{'短评内容': '房间干净，很小', '短评打分': 5}
{'短评内容': '交通方便，晚上也不吵，房间很干净。', '短评打分': 5}
{'短评内容': '以后朋友来都在这里定了，价格确实便宜，而且干净卫生', '短评打分': 5}
{'短评内容': '价格确实很便宜，不错的酒店，以后还会来', '短评打分': 5}
{'短评内容': '房间很干净，服务也非常好，总体很好。', '短评打分': 5}
{'短评内容': '就在地铁站边，地段非常好，不过设施略有老旧。房间有点小，但是服务态度超一流。很满意。', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
