{'短评内容': '设施老旧，灯光昏暗，早餐差～', '短评打分': 1}
{'短评内容': '环境卫生不错', '短评打分': 5}
{'短评内容': '墙壁上都是斑点', '短评打分': 1}
{'短评内容': '房间干净整洁，不过房间内设施一般，电视什么的都比较陈旧，还有早餐种类比较少。 不过在这样的小城市总体来说值得推荐。不过价格偏高', '短评打分': 4}
{'短评内容': '我在网上已经付钱了。到了酒店付押金原本是很正常的。没想到退房的时候押金只退了40重点是我在房间里没有消费任何东西', '短评打分': 3}
{'短评内容': '设施不错，服务一流。。。', '短评打分': 5}
{'短评内容': '大年初二入住的，到了大堂居然没有接待人员，到处找都找不到，过了好久才过来一个人说是吃饭去了。房间设施相当陈旧，电视是CRT的，柜子打不开，热水壶漏水，墙纸发霉了，洗澡洗着洗着水也不热了。早餐品种超级少，中餐和晚餐都在春节期间不提供。总之，完全没有四星酒店的样子！', '短评打分': 3}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '小县城不错了', '短评打分': 2}
{'短评内容': '房间很大，位置很好，早餐简单了点，服务水平还需要提升。', '短评打分': 5}
{'短评内容': '可能是个人要求较高，毛巾旧了感觉不净', '短评打分': 5}
{'短评内容': '不错的城市，不错的酒店，如果下次还有机会去广西的话，依然会选择住在这里哦，总体来说事值得推荐的酒店，大家有机会一定要去住住看。', '短评打分': 4}
{'短评内容': '环境优雅，位置优越，干净卫生', '短评打分': 4}
{'短评内容': '性价比较高，是一家不错的酒店,值得推荐。', '短评打分': 5}
{'短评内容': '应该是凤山最好的酒店了，服务很好，傍晚可以在酒店对面的广场和凤山居民一起扭扭腰。', '短评打分': 5}
{'短评内容': '凤山县城最好的酒店，住宿条件不错，餐饮有待提高', '短评打分': 5}
{'短评内容': '应该是凤山最好的酒店了，服务很好，傍晚可以在酒店对面的广场和凤山居民一起扭扭腰。', '短评打分': 5}
