{'短评内容': '连续住的，挺好', '短评打分': 5}
{'短评内容': '服务挺好，房间不大，一个人住正好，就这价格，要求不要太高。连续住了4天。', '短评打分': 5}
{'短评内容': '经济实惠', '短评打分': 5}
{'短评内容': '挺好的哈哈', '短评打分': 5}
{'短评内容': '一切都非常好。', '短评打分': 5}
{'短评内容': '酒店位置好，干净卫生', '短评打分': 5}
{'短评内容': '给力我喜欢这酒店', '短评打分': 4}
{'短评内容': '干净清爽', '短评打分': 5}
{'短评内容': '一分几钱一份体验', '短评打分': 2}
{'短评内容': '返现是假的，房价148不是128，门楣上显示屏游动字幕显示特价房128，前台服务员不认账', '短评打分': 3}
{'短评内容': '还行吧，一般般了', '短评打分': 4}
{'短评内容': '第一次住，比想象中要好！', '短评打分': 5}
{'短评内容': '定的标间给我们换成大房，说标间没房了，可是明明旁边就是一个标间，没有吹风机，房间比较小，电视信号不是很好，洗澡的时候洗一会儿就得往热的那边拨一点，其余倒是没什么，交通比价方便，普普通通吧', '短评打分': 3}
{'短评内容': '还可以，类似如家。这个价位还不错。', '短评打分': 4}
