{'短评内容': '还可以的酒店，京东价格便宜', '短评打分': 5}
{'短评内容': '房间比较小', '短评打分': 5}
{'短评内容': '可。。。。。。。', '短评打分': 5}
{'短评内容': '性价比较高，位置好临近香港路地铁，早餐不错，服务和设施一般吧，设施相对陈旧，总的来说不错，适合出差。', '短评打分': 4}
{'短评内容': '房间很大 环境很好 价格实在', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '今天订的豪华大床房、跟上次的豪华大床房的房间大小一点都不一样。比上次小好多。不知道是什么原因', '短评打分': 5}
{'短评内容': '地理位置很好，还可以，送的京豆呢？', '短评打分': 5}
{'短评内容': '！！！！！！', '短评打分': 5}
{'短评内容': '地址还可以，活动力度小了点.................', '短评打分': 4}
{'短评内容': '酒店服务还不错，装修风格时尚，酒店的年限也很新，总体来讲酒店各个方面都还不错～～～', '短评打分': 5}
{'短评内容': '酒店还不错，经常来住', '短评打分': 5}
{'短评内容': '住着还不错，性价比高', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '已经不止一次定这里的房间啦，很适合', '短评打分': 5}
{'短评内容': '房间非常大，很舒服！是我喜欢的风格和环境！值得推荐！！！', '短评打分': 5}
{'短评内容': '哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈呵呵呵呵呵', '短评打分': 5}
{'短评内容': '还不错   蛮大气的哦哦哦', '短评打分': 5}
{'短评内容': '哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈呵呵呵呵呵或或或或花哈哈哈哈哈', '短评打分': 5}
{'短评内容': '一楼经理帮我调换的房间整体还不错。', '短评打分': 5}
{'短评内容': '设施有点旧，但落地窗大采光好', '短评打分': 4}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '房间设施比较旧，隔音还不错，落地窗景视野开阔', '短评打分': 5}
{'短评内容': '好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好', '短评打分': 5}
{'短评内容': '这个，居然比美团便宜！原来京东也可以订房，太方便了', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '这个酒店不错，经常来住很干净。', '短评打分': 5}
{'短评内容': '酒店不错，经常来住', '短评打分': 5}
{'短评内容': '酒店不错，每次来都住这里', '短评打分': 5}
{'短评内容': '很安静、装修良好！唯独wifi信号太差、基本可以说无网络', '短评打分': 4}
{'短评内容': '价格挺好的，圣诞节去的，环境不错啊，挺值的&amp;hellip;&amp;hellip;', '短评打分': 5}
{'短评内容': '位置不错的', '短评打分': 5}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '方便', '短评打分': 5}
{'短评内容': '方便', '短评打分': 5}
{'短评内容': '房间还可以，周边吃饭小馆多', '短评打分': 5}
{'短评内容': '交通不是太方便。房间内装修好老套啊，应该要更新了。', '短评打分': 3}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '和房产局一墙之隔，和火车站也很近，不过没有想象中的好', '短评打分': 4}
{'短评内容': '酒店早饭不好', '短评打分': 4}
{'短评内容': '每次去武汉都会入住，服务好，硬件设施也不错，就是门童形同虚设，只会站着，不会干活。酒店正门朝里面，进出不容易，不过酒店门口打车非常方便', '短评打分': 5}
{'短评内容': '每次去武汉都会入住，服务好，硬件设施也不错，就是门童形同虚设，只会站着，不会干活。酒店正门朝里面，进出不容易，不过酒店门口打车非常方便', '短评打分': 5}
{'短评内容': '每次去武汉都会入住，服务好，硬件设施也不错，就是门童形同虚设，只会站着，不会干活。酒店正门朝里面，进出不容易，不过酒店门口打车非常方便', '短评打分': 5}
{'短评内容': '酒店很不错，价格很低，附近离小吃一条街吉庆街很近，酒店服务很好', '短评打分': 5}
{'短评内容': '不错很好', '短评打分': 3}
{'短评内容': '酒店很好，很干净，下次还会来此入住。。。。。。。', '短评打分': 5}
{'短评内容': '酒店干净，服务很好，下次还会再来的！！！！！', '短评打分': 5}
{'短评内容': '多次入住', '短评打分': 3}
{'短评内容': '设施还蛮新，电梯很慢，服务比较差，叫客房服务送一个水果打，要打无数的电话。', '短评打分': 3}
{'短评内容': '周边交通很好 酒店停车场不错 服务员的态度超好', '短评打分': 5}
{'短评内容': '房间小，周围不热闹，早餐一般，其他还好', '短评打分': 3}
{'短评内容': ' 酒店比较新 是同价格带中比较好的。周边有些日料和酒吧', '短评打分': 3}
{'短评内容': '离建设大道金融一条街非常近的一家酒店，设施还算不错，可以延迟到下午两点退房，总体而言非常方便。离二桥比较近', '短评打分': 5}
{'短评内容': '离建设大道非常近的一家酒店，设施还算不错，可以延迟到下午两点退房，总体而言非常方便。', '短评打分': 5}
