{'短评内容': '还不错的啊', '短评打分': 5}
{'短评内容': '入住体验不错  值得一去', '短评打分': 5}
{'短评内容': '第一次住民宿，酒店环境不错，住的挺舒服的，性价比高', '短评打分': 5}
{'短评内容': '环境特别美，老板是个热爱多肉的帅哥，人超好，有任何问题他都会帮你解决，没事的时候还可以坐在楼下喝喝茶，在楼上荡荡秋千，厦门的慢生活太舒服不想走，老板是单身哦哈哈', '短评打分': 5}
{'短评内容': '环境很好，老板很客气', '短评打分': 5}
{'短评内容': '挺不错的一家客栈，安静舒适。', '短评打分': 5}
{'短评内容': '酒店老板人挺好的，可爱，出行也挺方便。', '短评打分': 5}
{'短评内容': '老板人特别好，风趣幽默，环境也很好，特别赞', '短评打分': 5}
{'短评内容': '酒店环境还不错，房间面积还大的,层高也高，据说5楼有露台，4楼可议自助洗衣。周边在修路，比较脏乱，半夜忽然听到房间和卫生间都有滴水声，起来看过后发现是空调水，因为是半夜且第二天要赶飞机，所以没有跟老板反应', '短评打分': 5}
{'短评内容': '地中海风格的设计不错！孩子们非常喜欢。', '短评打分': 5}
{'短评内容': '老板是对帅哥、美女！很热情，酒店设计很有情调，床上用品非常舒适，很赞！', '短评打分': 5}
{'短评内容': '性价不错，前台接待很热情，办理入住手续的时候，还给我推荐饭店吃饭，还告诉我哪些事情是该注意的，给予我提醒，给前台点给赞~', '短评打分': 5}
{'短评内容': '房间隔音还可以的，晚上休息的时候很安静。服务挺好，店小哥很年轻，做事很细心，服务很好，很周到。房间设计简洁典雅。 ', '短评打分': 5}
{'短评内容': '环境好，安静，前台的帅哥超帅的，人超级好', '短评打分': 5}
{'短评内容': '房间很大，客栈所在的位置也比较好，去海边也比较近，前台的小哥人也挺好的  ', '短评打分': 5}
{'短评内容': '第二次入住了，还是那么的好，服务依然还是那么的好 很热情 亲切 ，干净 舒适 温馨 安静 ，价格又便宜，总之很超值，超喜欢 ，再来厦门玩还会继续选择这家', '短评打分': 5}
