{'短评内容': '服务态度好', '短评打分': 4}
{'短评内容': '服务好', '短评打分': 3}
{'短评内容': '总体还行吧，有点旧了，不过便宜', '短评打分': 5}
{'短评内容': '感觉比较一般 房间虽然比较大 但是设备什么都好旧', '短评打分': 3}
{'短评内容': '还好吧，住过很多次了', '短评打分': 3}
{'短评内容': '还好吧，住过很多次了，除了房间有点味', '短评打分': 3}
{'短评内容': '住过最垃圾的酒店，没有之一。', '短评打分': 3}
{'短评内容': '设施陈旧，装修破败，小地方就这样了', '短评打分': 2}
{'短评内容': '真的是有够差的，一回来全是蟑螂，床底下全是脏东西，整个跟垃圾房没差别！！！', '短评打分': 1}
{'短评内容': '价钱挺贵的，可能也是因为在国庆期间吧，服务一般，房间环境一般，一般、、、', '短评打分': 1}
{'短评内容': '我们一共订了三间房，其中一间下水道有问题，水漫金山。而且浴室非常奇怪，淋浴房没有玻璃门，淋浴房出来就是坐便器，只要有人一洗澡，马上无法上厕所！三间房里有一间门卡有问题，换了几次都不行，前台提议让服务员开门，可是服务员少，每次等开门要等非常久，我们要求换房间，他们就找了维修工来修理，最后门卡可以用，但房价无法关紧，就是说外面的人随时可以进入。我们就在这种情况下度过了一晚，第二天立马逃离。酒店名称与订', '短评打分': 1}
{'短评内容': '住宿条件尚可,物有所值,浴室的排水口有点堵,建议疏通', '短评打分': 5}
{'短评内容': '酒店附近海鲜馆密集，我住在高楼层环境挺不错的，可以看到县城景观，总体来说性价比高', '短评打分': 5}
{'短评内容': '还也以，热水器坏了，水量太大，不容易调，总的来说性价比可以接受', '短评打分': 5}
{'短评内容': '听过速8的名字,第一次入住,印象不好.设施陈旧,卫生间小,积水.总体感觉不如其他的经济型酒店.', '短评打分': 1}
