{'短评内容': '房间真心不怎么样，但是好在在景区内，', '短评打分': 3}
{'短评内容': '最值得的是不用买门票了，老板挺客气的。就是住的小了点，简陋了点', '短评打分': 3}
{'短评内容': '很小间，蛮简陋的，为了省门票等到晚上九点才进去。住完一晚，觉得没必要，东栅西栅连票才150。没必要住景区内', '短评打分': 3}
{'短评内容': '老房子，环境一般，不过已经有心理准备，能接受。周末去的，就是价格贵了点，车站来回接送，景区来回没有接送，没有早餐。', '短评打分': 3}
{'短评内容': '住在东栅景区内，起来可以继续乌镇之旅…老板很热情，晚上还到西栅景区接我们；房间干净整洁，很舒适', '短评打分': 5}
{'短评内容': '入住东栅夜晚是宁静的，临水而居，静享江南，房间比较简单，蚊子太多，休息不好。', '短评打分': 3}
{'短评内容': '和纪念碑谷', '短评打分': 5}
{'短评内容': '很干净整洁，进了东栅老板娘带着她家小姑娘来接我。晚上西栅回来打电话老板来接，都是很好的一家人。欢迎大家来。', '短评打分': 5}
{'短评内容': '民宿在景区外不远，沿小巷走进去两分钟。省了门票进去的，只能游一段路，没门票许多场馆也不能进去参观。周边环境一般，房间卫生不错，老板夫妇很热情。离开时老板帮买的车票，只是不送我们到车站，说是怕堵车要我们从景区抄近路走。害得我们拖着箱子带着孩子穿过拥挤的人群，连走带跑的差点没赶上车。', '短评打分': 3}
{'短评内容': '位置还不错，在动栅景区内，早上起早点，没有什么游客，挺好的！', '短评打分': 4}
{'短评内容': '不错，老板很热情', '短评打分': 5}
