{'短评内容': '还可以，不过北京很干。。', '短评打分': 5}
{'短评内容': '酒店位置非常好！', '短评打分': 5}
{'短评内容': '没有大床房了，前台小姐姐自动给升级为套房了。很安静，也很舒服，一觉天亮，为你打call。', '短评打分': 5}
{'短评内容': '给免费升级了，大赞一个。楼下的红番茄餐厅，湖北菜，超好吃。', '短评打分': 5}
{'短评内容': '集团的酒店住的感觉还不错，早餐很棒，房间在北京算是比较好的了，大厅很漂亮，气派，不错的选择，性价比超高', '短评打分': 5}
{'短评内容': '非常不错，环境很好，服务热情，赞！', '短评打分': 5}
{'短评内容': '还可以吧挺好的', '短评打分': 5}
{'短评内容': '设施还不错，紧挨着鸟巢，不过房间有点小，服务还可以，就这样了', '短评打分': 5}
{'短评内容': '总体还是可以，就是没有早餐', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '为单位领导预订的酒店，感觉还可以吧！位置方便，楼下就有餐厅，吃饭非常方便，交通出行也很便利，以后有机会还会再次预订。', '短评打分': 5}
{'短评内容': '为单位领导预订的酒店，感觉还可以吧！位置方便，楼下就有餐厅，吃饭非常方便，交通出行也很便利，以后有机会还会再次预订。', '短评打分': 5}
{'短评内容': '公司预定酒店还不错', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '酒店環境很好，衛生干淨，唯這次入住繼房出現問題，我打電話問前台繼房的房價是699元／晚，但退房時前台服務員要收我999元，還是跟前台的人爭辨起來了，最後前台人還是打電話問幫我繼房的人，證實講過699，最後還是收699，', '短评打分': 5}
{'短评内容': '蛮好 鸟巢看演出住这边 就在鸟巢后面 设施也不错 暖气很热...', '短评打分': 4}
{'短评内容': '    酒店干净整洁、明亮、宽敞，景观很好，是开会、度假、休闲的好地方，是举办会议、公司年会不错的选择。这里比较放松，心情自然没得讲。下次还会再来。其次是服务态度也很好。', '短评打分': 5}
{'短评内容': '环境不错，服务周到，很好。环境不错，服务周到，很好。环境不错，服务周到，很好。环境不错，服务周到，很好。', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '酒店地理位置很好 但房间里的水壶应该很久没清洁过 外面一层灰尘 高档酒店这样是很遗憾的', '短评打分': 4}
{'短评内容': '房间很满，没订到', '短评打分': 5}
{'短评内容': '酒店卫生一般，角落里有灰尘', '短评打分': 4}
