{'短评内容': '没有窗户！', '短评打分': 3}
{'短评内容': '干净卫生，满意！', '短评打分': 5}
{'短评内容': '住的挺好的', '短评打分': 5}
{'短评内容': '住的挺好的', '短评打分': 5}
{'短评内容': '各方面条件都不错', '短评打分': 5}
{'短评内容': '相当一般吧', '短评打分': 3}
{'短评内容': '很不错~.~每次来烟台都住在这里，干净整洁，值得入住~酒店前台服务人员态度也很不错，好评哦哦哦~~~', '短评打分': 5}
{'短评内容': '地方很好找，环境还不错，对面有个早餐店值得推荐', '短评打分': 5}
{'短评内容': '酒店总体还可以，但是没有地方停车', '短评打分': 5}
{'短评内容': '酒店位置不错，交通也很方便，临近烟台火车站', '短评打分': 4}
{'短评内容': '感觉不错、挺舒服、挺干净卫生的', '短评打分': 5}
{'短评内容': '位置方便，环境挺好，被褥似乎用了很多次的。', '短评打分': 5}
{'短评内容': '只能说还可以', '短评打分': 5}
{'短评内容': '整体还不错了 评价了有什么用呢', '短评打分': 5}
{'短评内容': '还可以吧，不过在这样的小城市价格略贵', '短评打分': 5}
