{'descr': '。', 'star': 5}
{'descr': '很好，干净舒适', 'star': 5}
{'descr': '无', 'star': 5}
{'descr': 'wifi比较慢，其他的还可以', 'star': 5}
{'descr': '酒店的位置靠近博物馆 周围有超市 吃东西也很方便 酒店干净 暖气很足 隔音稍差 不过总体来说是满意的', 'star': 5}
{'descr': '服务不怎么样', 'star': 3}
{'descr': '经常住  还不错', 'star': 5}
{'descr': '酒店不错，服务好，环境不错，卫生干净，交通便利！！', 'star': 5}
{'descr': '价格优惠，适合出差住宿', 'star': 5}
{'descr': '满意&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;', 'star': 5}
{'descr': '很好。干净舒适，下次还会来！', 'star': 5}
{'descr': '应该是不错的', 'star': 5}
{'descr': '因为修路，网络差些，其他都还好。', 'star': 5}
{'descr': '服务，卫生，环境还好', 'star': 5}
{'descr': '好', 'star': 5}
{'descr': '非常好', 'star': 5}
{'descr': '环境不错，干净卫生，交通方便，服务周到', 'star': 5}
{'descr': '停车方便，网络信号好，早餐丰富，热水充足，服务周到，提供周边的旅游信息，出门买东西方便，周边有很多餐饮可供选择，下次再次入住！', 'star': 5}
{'descr': '出差住，办事方便', 'star': 5}
{'descr': '帮别人顶的', 'star': 5}
{'descr': '服务很好，地点离办事地点近，连锁酒店还是很放心的。唯一不足是无窗，感受不到夜景，房间换气不好，介于方便还是好评', 'star': 5}
{'descr': '酒店设施不错，整洁干净，但前台服务人员态度冷漠，一问三不知，没有宾至如归的感觉，下次不想再住该店。', 'star': 1}
{'descr': '如家太原迎泽桥西店，住的很舒服，环境整体不错，感觉不好的是马桶高度偏高。', 'star': 3}
{'descr': '环境不错，就是有点潮湿', 'star': 3}
{'descr': '酒店很不错干净整洁 位置挺好 去哪都方便 ', 'star': 5}
{'descr': '很不错。。设施齐全，环境好，安静，在学校附近挺方便。订如家很放心', 'star': 5}
{'descr': '入住办理效率太低、   环境挺安逸.  隔音效果有点差。', 'star': 5}
{'descr': '服務也很好，環境幽雅、挺滿意的！', 'star': 3}
{'descr': '住着很不错，很爱在这里住。。。。。。。。', 'star': 5}
{'descr': '总体来说不错，不足的就是枕头太软了，两面都是棉的。应该用一面棉，另一面荞麦皮那种。', 'star': 5}
{'descr': '房间干净卫生，服务态度较好，周围购物较为方便', 'star': 5}
{'descr': '闻着一股怪味，其他都还凑活，隔音效果不好，睡的时候老能听见响动，地理位置好', 'star': 1}
{'descr': '环境不错.屋内也比较干净。就是房间有点小', 'star': 5}
{'descr': '隔音效果不太好！住在12楼，电梯间的机械运作声音特别大，开着电视都能听见，更别说好好休息了，对睡觉轻的朋友来说不推荐住顶层，朋友住在3楼听见隔壁的声音非常吵，夜深人静时你懂的。不过地段不错，这点还可以。', 'star': 1}
{'descr': '很干净，很舒服', 'star': 3}
{'descr': '很干净', 'star': 3}
{'descr': '此处周边无任何商店，服务人鱼态度恶，晚上不知声音，睡不好。', 'star': 1}
{'descr': '如家连锁酒店都差不多，条件不错，不过周边吃饭的太少。', 'star': 1}
{'descr': '顶灯不好。一直闪，吓死人。被单粉红的，不错', 'star': 5}
{'descr': '设施不错，价格便宜，被单绿色的，不怎么好看。台灯是坏的。', 'star': 5}
{'descr': '环境很安静，布置比较温馨，吃饭有些不方便', 'star': 3}
{'descr': '服务不错 床也挺舒服的', 'star': 3}
{'descr': '舒适、卫生，不错的酒店，值得！还会再去，推荐', 'star': 5}
{'descr': '不错，服务很周到，好，下次还去。', 'star': 3}
{'descr': '环境一般，不是差，不过去南内环桥西很方便，还性行。。。。。。。。。。', 'star': 5}
{'descr': '干净舒适，房间比较大；但暖气似乎不够热，需要开空调辅助温度！', 'star': 5}
{'descr': '不错很干净，环境也和好。床很舒服也很干净！', 'star': 5}
{'descr': '还不错，蛮干净的，各种用具一应俱全，服务也还不错，就是用了一点力气来找', 'star': 5}
{'descr': '房间非常的大，而且墙壁都是实心砖，隔音很好。听说是以前的宾馆改建的。卫生干净。', 'star': 5}
{'descr': '没什么好说的 早餐不太丰富，屋里环境还行', 'star': 1}
{'descr': '就是蚊子太多 冬天了怎么还有蚊子 搞不明白', 'star': 5}
{'descr': '新开的还不错 早餐不太丰富 环境还不错 已经第三天住了', 'star': 5}
{'descr': '总体不错，就是网站上说有免费停车，但实际上停车不管。同等价位更推荐锦江之星', 'star': 5}
{'descr': '内部环境还算干净整洁，居住安静，我点的商务大床房有点小，连个衣橱也没有，餐厅在三楼，不是很便捷，附近比较难打车！', 'star': 3}
{'descr': '在这个价位感觉比较干净。但感觉房间小，除了卫生间；也就十多平米。屋里没有衣柜衣服架。', 'star': 3}
{'descr': '酒店的环境还可以，服务员的服务态度比较好，尤其是合作饭店的早餐花样比较多，口感也好！', 'star': 5}
