{'短评内容': '相对于价格来说，各方面都很好。', '短评打分': 3}
{'短评内容': '免费停车，卫生干净，经济型酒店，适合出差，家人出游居住。卫生清洁，设施齐全完备，房间隔音效果不错，推开窗户，窗外景色很好！', '短评打分': 5}
{'短评内容': '还可以凑合', '短评打分': 4}
{'短评内容': '总体还不错的。', '短评打分': 5}
{'短评内容': '总体还不错的', '短评打分': 5}
{'短评内容': '有没有？不错，不错，这个酒店住着还比较舒服', '短评打分': 5}
{'短评内容': '。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '300一晚的酒店，好像没什么特别一点的地方阿，可能是火车站附近的原因吧', '短评打分': 5}
{'短评内容': '还不错??', '短评打分': 5}
{'短评内容': '酒店很不错的哦，里面很好，大方上档次', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '非常不错，位置好，空间也大，服务也好', '短评打分': 5}
{'短评内容': '酒店房间干净舒适，设备齐全，住了两天感觉挺舒服的。地理位置挺好。我坐动车到的苏州站，到酒店也就两公里，滴滴打车应该挺便宜的。我到南广场立交桥下（西线）坐的游2路公交。到齐门站走了几百米。酒店门口31路车可以直接到寒山寺，如果去山塘街坐31和54路到上塘下车往回走一点就是山塘街。山塘街全长七里，可以一直走到虎丘。31路还直接到观前街。酒店门口的游1路可以直接到虎丘路就到虎丘景区了。酒店离拙政园和狮子', '短评打分': 5}
{'短评内容': '酒店还可以，跟平时住的快捷酒店没什么区别。莫泰跟如家是同一家，所以订便宜那个就行。里面有外卖单，绝对坑爹的，点了10元扬州炒饭、18元随意小炒、一瓶500毫升雪碧（菜单没标价），收了我40，一点肉都没有，成本不到5元，味道、口感超差，好难吃，难怪收了钱立刻跑，一句谢谢都没有', '短评打分': 4}
{'短评内容': '还可以，这个价格对这样的房间来说值了', '短评打分': 4}
{'短评内容': '挺不错的，服务周到，谢谢！', '短评打分': 5}
{'短评内容': '不错的环境，比较安静', '短评打分': 5}
{'短评内容': '性价比比较高', '短评打分': 5}
{'短评内容': '好评', '短评打分': 5}
{'短评内容': '环境很好，服务也到位', '短评打分': 5}
{'短评内容': '携程你是不是狗屎啊？价格比店面挂牌价还贵，你们董事长是穷的或者黑的什么钱都要赚呀？真是生儿子不长屁眼的东西。', '短评打分': 3}
{'短评内容': '服务，环境都还不错', '短评打分': 5}
{'短评内容': '价格适中，交通便利，比预期好', '短评打分': 5}
{'短评内容': '从苏州火车站步行只需要十分钟路程，宾馆门口还有条河，环境挺不错。', '短评打分': 5}
{'短评内容': '位置方便，一出火车站就可以走到。到各个景点也方便，还不错~', '短评打分': 5}
{'短评内容': '位置方便，一出火车站就可以走到。到各个景点也方便，还不错~', '短评打分': 5}
{'短评内容': '房间还干净，就是出门打车不容易，附近小吃店没有。要走有点路', '短评打分': 5}
{'短评内容': '酒店的环境挺不错，服务态度很好。', '短评打分': 3}
{'短评内容': '里面设计很好，装修不错，尤其是服务周到，就是靠路边早上有点吵。', '短评打分': 3}
{'短评内容': '环境不错，在老城区，去景点很方便。美中不足的是房间内设备用的时间太久了', '短评打分': 5}
{'短评内容': '酒店干净 停车方便  周边交通方便 离火车站 观前街都方便', '短评打分': 5}
{'短评内容': '离火车站起步价距离，还算方便。', '短评打分': 3}
{'短评内容': '家庭房，价格很给力，而且据说非常舒适，该有的都有，房间也很宽敞，就是在修路，看着很近，还是走了一大圈，总的来说，交通便利，价格实惠，还会去住的。', '短评打分': 5}
{'短评内容': '183元一晚，无双早，不划算，房间不大，空调无力，床单好像是化纤的，不舒服，不值。', '短评打分': 1}
{'短评内容': '离各个景区很近。一下火车站起步价就到了。', '短评打分': 5}
