{'短评内容': '地点合适，难找，性价比一般，吃饭方便。离地铁较近。', '短评打分': 5}
{'短评内容': '＋下次不会再选择的酒店。', '短评打分': 3}
{'短评内容': '地方太隐蔽不好找，没有自己的停车场，需收费。', '短评打分': 1}
{'短评内容': '环境和设施满意  离市中心近  遗憾的是房间隔音效果不佳', '短评打分': 3}
{'短评内容': '不错的，离地铁也近，还有厨房。比较干净。', '短评打分': 5}
{'短评内容': '一般般，就是网速还行，其他的不怎么样。周围没什么吃饭的地方                                ', '短评打分': 1}
{'短评内容': '好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好', '短评打分': 5}
{'短评内容': '又破又濫 千萬不要去住 本來要住一週的 第二天就跑了 住過最差的酒店\n', '短评打分': 1}
{'短评内容': '一家不错的家庭式酒店。很安静。交通方便。', '短评打分': 5}
{'短评内容': '一家不错的家庭式酒店。房间比较大，价位还可以。', '短评打分': 5}
{'短评内容': '还行。离出差地点比较近，环境有点吵杂，不过应该还会住', '短评打分': 5}
{'短评内容': '太差了，脏兮兮的，混杂在办公室、住家、另一家所谓酒店的房间中间。', '短评打分': 1}
{'短评内容': '地理位置方便有利，环境优美，交通便利，闹中取静。。。。', '短评打分': 5}
{'短评内容': '环境很好，下次还来', '短评打分': 3}
{'短评内容': '勉强可以，跟这个价格还是比较相符的。', '短评打分': 3}
{'短评内容': '挺不错的，推荐自助游的旅客，闹市独幽静。。。。。。。。', '短评打分': 5}
{'短评内容': '订房之前就知道另有一家跟这家在同一个楼里\n但大致看了下评价觉得还是这家好些 所以订了这家\n但行程的最后一天还是订了另外一家\n所以我算是有比较才有发言权的那种\n我们4个大人1个小孩要了个家庭房，两张大床分别在两个房间里\n而最后一天所住另一家的差不多一半价格的豪华标间里，一个房间里放下了1米5和1米8两张大床，同样也能解决我们一家子的“只是睡一晚”的低级需求\n其它设施，两个宾馆都差不多（小小的没有干湿', '短评打分': 1}
{'短评内容': '房间还不错，是住宅改造的。就是位置不好找。早餐15元不算值。其他还可以。', '短评打分': 5}
{'短评内容': '不如住其他快捷酒店 卫生环境都赶不上其他酒店', '短评打分': 1}
{'短评内容': '房间应该是公寓楼改装的，比较宽敞，周围交通比较方便，不过地方不是太好找。总的还算可以。', '短评打分': 5}
{'短评内容': '服务挺热情挺周到，能提供早餐，位置挺好，周边交通挺便利。', '短评打分': 5}
{'短评内容': '挺好，房间住着挺舒适，停车场也挺大，下次还会光顾的。', '短评打分': 5}
{'短评内容': '房间挺宽敞挺干净，住的挺舒适，位置也挺好，出行挺方便的。', '短评打分': 5}
{'短评内容': '酒店房间很大，而且离地铁站特别近，晚上不是很好找以为丰德国际广场（其实挺大的）晚上牌子不亮，但白天很好找。设施比较一般但是价钱绝对超值，而且很静。它和景阳商务酒店在一栋楼里。', '短评打分': 5}
{'短评内容': '酒店有点不太好找，设施也不是很出色。。但是房间超级大，是由小型公寓改建的，厕所厨房冰箱都有。自己住还是很不错的', '短评打分': 5}
{'短评内容': '酒店是公寓形式的，房间大小还好，布置挺温馨，卫生也很好，住着挺舒适。', '短评打分': 5}
{'短评内容': '酒店挺不错，服务非常热情主动，这点很满意，房间装修的挺欧式，看着挺舒适的。', '短评打分': 5}
{'短评内容': '房间很大，还带厨房呢，整体感觉挺不错，服务很到位，位置也不错，出行挺方便。', '短评打分': 5}
{'短评内容': '酒店有个大的地下停车场，停车挺方便的，服务上很好，办事积极主动，这点挺好。', '短评打分': 5}
{'短评内容': '挺不错，房间舒适度还好，性价比也挺好，值得推荐。', '短评打分': 5}
{'短评内容': '酒店规模不大，房间不是很多，但装修的很好，空间也挺大，基本设施都有，住着挺舒适。', '短评打分': 5}
{'短评内容': '环境还不错，交通方便，但是酒店没有明显的招牌，很难找', '短评打分': 5}
{'短评内容': '酒店挺有特色，每个房间装修的不一样，卫生做得很到位，服务也不错，整体感觉挺好。', '短评打分': 5}
