{'短评内容': '还好用哦哦', '短评打分': 4}
{'短评内容': '酒店地理位置还不错，去哪都比较方便，旁边不远还有上品折扣和超市，但是环境只能说一般，跟网吧一个楼层，WiFi信号不是很好，人人多的时候就根本连不上，没有窗户，一股霉味，卫生条件也一般吧，总的来说还是很划算的，毕竟去哪都方便！！', '短评打分': 5}
{'短评内容': '通风效果不太好！每次进房间都要猛换气一番！不过总体不错啦', '短评打分': 5}
{'短评内容': '通风效果不太好！每次进房间都要猛换气一番！不过总体不错啦', '短评打分': 4}
{'短评内容': '环境很好，', '短评打分': 5}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '卫生间有点小。', '短评打分': 4}
{'短评内容': '价格实惠价格实惠价格确实实惠', '短评打分': 5}
{'短评内容': '房间很干净，洗脸池有些溅水，交通便利，房间有窗，有个平台可以放东西，不错。', '短评打分': 5}
{'短评内容': '服务员的态度有的好有的不好，周边环境还不错，交通也挺方便，隔音效果有点不好，晚上有时候就睡不着觉，设备还算齐全', '短评打分': 4}
{'短评内容': '交通挺方便的 ', '短评打分': 4}
{'短评内容': '不错，便宜', '短评打分': 5}
{'短评内容': '不错，便宜', '短评打分': 5}
{'短评内容': '酒店里地铁10号线草桥站不远，周围吃饭的地方也很多，银行，公交站，超市，饭店，快餐店都有，很方便的，在北京，这个价钱很合的，很难找到物美价廉的酒店了', '短评打分': 5}
{'短评内容': '厕所排风坏的，闻到不是一般的大，床单被罩是别人用过没换的，差到不行！', '短评打分': 1}
{'短评内容': '房间好大味，我没有住就退了，可是钱退不了', '短评打分': 2}
