{'短评内容': '可以不错', '短评打分': 5}
{'短评内容': '床超级小，没有吹风机。比普通一百多的房间还差。感觉再也不会在携程上定房间了，太坑了。价格贵。一到那边都是宾馆，还显示没房间。总之房间很差。', '短评打分': 2}
{'短评内容': '没有早餐，没有停车场，唯一值得一提的是服务态度还你可以！', '短评打分': 3}
{'短评内容': '老板人不错，还不错！', '短评打分': 5}
{'短评内容': '还可以，卫生不错，主要是便宜。', '短评打分': 4}
{'短评内容': '总体不错，在横店算很实惠的，下次还会住', '短评打分': 4}
{'短评内容': '酒店房间不放一次性拖鞋地板不防滑吹风机还的自己去吧台拿，房间不放吹风机不方便', '短评打分': 3}
{'短评内容': '环境很好，干净，距离景点近', '短评打分': 5}
{'短评内容': '主人很热情，环境还可以，离景区较近。', '短评打分': 5}
{'短评内容': '老板人很好。去景点玩可以找店里人帮忙接送。房间挺干净。', '短评打分': 3}
{'短评内容': '环境还可以，周边交通木有.', '短评打分': 4}
{'短评内容': '服务很好，热情', '短评打分': 5}
{'短评内容': '物超所值，138真的很便宜，第二天住其他酒店400多的也就装修好一点，出来旅游就是睡一觉，起床就出去玩了！很好的地方', '短评打分': 5}
{'短评内容': '酒店挺好，干净，安静，是自驾游很好的选择', '短评打分': 3}
