{'短评内容': '性价比高！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！', '短评打分': 4}
{'短评内容': '性价比很高！很适合出差，低消费着！', '短评打分': 4}
{'短评内容': '非常好啦～性价比非常高，老板人很好，房间Wi-Fi也快，店内售卖的饮料也非常平价，交通也非常便利，非常满意！', '短评打分': 5}
{'短评内容': '还不错哦…零零落落零零落落零零落落零零落落零零落落零零落落零零落落零零落落零零落落hhjjjjjjm', '短评打分': 5}
{'短评内容': '还不错啦～lllllllllllllllllllllllluuhhhhhjjhhhghhfgjjhghh', '短评打分': 5}
{'短评内容': '还不错，性价比可以。', '短评打分': 5}
{'短评内容': '差评！', '短评打分': 2}
{'短评内容': '总体还可以 小旅馆不能要求过多 三亚消费太高 能住这样的也可以了 就是床的声音太大 还有些硬 称赞的就是地理位置优越 附近是闹市区有很多吃的逛的 还有很多停车场 不过如果有钱还是建议住亚龙湾和凤凰岛 前提是有钱 没钱的话就和我们这样吧', '短评打分': 4}
{'短评内容': '从陵水坐车到三亚市区就近选了一家酒店，房间整洁干净，通风采光好。点虽然不大但是很物美价廉。', '短评打分': 5}
{'短评内容': '订的普通标间，到店里才知道还有精装修的主题房，好像还不错下次可以试试。', '短评打分': 5}
{'短评内容': '还不错，可以继续，就是价钱高点', '短评打分': 4}
{'短评内容': '宾馆规模不大，很干净整洁，热水给力。价格很实在，性价比比较高吧，我们第一次来海南，店老板很热情，给我们推荐了很多好吃好玩的地方。非常感谢！下次来还会选择这家。', '短评打分': 5}
{'短评内容': '性价比非常高的宾馆，订的普通房，有没卖完的主题房，老板免费帮我们升级了，老板人太好啦，赚到了 哈哈。三亚住民宿我还会来这家，棒棒哒！发几张这个店即将上线的主题房间给大家分享一下。', '短评打分': 5}
{'短评内容': '在市中心的宾馆，交通方便离海边也不远，很方便。价格也不贵性价比很高，老板很热情给我们推荐了三亚很多玩的地方，现在还有重新装修过的主题房间，很好，下次来还会选择这家店，很棒！', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
