{'短评内容': '环境还可以吧', '短评打分': 3}
{'短评内容': '宾馆的房间还是蛮好的，就是隔音有点差，晚上人上上下下的声音听的格外的吵，离西栅蛮近的，想去西栅玩的住这里不错', '短评打分': 5}
{'短评内容': '卫生间很干净，蛮不错的，就是床有点差，一坐下也会有响动！', '短评打分': 3}
{'短评内容': '位置还算不错，紧邻通化广场，比较好找。\n优点：价位还可以；热水很好，空调不错。\n缺点：电视不能用（我的房间没有，开始说给调换，但是一直没有提，问了也说没有空房间，其实还有。）上网基本瘫痪，硬线插口的，网速连QQ都登不上，网页打不开。（我是用无线偷的别人的信号用的。）没有餐饮提供，桌子上的饮料有部分已经濒临过期。装修实在简单。最让人头疼的是没有房门钥匙（宾馆不给），说是很安全，但是不方便。\n最后同志', '短评打分': 1}
{'短评内容': '价位实惠，就是有点简陋了。', '短评打分': 3}
{'短评内容': '还可以吧', '短评打分': 3}
{'短评内容': '地点不错，服务很好，环境很一般。好好的乌镇彻底被人类糟蹋了！', '短评打分': 1}
{'短评内容': '还行', '短评打分': 3}
{'短评内容': '卫生还好，老板也比较热情，但是房间很小…住在东栅景区比较好…', '短评打分': 3}
{'短评内容': '不错不错！车接车送。店主服务态度超好的，还有车接车送，房间干净整洁。离景点又近。 ', '短评打分': 5}
{'短评内容': '老板确实非常热情  但是旅馆设施及环境太一般了 与价格不符', '短评打分': 5}
{'短评内容': '不值呀，就一般的100元的店，要了400块了', '短评打分': 1}
{'短评内容': '房间不错，离景区很近。', '短评打分': 3}
{'短评内容': '非常满意!', '短评打分': 3}
{'短评内容': '车接车送，老板人好，热情周到，值得入住，民宿旅店。', '短评打分': 5}
{'短评内容': '入住的整体感觉还行,就是感觉房间空间有点小.', '短评打分': 3}
{'短评内容': '很好的宾馆，各方面都很齐全，感觉温馨。', '短评打分': 3}
{'短评内容': '老板热情友善，接送及时，雕花大床房小了一点，有一个屋内没有卫生间，玩起来方便，其他都很好！', '短评打分': 5}
{'短评内容': '旅馆位置不错，离东栅和西栅都比较近，玩起来较方便，订的雕花大床房，有点小，床有点晃，老板很热情，负责接送，可以让老板代买乌镇特产，便宜，总体来说不错，住的还是比较舒服。', '短评打分': 5}
{'短评内容': '雕花大床房小了一点。。。\n不过老板很热情\n', '短评打分': 5}
{'短评内容': '隆源宾馆服务态度比较好，就是房间设备比较陈旧', '短评打分': 5}
{'短评内容': '老板人很好的，车子接送。离景区也很近的，步行就可以到达。很愉快的住宿。', '短评打分': 5}
{'短评内容': '老板蛮热情的，还来车站接我们了\n\n不过回店比较晚，十一点多了，洗澡洗到第二个人的时候水有点凉', '短评打分': 5}
{'短评内容': '住过好几次了。他们家的房间一般，但是重在热情。老板很热心。', '短评打分': 5}
{'短评内容': '这家洒店服务还好，卫生也不错。在当地算是一家好酒店吧。', '短评打分': 5}
{'短评内容': '帮朋友预定的。老板真的很热心，车子接送到汽车站，所以感觉非常的方便，感觉性价比不错。下次有机会去乌镇我还选择这家', '短评打分': 5}
{'短评内容': '老板，很热情的~\r\n乌镇，当你离开后，你会有想再去一次的冲动~', '短评打分': 3}
{'短评内容': '酒店地理位置很好，离2个风景区都很近。老板人很好，都免费接送的。还详细的介绍景点。下次过去一定还住这个酒店。', '短评打分': 5}
{'短评内容': '宾馆有车，去乌镇景点都是车接送的，宾馆服务态度很好。', '短评打分': 5}
{'短评内容': '老板很热情，服务态度很好，房间有点小。离西栅东门步行约10分钟。楼下有家“花都饭店”，老板也不错。', '短评打分': 5}
{'短评内容': '老板回来接送这点比较好。印象也比较深。宾馆本身条件就一般般，没什么特色的。总体还是可以的。值得入住。', '短评打分': 5}
{'短评内容': '住得是雕花大床，床不错，睡着也舒适，房间空间有点小。', '短评打分': 1}
{'短评内容': '提供接送  很方便 服务很好 设施比较齐全 还有卫生间洗澡不太方便 热水器温度不稳定 ', '短评打分': 5}
{'短评内容': '当地人的民宅房子，别有一番风味。卫生度有待提高，但老板还是比较热心给换了雕木大床房，还会送你去车站搭车。', '短评打分': 5}
{'短评内容': '＋位置还不错，离景区近，饭菜很一般，不推荐，卫生条件尚可。', '短评打分': 5}
{'短评内容': '嗯，不错的地方，我订的是花雕床，卫生间与房间是分开的，嘿嘿，床睡的不错！老板开车去接的', '短评打分': 5}
{'短评内容': '极差，没有保安，私人招待所，，，，，，，，，，，，，，，，，，，，', '短评打分': 3}
{'短评内容': '就是一个私人开的旅馆没有没有服务员没有保安就是很小招待所。卫生设施也很差，位置不怎么好找，价格的话还是很贵的。', '短评打分': 1}
{'短评内容': '总体来说，还是不错的。老板很热情，店内有旅游记念品卖，很便宜。', '短评打分': 5}
{'短评内容': '离景区都很近!韩老板人很好\u3000车接车送!', '短评打分': 5}
{'短评内容': '挺不错了，尤其是老板服务很好,到乌镇后，打电话可以去接站的', '短评打分': 5}
{'短评内容': '距离景区近，位置不错，推荐大家去看西边夜景。', '短评打分': 3}
{'短评内容': '＋感觉就是家庭旅馆，卫生环境很一般，但位置不错', '短评打分': 5}
{'短评内容': '简陋，没安全感', '短评打分': 5}
{'短评内容': '老板很热情真诚，免费接送，宾馆条件也不错，很干净舒服，有空调，热水器，只是没有一次性用具，需要自己带。总体还是很好的！', '短评打分': 5}
{'短评内容': '旅游预算不多的话,不妨可以考虑一哈~~~~', '短评打分': 5}
{'短评内容': '可以的 ， 在景区边  很近\r\n可能是暑假  人特别多   建议大家来玩的话  不要在这么热闹的时候哈', '短评打分': 5}
{'短评内容': '   自家住房改建的宾馆，标准房比较大，雕花大床房比较小。卫生方面都还不错，房间也很舒适，性价比高，离东西栅的距离也适中，老板负责接送。有什么问题都可以问老板，服务态度也好，比较美中不足的就是没有电脑，没有洗衣服务，衣服你要自己洗，然后店家帮你甩干，自己拿到楼顶去晾晒。', '短评打分': 5}
