{'短评内容': '卫生什么的都一般，但是考虑到这个价格，还能接受。要求高的就不要住了。', '短评打分': 3}
{'短评内容': '位置不错，靠近医院，离市中心近，周边停车方便', '短评打分': 5}
{'短评内容': '总体还可以', '短评打分': 4}
{'短评内容': '还好', '短评打分': 5}
{'短评内容': '可以', '短评打分': 4}
{'短评内容': '一般般 还行', '短评打分': 4}
{'短评内容': '还不错吧！', '短评打分': 5}
{'短评内容': '酒店设施陈旧，太旧，要好好换个下。', '短评打分': 2}
{'短评内容': '不错的酒店和服务', '短评打分': 5}
{'短评内容': '这家酒店是这个价格里，住的最差的了。洗澡没有热水，不能忍受！WIFI信号弱的连不上，问前台，说老板出去了，回来修，现在坏了，让她快点修，说那也没办法，不能忍受！前台态度爱搭不理的，让人不能忍受！结账开发票，还开不了，说过后给邮，住个酒店还得催着要发票。总之就是一个字，差到家了！根本就不值这个价格，希望看到我评论的人，不用再上当受骗了。', '短评打分': 1}
{'短评内容': '酒店环境一般，前台处理服务质量有待提高', '短评打分': 3}
{'短评内容': '酒店房间很旧，墙上的墙纸都已脱落，房间里有块吊顶也没了，电话也没线，房间卫生很差，地毯很脏了，杯子，龙头，洗脸盆等都不干净，毛巾也黑黒的，感觉很差', '短评打分': 3}
{'短评内容': '临时出游,不讲究凑和能住吧吧吧', '短评打分': 3}
{'短评内容': '环境只能说很一般', '短评打分': 4}
