{'descr': '整体来说还是不错的地理位置极佳', 'star': 5}
{'descr': '房间很小,窗户在走廊里,等同没有,不透风,让人感觉压抑.房间隔音差,能听到隔壁的任何声音.价格也不便宜.', 'star': 1}
{'descr': '1.因为预定的房间类型没房了，免费帮我们升级到商务客房。可以上网，有窗户。但是隔音很不好。\n2.整个走廊的地毯很脏，貌似没有人打扫，还有地方在漏水，感觉不好。\n3.楼下旁边就有一家吉祥馄饨，还不错。', 'star': 1}
{'descr': '前台服务员素质太差，网站上只有无早和双早，预定房间只需要一人证件，预定了双早登记了一人却只给一人的早餐，总台服务人员给出的说法是我们这里就是这个规定，爱怎么着就怎么着，要求投诉该服务人员，叫出经理又告知可以给双份早餐。一行十二人到达酒店，门口连接待的服务生都没有，别说帮助拿行李的服务生没有，连行李车都没有，告知一句半个小时以后才会有完事了。如此服务哪配得上五星，应该是无星。真是差，不是一般的差。强', 'star': 1}
{'descr': '前台服务员素质太差，网站上只有无早和双早，预定房间只需要一人证件，预定了双早登记了一人却只给一人的早餐，总台服务人员给出的说法是我们这里就是这个规定，爱怎么着就怎么着，要求投诉该服务人员，叫出经理又告知可以给双份早餐。一行十二人到达酒店，门口连接待的服务生都没有，别说帮助拿行李的服务生没有，连行李车都没有，告知一句半个小时以后才会有完事了。如此服务哪配得上五星，应该是无星。真是差，不是一般的差。强', 'star': 1}
{'descr': '酒店装修气派，距离北京国际机场航站楼很近，就是定价有些高，上网也要付费，总体来说不错', 'star': 5}
{'descr': '酒店装修气派，距离北京国际机场航站楼很近，就是定价有些高，上网也要付费，总体来说不错', 'star': 5}
{'descr': '酒店离首都国际机场航站楼很近，装修非常气派，提供免费接机服务，就是价格偏高，推荐！', 'star': 5}
{'descr': '酒店离首都国际机场航站楼很近，装修非常气派，提供免费接机服务，就是价格偏高，推荐！', 'star': 5}
{'descr': '多次为客人预订此酒店，客人反映酒店本身硬件很不错，就是吃饭较贵，希望酒店在此工作上在下功夫。在北京以后还会预订该酒店。', 'star': 5}
{'descr': '多次为客人预订此酒店，客人反映酒店本身硬件很不错，就是吃饭较贵，希望酒店在此工作上在下功夫。在北京以后还会预订该酒店。', 'star': 5}
{'descr': '价格涨了。有点不值。', 'star': 3}
{'descr': '价格涨了。有点不值。', 'star': 3}
{'descr': '酒店装修还蛮新。乘酒店的车到机场只要20分钟不到，非常方便。半夜都可以乘车哦！', 'star': 5}
{'descr': '酒店装修还蛮新。乘酒店的车到机场只要20分钟不到，非常方便。半夜都可以乘车哦！', 'star': 5}
{'descr': '住了n次得酒店。 同比 假日酒店，这个位置算很贵的了。 服务和房间都不错。 可以去旁边的欧陆广场吃饭。 走路约10-15分钟。出行不方便。', 'star': 5}
{'descr': '住了n次得酒店。 同比 假日酒店，这个位置算很贵的了。 服务和房间都不错。 可以去旁边的欧陆广场吃饭。 走路约10-15分钟。出行不方便。', 'star': 5}
{'descr': '住了n次得酒店。 同比 假日酒店，这个位置算很贵的了。 服务和房间都不错。', 'star': 5}
{'descr': '住了n次得酒店。 同比 假日酒店，这个位置算很贵的了。 服务和房间都不错。', 'star': 5}
{'descr': '酒店环境很好\n周边吃饭的地方要去欧陆广场附近。\n离机场很近。相对环境 价位有点高', 'star': 5}
{'descr': '酒店环境很好\n周边吃饭的地方要去欧陆广场附近。\n离机场很近。相对环境 价位有点高', 'star': 5}
{'descr': '酒店环境很好，周边环境一般。 出行不是很方便。离机场2号航站楼10-15分钟车程。3号 15-20 车程 。 ', 'star': 5}
{'descr': '酒店环境很好，周边环境一般。 出行不是很方便。离机场2号航站楼10-15分钟车程。3号 15-20 车程 。 ', 'star': 5}
{'descr': '房间不隔音，服务不到位，毛巾该换了，订的早餐以没看见门上挂的牌子为由，虽然送了3个早餐盒，但是头天晚上的挂账消费仍然令我耿耿于怀，如果这么怕客人押金不够消费，何不多收些押金？信用卡预授权和身份证都是干嘛用的？抱歉，因为没遇上过被拒绝房卡签帐的事情，所以有些愤青\n这样的硬件和软件直接导致，价格严重不符合，性价比太差\n以后去那儿办事还会住，因为要去的地方实在是只有这家能住的，实属无奈之举，并不是因为它', 'star': 1}
