{'短评内容': '不错 还有早餐 挺棒的！', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '这次多拍了几张照片，供各位品鉴。个人觉得花园阳台很好尤其夏日，看书聊天休闲商务非常适宜，喜欢的朋友们快去体尝一下吧！', '短评打分': 4}
{'短评内容': '干净卫生方便', '短评打分': 5}
{'短评内容': '条件一般，', '短评打分': 3}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '房间整体还可以，客房服务员必须培训，大清早还睡着呢，服务员没敲门直接刷卡进来了…太窝火！！！', '短评打分': 4}
{'短评内容': '可以', '短评打分': 3}
{'短评内容': '可以', '短评打分': 3}
{'短评内容': '地段不错，房间有点像迷宫，要穿过长长的走道拐两个弯，有停车场。周边玩的柳湖公园也很近。', '短评打分': 5}
{'短评内容': '位置和环境还不错，可是没有电梯，找房间跟迷宫一样有点晕乎', '短评打分': 5}
{'短评内容': '可以！就是充电插座少', '短评打分': 4}
{'短评内容': '酒店交通方便，服务态度好', '短评打分': 5}
{'短评内容': '为什么两天的订单变成了一天？', '短评打分': 3}
{'短评内容': '周边环境不错，房间装修一般，没有电梯是硬伤，行李箱还得提上提下。', '短评打分': 3}
