{'短评内容': '非常好、很满意、以后如果再去合肥一定还会再来这里的。', '短评打分': 5}
{'短评内容': '方便，环境也不错的，下次再来', '短评打分': 5}
{'短评内容': '#ud83c#ude36️、这种天气最新影讯？我是你是个个个别地方新闻单位的负责人表示将进一步加大力度、一定程度了？！？！我', '短评打分': 5}
{'短评内容': '#ud83d#udc4c#ud83c#udffb', '短评打分': 4}
{'短评内容': '还可以，招待朋友。方便！', '短评打分': 4}
{'短评内容': '地方不好找，后面是建筑工地在建房子，晚上也施工，去前台的时候前台服务员一直在打电话看到我们跟没看到似得，过了好一会儿才问我们有什么事？当然是住店啊不然我站在那干嘛？立马印象分就很差了，房间很小，很破，走廊里还有情色小广告…整个房间里能用的插座就一个，两个人手机充电还是轮流充的…其他我就不讲了，都是泪…也就大学旁边旅馆的水平…', '短评打分': 3}
{'短评内容': 'Wifi信号几乎没有，电视全雪花', '短评打分': 3}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '过得去。。。。。。。。。。。', '短评打分': 3}
{'短评内容': '过得去。。。。。。。。。。', '短评打分': 4}
{'短评内容': '闹中取静，停车方便，这个价位硬件环境算不错的，唯一的不好是边上有工地，夜里施工。', '短评打分': 5}
{'短评内容': '洒店诚信，服务好，环境好，设施齐全。', '短评打分': 5}
{'短评内容': '比想象的差   哎', '短评打分': 2}
{'短评内容': '设备陈旧，卫生一般，价格适中', '短评打分': 3}
{'短评内容': '一般化', '短评打分': 3}
{'短评内容': '房间设施一般，卫生挺干净。停车也很方便。', '短评打分': 1}
{'短评内容': '以为是新酒店，入住后才知道是老酒店翻新。还有点装修味道。设施一般，卫生挺好。酒店在保险公司院内，挺安静。酒店门口停车位挺多，停车很方便。宾馆大堂的空调竟然不制冷，好热，只好出去吃饭。可宾馆附近想找个有比较凉快些空调房间的饭店都没有。这么热的天气真不方便。', '短评打分': 1}
{'短评内容': '老酒店翻新，硬件一般，相当于一般的快捷酒店。卫生还可以。这么热的天，宾馆酒店大厅竟然空调不制冷，很热。', '短评打分': 1}
