{'短评内容': '没有停车地方', '短评打分': 5}
{'短评内容': '环境比较喜欢', '短评打分': 5}
{'短评内容': '太差了，卫生间不像样子，像临时的，马桶无盖不下水，极差！墙壁发莓有蚊子蜘蛛。上当了，不好看网上评价的！', '短评打分': 3}
{'短评内容': '卫生、设施太差了，三百多元根本不值，住过的酒店是最差的。网上之前的评价都太假了，受骗上当的感觉，还好住一晚上，不然得气死！', '短评打分': 3}
{'短评内容': '就在景区内..帮买买票可以打5折哦..名宿和酒店是没发比的哈..卫生干净床舒服.赞的', '短评打分': 5}
{'短评内容': '靠景点很近！！！，老板人真的很好，！！！，因为是淡季，老板还帮我们升了房！！！让老板帮忙买门票很便宜，，', '短评打分': 5}
{'短评内容': '两个字，完美', '短评打分': 5}
{'短评内容': '去的时候刚好赶上新老板接手，性价比很好！让我认为最值的是认识老板这个朋友！强烈推荐', '短评打分': 5}
{'短评内容': '从古镇景区主入口进入后，走路几分钟就到。跟景区内大多数客栈相处，离主景点远了点，不过也安静了许多。内部设施跟环境没有明显不足，都说得过去。', '短评打分': 3}
{'短评内容': '整体还行，但淋浴房做的不好，冲凉会弄得一地都是水。答应能带进景区的，结果没做到，感觉门票花的冤...', '短评打分': 3}
{'短评内容': '还行不在景区内不过服务还不错', '短评打分': 3}
{'短评内容': '单间有点味道  其他还OK', '短评打分': 3}
{'短评内容': '店主是帅哥，酒店还可以，比较干净', '短评打分': 3}
