{'短评内容': '没有早餐，住的还好，周围环境不错。', '短评打分': 5}
{'短评内容': '干净、空气清新舒适安静，老板人热情、菜也烧的可口，有机会一定会去多住几天！', '短评打分': 5}
{'短评内容': '性价比低', '短评打分': 3}
{'短评内容': '挺好', '短评打分': 5}
{'短评内容': '房间还行，位置不错，隔音不好', '短评打分': 5}
{'短评内容': '实际住的是汤口店，选择该店是因为要去翡翠谷和九龙瀑玩，该位置交通不太方便，好在老板送我到翡翠谷，出来后又送我到九龙瀑，次日早上送我到换乘中心。', '短评打分': 4}
{'短评内容': '总体还行，周围风景不错。', '短评打分': 4}
{'短评内容': '总体还好，周围环境真不错。', '短评打分': 4}
{'短评内容': '环境好！', '短评打分': 4}
{'短评内容': '很干净', '短评打分': 5}
{'短评内容': '老板人很热情但是不多话。去景区也是车接车送的，价位合理，饭菜也很有特色。房间干净，整洁。很好。', '短评打分': 5}
{'短评内容': '有接送、交通便利、室内整洁、卫生间简单了一些', '短评打分': 3}
