{'descr': '酒店位置还不错，附近有很多吃饭的小饭店，离地铁也比较近，火车站也挺近，大概半个小时的路程就到了，出行是挺方便的。不满意的地方是设施方面，住了两晚，可能是床单或者被套质量粗糙的原因，身上起了红点，有点过敏，枕头也很低，睡着不舒服，容易落枕。', 'star': 4}
{'descr': '没有早餐', 'star': 4}
{'descr': '好，住了两天了', 'star': 5}
{'descr': '非常好，服务好，wifi快', 'star': 5}
{'descr': '隔音不太好，其他都挺好', 'star': 5}
{'descr': '房间干净，高级房大，服务好，热情', 'star': 5}
{'descr': '还可以。住了很久。。', 'star': 5}
{'descr': '在五爱市场附近，很好找，地理位置不错。以后还会来。', 'star': 5}
{'descr': '好好好好好', 'star': 5}
{'descr': '位置还是不错的，但是就有一点不太好，就是电视不能看，住了两个晚上，最后也没给修。是无窗的屋子，还算比较干净。', 'star': 4}
{'descr': '房间床单卫生不高，卫生间卫生用品不全，毛巾浴巾都没有，还要打电话要，结果从晚上10点到12点都没送过来，达不到其他其他七天的水平。', 'star': 3}
{'descr': '酒店还算干净隔音也好，这个人出差住挺合适，而且价格也不贵，位置在市中心出行还是很方便的，下次来南京还住这里', 'star': 5}
{'descr': '干净卫生非常棒', 'star': 5}
{'descr': '一般', 'star': 3}
{'descr': '交通方便，房间太小了。其他还可以吧', 'star': 5}
{'descr': '特别特别特别特别特别特别特别特别特别好！', 'star': 5}
{'descr': '好', 'star': 4}
{'descr': '经济房只能住一楼、 房间就一个毛巾、', 'star': 1}
{'descr': '一般般，前台服务不热情，酒店环境一般，电梯有点担心，临时入住，影响7天品牌', 'star': 3}
