{'短评内容': '早餐不错，停车场比较小。其他的都不错。可以看见瓯江。', '短评打分': 5}
{'短评内容': '价格实在', '短评打分': 5}
{'短评内容': '房间朝南阳光很好，卫生间设备太老旧了。', '短评打分': 4}
{'短评内容': '都不怎么样', '短评打分': 1}
{'短评内容': '整体感觉不错，就是设施稍微有点老', '短评打分': 5}
{'短评内容': '老饭店，只能说性价比尚可。', '短评打分': 4}
{'短评内容': '酒店老4星，停车方便，距离高速方便，加油站也不远，适合自驾来玩的朋友，客房干净安静，价格实惠，吃饭也方便', '短评打分': 5}
{'短评内容': '酒店服务很好！很舒服！很干净！很满意！', '短评打分': 5}
{'短评内容': '还不错吧！就是早餐不怎么样，', '短评打分': 5}
{'短评内容': '好?好好?好好?好好?好好', '短评打分': 5}
{'短评内容': '很萧条的温州啊 酒店周边没啥设施 酒店的设施也很老旧了 感觉几年没装修过 早餐没有来得及吃 不做评价 随便住住吧', '短评打分': 4}
{'短评内容': '全国住下来，酒店房间不大，房间一般', '短评打分': 5}
{'短评内容': '不错，我是去看个老中医近便。', '短评打分': 4}
{'短评内容': '一般的酒店，价格便宜', '短评打分': 4}
{'短评内容': '距离市中心比较近，周边吃喝玩乐地方都比较多，还是比较方便', '短评打分': 5}
{'短评内容': '无酒吧', '短评打分': 4}
{'短评内容': '简单说下，住宿标准四星级靠不上，早餐还算可以，能吃饱。卫生条件马马虎虎，周边环境公交便利，在立交桥下边，出行也算方便。反正对比经常住的四星级五星级我看三星级也勉强吧。个人看法而已！', '短评打分': 5}
{'短评内容': '老四星，中规中矩，也就这样了？', '短评打分': 5}
{'短评内容': '设施真一般', '短评打分': 4}
{'短评内容': '服务好，晚上有送点心，服务很贴心。愿意再次入住。', '短评打分': 4}
{'短评内容': '重新装修过还行', '短评打分': 5}
{'短评内容': '服务有待提升', '短评打分': 3}
{'短评内容': '升级了房间，环境不错，很好，床舒服，早餐一般', '短评打分': 5}
{'短评内容': '升级了房间，环境不错，很好，床舒服，早餐一般', '短评打分': 5}
{'短评内容': '升级了房间，环境不错，很好，床舒服，早餐一般', '短评打分': 5}
{'短评内容': '升级了房间，不错,床比较舒服，隔音很好，早餐一班', '短评打分': 5}
{'短评内容': '入住了还不错', '短评打分': 3}
{'短评内容': '这个酒店还不错啊，一直都是住这个酒店的，酒店的环境优美设施很好啊推荐大家', '短评打分': 5}
{'短评内容': '那个空调弄的人太揪心了，还搞起来只能再规定的时间里用', '短评打分': 1}
{'短评内容': '房间很大很舒适。', '短评打分': 3}
