{'短评内容': '房间很小没窗户空气不流通', '短评打分': 1}
{'短评内容': '挺好的，就是房间没信号没网络', '短评打分': 4}
{'短评内容': '酒店位置方便，性价比高', '短评打分': 4}
{'短评内容': '吃东西方便，味道正宗！停车场很大，停车方便。WiFi也给力。吃东西方便，味道正宗！停车场很大，停车方便。WiFi也给力。', '短评打分': 5}
{'短评内容': '酒店位置都很好！环境还很好，睡觉休息很安静！', '短评打分': 5}
{'短评内容': '住了好几次了，还不错', '短评打分': 5}
{'短评内容': '酒店房间味道较大，设施较好比较齐全，网络速度一般，价格也相对适中，服务员态度和蔼，吃饭、停车比较方便的。', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '这个价位还算可以吧！', '短评打分': 4}
{'短评内容': '不错不错，跑马拉松来的。很卫生', '短评打分': 5}
{'短评内容': '酒店不错，房间干净卫生', '短评打分': 5}
{'短评内容': '有点味道，位置好，有停车场', '短评打分': 4}
{'短评内容': '赶紧还不错，但性价比不高，厕所一用堵了。有蚊子，没窗，还好楼下有早茶喝。', '短评打分': 3}
{'短评内容': '还行，清单给打错名字，也是够大意。。。', '短评打分': 5}
{'短评内容': '还可以挺方便！有停车场，有网络，有饭店。', '短评打分': 4}
