{'descr': '蛮好的', 'star': 5}
{'descr': '蛮好的', 'star': 5}
{'descr': '蛮好的', 'star': 5}
{'descr': '蛮好的', 'star': 5}
{'descr': '一般', 'star': 3}
{'descr': '经济型酒店，价格公道，服务热情。', 'star': 3}
{'descr': '因为就在亲戚家门口，很方便，酒店性价比很高', 'star': 5}
{'descr': '酒店设施陈旧，服务态度尚好，周边环境一般。', 'star': 3}
{'descr': '老客户，习惯住四楼，房间比较干净，设施一般。', 'star': 4}
{'descr': '还算可以吧！。', 'star': 5}
{'descr': '朋友反馈很差，床头柜没有，空调也不能开。特惠房门市价格才100！', 'star': 4}
{'descr': '房间设施各种坏掉，空调吵得不行，卫生间没有排风扇。', 'star': 2}
{'descr': '就在家旁边，每次外地来亲戚都住那里，比较方便。', 'star': 4}
{'descr': '还可以，干净，服务也热情', 'star': 3}
{'descr': ' 价廉物美，还有IPTV电视看，真是避暑的好去处啊！', 'star': 5}
{'descr': '非常好 价格公正 服务也不错 下次还会来的', 'star': 5}
{'descr': '物美价廉，交通便利。这个价格能住上这么好的地方真值！！！', 'star': 5}
{'descr': '地铁1号线直接到通河新村下，再坐个小车到酒店5元，很方便，酒店的卫生还可以，就是酒店属于经济型的，挺满意的。', 'star': 5}
{'descr': '我真的不知道下面那些好的评论是怎么来的，酒店离地铁不近，而且去市中心坐地铁要半个小时，从虹桥火车站到酒店要一个小时，晚上九点就没有回酒店那个站的地铁了！只能坐公交，从人民广场坐回去要1个多小时，各种不方便、\n房间条件一般，一进去充满着没散去的烟味，隔音效果很不好，很吵、\n一进酒店就发现有一群没穿上衣的大汉在大厅里。与其说那是酒店，不如说那是个旅馆\n而且只能一次性交钱，后面不住的话不能退钱，前台小姐', 'star': 1}
{'descr': ' 还可以比较干净', 'star': 3}
{'descr': '不错，环境很好，住了2天。', 'star': 3}
{'descr': '不错的酒店， 经济实惠，交通也很便利，卫生不错，服务也可以。', 'star': 5}
{'descr': '酒店交通便利，房间干净整洁，卫生间也可以，以后会再来住', 'star': 5}
{'descr': '酒店交通方便，价格实惠，房间很干净，很不错，下次来上海还会住这里。', 'star': 5}
{'descr': ' 房间还可以，挺干净，就是没有插口充电，全满了，很不方便', 'star': 3}
{'descr': '干净有IPTV可以看，吃饭什么都很方便，性价比很高。', 'star': 5}
{'descr': '房间很大很干净 价钱很便宜 住的很舒服 服务很好 交通也很便利 坐公交就能到\n', 'star': 5}
{'descr': '态度很差。房间空调没有叶子的，吹都吹不到。', 'star': 1}
{'descr': '温馨且干净，性价比极高。还有IPTV可以看，相当不错。', 'star': 5}
{'descr': '总体来说还行，卫生也很干净，就是毛巾破了点！', 'star': 3}
{'descr': '环境很不错的酒店。店家人很好。附近有个小吃街，就是有点远了，去哪都得到人民广场转地铁，不过距离崇明岛还是算近了。', 'star': 5}
{'descr': '性价比较高，环境不错，这个价位在上海不大好找了！', 'star': 5}
{'descr': '价格决定品质咯 还算比较干净 就是有点远', 'star': 5}
{'descr': '这个价就不要要求太高了，想环境好点就多花点呗', 'star': 5}
{'descr': '房间很棒！有家的感觉！*^o^*', 'star': 3}
{'descr': '很棒...蛮干净的...就是没有电梯而已，但是呢，这没有什么影响..四周也有很多小吃...', 'star': 5}
{'descr': '酒店位置不错，价位也可以，就是 房间有点小。交通挺方便的', 'star': 5}
{'descr': ' 很好很温馨值得去', 'star': 3}
{'descr': '房间很大，服务超好，下次还订这里', 'star': 3}
