{'短评内容': '厕所味道很大，其他还好，不过这个价位已经不错了。', '短评打分': 3}
{'短评内容': '交通便利，价格便宜。', '短评打分': 3}
{'短评内容': '从反馈来的信息得知，酒店设施还可以，但酒店乱加价，这让顾客很不爽。', '短评打分': 4}
{'短评内容': '酒店的设施比较旧，房间里面连瓶水都不送，装修的一般，门要很费力的才能关上，最令人生气的事网络基本上上不了，反应了几次还是不能很好的决绝，只能连上去几分钟。', '短评打分': 4}
{'短评内容': '房间卫生条件很差，晚上回来房间没有打扫，淋浴喷头四处漏水……感觉非常不好！', '短评打分': 3}
{'短评内容': '地理位置极好！无论是去车站、景点，乘、换车都很方便；附近食店众多、口味各异。服务态度也还可以。房间设施与价位基本相当。如对经济旅游中的休息舒适度不要求太高的话，还是可以入住的选择。', '短评打分': 5}
{'短评内容': '简直不如招待所，惊呼上当没商量！', '短评打分': 1}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '不错！性价比很高', '短评打分': 4}
{'短评内容': '不想说！超级差！半夜床上还爬着一条蜈蚣一样的虫子这辈子不会再去了', '短评打分': 3}
{'短评内容': '帮单位同事预定的，普遍反应酒店不怎么样，设施老旧，和小旅馆没什么区别，叫这个名字就是误导消费者了，希望加以改善。', '短评打分': 4}
{'短评内容': '还可以', '短评打分': 3}
