{'短评内容': '环境太差了', '短评打分': 1}
{'短评内容': '早餐需要提高', '短评打分': 5}
{'短评内容': '挺好', '短评打分': 5}
{'短评内容': '房间很旧！', '短评打分': 3}
{'短评内容': '就这样吧...E呃呃呃呃呃呃呃呃呃额额', '短评打分': 5}
{'短评内容': '还不错，正好看喷泉', '短评打分': 5}
{'短评内容': '环境条件还可以', '短评打分': 5}
{'短评内容': '真的好巴四，京东我挺你', '短评打分': 5}
{'短评内容': '差', '短评打分': 1}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '完全总统套房配置，太豪华了', '短评打分': 5}
{'短评内容': '房间够大的', '短评打分': 4}
{'短评内容': '非常温馨的小酒店', '短评打分': 5}
{'短评内容': '设施老旧，服务一般，卫生需要提高', '短评打分': 3}
{'短评内容': '房间设施陈旧，交通比较便利', '短评打分': 3}
{'短评内容': '性价比不高', '短评打分': 3}
{'短评内容': '房间够大，空调不行，一晚上都没热风，热水几乎没有，网络信号差，上不了网', '短评打分': 4}
{'短评内容': '一般，，，，，，，，，，，，，', '短评打分': 3}
{'短评内容': '很好，价廉物美，装修典雅，环境优美，服务质量上乘，下次还住。', '短评打分': 3}
{'短评内容': '入住的网络单间 房间很大 但设施较陈旧 洗脸池水龙头坏了 洗澡水很小 房间里抽纸、茶叶都要收费 显的很小气 早餐种类太少 就餐环境非常一般 优点是离中心车站很近 坐车比较方便 不推荐入住', '短评打分': 1}
