{'descr': '环境好，地点优', 'star': 5}
{'descr': '去金鸡湖一直住这家，酒店很安静，貌似重新装修过了，早餐的面条很好吃。这次还被升级湖景房，开心！', 'star': 5}
{'descr': '早餐真的不好，没有4星级标准..', 'star': 4}
{'descr': '位置极好，就在李公堤，附近有好多餐厅，都比较高级，附近风景也好，可以绕着金鸡湖散步，是个闹中取静的好地方。', 'star': 5}
{'descr': '位置极好，就在李公堤，附近有好多餐厅，都比较高级，附近风景也好，可以绕着金鸡湖散步，是个闹中取静的好地方。', 'star': 5}
{'descr': '房间很好哦，设施完备', 'star': 5}
{'descr': '京东价格给力，还有京豆返。酒店硬件条件还不错，房间挺大。', 'star': 4}
{'descr': '京东价格给力，还有京豆返，不错。酒店硬件条件还不错，房间大，微波炉锅碗瓢盆还挺全。服务也不错，大堂吧还有几只鹦鹉可以逗，有点特色。不过不知为何洗澡水会时冷时热&hellip;&hellip;希望能够改进。', 'star': 4}
{'descr': '我的人都有一个人的时候我就', 'star': 5}
{'descr': '李公堤有自己的商业，但是在金鸡湖景区的另一头，开车到诚品需要10分钟', 'star': 5}
{'descr': '房型非常好，装修也很新。浴室的水洗澡太容易流出来了&hellip;&hellip;', 'star': 5}
{'descr': '酒店环境真心不错，打满分不过分，就在湖边，停车就餐都很方便的说。 房间很干净，很大很整洁，套房给人就是一种惊喜。 真心不错。 ', 'star': 5}
{'descr': '酒店真心不错，环境很好很安静，也很整洁。旁边还有一家不错的素食餐厅。 就在湖边，风景也不错哦。   关键停车全部免费。 ', 'star': 5}
{'descr': '安静!空气不错!环境还好!', 'star': 5}
{'descr': '第二次给客户订了，反馈一样很不错，温馨，吃饭出行也很方便', 'star': 5}
{'descr': '很不错的酒店，适合家庭出游，套房很不错的有家里的感觉', 'star': 5}
{'descr': '环境整洁', 'star': 5}
{'descr': '环境整洁', 'star': 5}
{'descr': '酒店服务好，环境不错，周边设施比较齐全', 'star': 5}
{'descr': '很不错的啊', 'star': 5}
{'descr': '环境好，设施全，锅碗瓢盆都有。。', 'star': 5}
{'descr': '挺不错，位置也不错！', 'star': 5}
{'descr': '对得起这个价格，还好', 'star': 5}
{'descr': '商务出差，酒店环境还真不错，吃东西很方便，周边都是烧烤店，韩国人特别多，推荐自驾的朋友是不错的选择。', 'star': 5}
{'descr': '环境不错，值得推荐', 'star': 5}
{'descr': '将就吧', 'star': 3}
{'descr': ' 干净整洁，环境蛮好。', 'star': 3}
{'descr': '比较偏僻,尤其是早餐太差,价格太高,下次不住啦', 'star': 1}
{'descr': '味道很重，酒店很偏很荒凉。周边还是工地。没有四星的水准。特别是早餐很差', 'star': 1}
{'descr': '早餐差，双标房只有一张早餐券，位置还不错，位于李公堤中心区，但如果自己没车就比较麻烦，整体来说性价比不高', 'star': 3}
{'descr': '位于苏州李公堤国际风情街，不错的酒店，非常干净，周边有各种不同风味的餐厅。', 'star': 5}
{'descr': '很新， 很好，很安静。新开业价格也很有力', 'star': 5}
{'descr': '还不错，就是新装修有点小味道，服务不行，前台一点笑容都没有，都板着脸，看着不舒服', 'star': 5}
{'descr': '很好！！特别喜欢！！设施很好 环境也很好 大堂叫车很方便', 'star': 3}
{'descr': '酒店还可以，新开的有一点点味道。。。不过还是不错的', 'star': 5}
{'descr': '酒店新装修味道比较重，服务跟不上', 'star': 3}
{'descr': '酒店很有特色，也很新，地点也很不错，在李公堤三期，风景不错，闹中取静，\n周边有不少艺术馆，酒店服务也不错，新开张还可以升级房间，但也有点小问题，\n既然叫做酒店式公寓，应该可以在房间做一些简单料理，该有个电磁炉，微波炉，\n和刀板及一两只锅碗以及洗菜池，建议适当改进！', 'star': 5}
{'descr': '在李公堤3期，周边餐饮很多，环境非常好，价格小贵。\n酒店位置很好，装修时尚简约，床品舒服，房间蛮大的。\n淋浴水很大，\n含单早，早餐价格贵，东西很少，而且周边没有吃早饭的地方。', 'star': 5}
{'descr': '这家酒店是新开业的，位于苏州工业园区金鸡湖李公堤，风景优美，周边为餐饮一条街，酒店的设施环境很好，服务也很周到，下次还定这家。', 'star': 5}
