{'短评内容': '前台态度不好  酒店整体不错', '短评打分': 5}
{'短评内容': '不错的酒店', '短评打分': 5}
{'短评内容': '不错！', '短评打分': 5}
{'短评内容': '酒店一般般', '短评打分': 3}
{'短评内容': '酒店一般般', '短评打分': 3}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '正定来讲还算可以了', '短评打分': 4}
{'短评内容': '还可以吧', '短评打分': 5}
{'短评内容': '凑合吧', '短评打分': 5}
{'短评内容': '还好吧！', '短评打分': 4}
{'短评内容': '酒店比较老了，隔音效果差，房门有大缝、房间比网页图片小好多，临街的一面近邻广场比较吵，酒店服务还好。', '短评打分': 3}
{'短评内容': '正定最好的酒店！！！！！', '短评打分': 3}
{'短评内容': '位置很好，在城中心，前边一个广场，晚上广场舞太吵', '短评打分': 4}
{'短评内容': '性价比还可以', '短评打分': 4}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': ':酒店很干净,服务态度不错', '短评打分': 3}
{'短评内容': '该酒店正装修呢，要是白天呆在酒店里就别去住了，山响', '短评打分': 3}
{'短评内容': '酒店条件好，房间大，价位经济实惠。地理位置面对广场，视野开阔，环境优美。值得推荐。', '短评打分': 5}
{'短评内容': '环境优雅', '短评打分': 3}
{'短评内容': '房间没有照片那么大，很局促，而且那个床上弹簧都突出来了，那叫一个咯啊', '短评打分': 1}
{'短评内容': '床品挺干净，也挺安静的，周边景点度挺近的，门口赵云广场当地居民活动很是热闹。', '短评打分': 5}
{'短评内容': '位置还可以，对面有一个肯德基。卫生间太小，毛巾之类的用品有些陈旧，但是很干净；前台服务人员态度很好。', '短评打分': 5}
{'短评内容': '比较干净、也很安静，服务态度也好，但卫生间设备有点陈旧，但很干净 。值得推荐', '短评打分': 5}
{'短评内容': '酒店位置很好，安静，交通便利，干净卫生，性价比也很好的', '短评打分': 5}
{'短评内容': '酒店位置很好~ 楼下就是一个广场，晚上很多人在广场上跳舞，很热闹！离256医院很近~酒店不错，服务人员也很耐心！值得推荐~', '短评打分': 5}
{'短评内容': '酒店设施还可以，周边环境也不错，总体还说还算满意', '短评打分': 3}
{'短评内容': '房价有点儿不值，房间太小了。厕所门儿都关不上。早餐品种少，味道不理想。\n如果去住一定要先看好房间。', '短评打分': 5}
{'短评内容': '已经是第二次入住了，还不错，唯一的一个缺点就是卫生间洗澡的时候，漏斗下水好慢，洗的时间长的话有水满到房间的可能性。建议改造一下。', '短评打分': 5}
{'短评内容': '酒店不错，就在县城中心，很值得推荐！周边也离景点很近，只是县城夜间实在没有什么娱乐。', '短评打分': 5}
{'短评内容': '客房还可以，就是房间稍微小了一点。旁边是子龙广场，吃过晚饭以后可以散散步。', '短评打分': 5}
{'短评内容': '好好好好好好好好好好好好好好好好好好好好好好', '短评打分': 5}
{'短评内容': ',还不错', '短评打分': 3}
{'短评内容': '并且不能刷预授权，要用现金押金；幸好结帐的时候可以刷卡了。', '短评打分': 3}
{'短评内容': '房间窗子临街，虽然这个小镇不太喧闹，但也还是影响休息的。\r\n房间还算干净，但设施着实简陋，不知道怎么评上三星的。', '短评打分': 1}
