{'短评内容': '无', '短评打分': 5}
{'短评内容': '商务大床房还真不错，屋里的空间特别大，格局也很好。', '短评打分': 5}
{'短评内容': '安静倒是挺安静的环境卫生也还不错就是早餐有点差', '短评打分': 4}
{'短评内容': '每次来常州都住这儿，酒店在薛家，离高铁很近，机场也不远，房间在这附近算是最好的了，早餐还可以，附近有家面馆很出名。', '短评打分': 5}
{'短评内容': '很垃圾的酒店，房间无线超慢，中央空调不制暖，洗澡冻死了，浴巾像用了很多年的，浴巾上还有洞，隔音更差，隔壁房间说话都听的很清楚，设施阵旧，建议慎重选择。', '短评打分': 2}
{'短评内容': '很好很强大很好很强大', '短评打分': 5}
{'短评内容': '房间冷气很足，房间很大，还会再来', '短评打分': 5}
{'短评内容': '房间相对还挺干净，周围比较安静，停车场比较方便', '短评打分': 5}
{'短评内容': '房间干净，周围环境不错', '短评打分': 5}
{'短评内容': '以前住过，这是第二次了，酒店整体韵味不错，交通方便离高铁也就10分钟路程，附近小吃、休闲配套也比较好，值得推荐。', '短评打分': 5}
{'短评内容': '真的蛮不错', '短评打分': 5}
{'短评内容': '不好意思，这个地方太老套了，看上去什么都有，但确实不好', '短评打分': 2}
{'短评内容': '干净舒适房间大', '短评打分': 5}
{'短评内容': '非常好的酒店', '短评打分': 5}
{'短评内容': '值得入住', '短评打分': 5}
{'短评内容': '房间里的灰尘味道特别大，铝合金推拉窗漏风。', '短评打分': 3}
{'短评内容': '环境不错，房间设计很有特点', '短评打分': 5}
{'短评内容': '环境不错，房间设计很有特点', '短评打分': 5}
{'短评内容': '其他都还好，就是无线跟网络太差了点，无线没信号，网线没有说没办法使用', '短评打分': 5}
{'短评内容': ' 酒店环境很不错，下次还会考虑住这儿', '短评打分': 3}
{'短评内容': '房间还可以，就是位置太偏了。\n早餐有点快捷宾馆的味道。', '短评打分': 5}
{'短评内容': '环境不错交通方便，早餐不够丰富', '短评打分': 3}
{'短评内容': '常州薛家片最好的酒店。交通便捷，离机场和高铁站很近。', '短评打分': 3}
{'短评内容': '不错的酒店，安静。在周围办事还是比较好的', '短评打分': 5}
{'短评内容': '酒店很新，常州新北区薛家这边绝对是最好的。房间很宽敞，物超所值！', '短评打分': 3}
{'短评内容': '酒店环境很好，很安静，风格很喜欢。。。。', '短评打分': 5}
{'短评内容': '很好，，，各方面都不错。就是空调不太好，很喜欢浴缸。以后会再入住的。', '短评打分': 5}
{'短评内容': '酒店的房间特别的大，就是房间的镜子特别多，晚上看到慎得慌，其他的装饰也是蛮有特色的，早餐还行。就是地理位置相对比较偏，在临走的时候，门口的师傅还特意跑到外面帮忙打车，甚是感动，总的来说还是不错的酒店。', '短评打分': 5}
{'短评内容': '酒店价格合适，房间很大，卫生也好，是个不错的宾馆。下次过来还会住的。', '短评打分': 5}
{'短评内容': '去年同样的价格住的房间的50多平方，现在同样的价格只有30平方，差距太大。靠路边的房间隔音不好，车声太大。', '短评打分': 5}
{'短评内容': '高速下来没多远，可是离市区有点远，免费升级了豪华房，房间挺大的，早餐有点寒酸', '短评打分': 5}
{'短评内容': '房间很是不错，但就是不能用消费券啊。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '很不错的酒店，很安静，就是有点偏僻，喜欢安静的可以选择.', '短评打分': 5}
{'短评内容': '酒店很好，很干净。住着舒适，下次还会住。', '短评打分': 5}
{'短评内容': ' 还未离开，却对这家酒店的影响太好了，我们这间行政单人房绝对是五星级的规模，三星级的价钱，微笑服务深入每个员工，让我们有一种宾至如归的感觉。有机会再来常洲一定会再去。', '短评打分': 5}
{'短评内容': '这是我住过的最豪华舒适的酒店，价格却只是大城市3星级的，房间很大答50平米，开放式的浴缸和洗漱设备，位于房间中央可以翻转的大屏幕液晶彩电，可以营造出梦幻般体验的灯光，舒适的令人浮想联翩的大床，柔软的卧榻式转角沙发，一切的一切，汇成一个愿望：一定再去！！！', '短评打分': 5}
{'短评内容': '1. 性价比高，可是位置不太好\n2. 周围吃的多，房间很大, 设施新，干净。', '短评打分': 5}
{'短评内容': '环境不错，干净，优雅，不比住过的其它五星酒店差，就是酒店地理位置有点偏', '短评打分': 5}
{'短评内容': '免费升级了房间，酒店装修很好，性价比高，就是位置偏了点，不在城区交通还可以，周围配套一般', '短评打分': 5}
{'短评内容': '酒店住宿条件非常好，房间很大很干净，物有所值，但是早餐不行，品种太少了。酒店有自己的餐厅，性价比很高，是我们常州行最好吃的一顿，比长兴楼口味佳！', '短评打分': 5}
{'短评内容': '真的超出预料，设计新颖，房间超大，下次还来，好，好，好！', '短评打分': 3}
{'短评内容': '入住C401，房间超大，同行的朋友的C402就没有我们的大，运气好！\n晚上去得晚了，临时让酒店给多家一间房，很快就解决了。一切都不错，就是第二天，我们一行还想再续住的时候，没有了房间，可惜中！下次应该还会选择！', '短评打分': 5}
{'短评内容': '总体不错，房间够大，但是由于是新装，房间有味道。自助早餐服务差，椅子、餐具等准备不足。', '短评打分': 1}
{'短评内容': '这酒店很好！环境优雅安静，房间很大，且装修雅致，感觉非常舒适。服务态度也很好，更周到的是连订书机及橡皮擦都备上(那天刚好急需用到）。下次去常州还会选择东坡大酒店', '短评打分': 5}
{'短评内容': '1、新酒店，房间里的装修味道还比较大。\n2、房间较大。\n3、距离常州北站很近，早餐一般，位置较偏远。', '短评打分': 5}
{'短评内容': '舒適.安靜.乾淨.\n就是早餐不怎麼豐盛.需要多加強', '短评打分': 5}
