{'短评内容': '进门就觉得很温馨，大厅环境很好，前台小向服务很热情，还有苦荞茶喝，性价比高，价格不贵，早班啊周边环境都挺不错的，很满意，卫生也干净舒适，不错不错，', '短评打分': 5}
{'短评内容': '酒店整体挺好，房间价格也不贵！服务好，特别是前台小向热情，很好满意', '短评打分': 5}
{'短评内容': '房间舒适，整体不错，性价比高，都挺好。', '短评打分': 5}
{'短评内容': '服务不错，前台还有茶。', '短评打分': 5}
{'短评内容': '位置方便。热情服务。真的是国家的感觉。前台小李服务周到。早餐丰富。值得来', '短评打分': 5}
{'短评内容': '服务都是杠杠滴', '短评打分': 5}
{'短评内容': '可以，不错', '短评打分': 5}
{'短评内容': '酒店环境很好，设备很好，前台姚婷婷服务很好，下次还来', '短评打分': 5}
{'短评内容': '酒店位置很好，卫生很干净，前台宋莎服务很好，还赠送了早餐，很高，下次还会过来', '短评打分': 5}
{'短评内容': '可以还好吧，', '短评打分': 5}
{'短评内容': '往了很多次了，会员价比携程价还高，直接携程订房。', '短评打分': 5}
{'短评内容': '又贵又旧，而且过道还有一股臭味，估计一辈子不会再住此店', '短评打分': 1}
{'短评内容': '设施陈旧，床太软了', '短评打分': 4}
{'短评内容': '好好好好好好好好好好好好', '短评打分': 3}
{'短评内容': '和朋友一起住的，房间够大', '短评打分': 3}
