{'短评内容': '这个百元多价位的旅馆我已满意，房间大小适中，卫生间靠床的不是玻璃墙，马桶键完好，即使很晚了淋浴一开就有热水，水流不大不小，电视有我爱看的CCTV5，（我发现出差去的很多地方，经济型酒店里，央视频道不全）。床头还有大幅壁画，使房间显得不单调。房间里还提供3种规格手机充电线。可以提高的地方，赠送免费矿泉水，提供早餐，即使简单点也可以。', '短评打分': 4}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '很好很好很好', '短评打分': 5}
{'短评内容': '很好很好很好', '短评打分': 5}
{'短评内容': '错错错', '短评打分': 5}
{'短评内容': '不好  睡个觉老是催退房', '短评打分': 1}
{'短评内容': '酒店装修老化，天花有漏水痕迹', '短评打分': 2}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '商务简寝一晚。', '短评打分': 4}
{'短评内容': '厕所门把坏了', '短评打分': 5}
{'短评内容': '门锁有问题！', '短评打分': 3}
{'短评内容': '每次來都住，性價比好', '短评打分': 4}
{'短评内容': '还行', '短评打分': 4}
{'短评内容': '总体来说还不错', '短评打分': 4}
{'短评内容': '一般，服务不错，设施一般。', '短评打分': 4}
{'短评内容': '不错', '短评打分': 4}
{'短评内容': '酒店环境卫生还可以，就是窗户不隔音，太吵了', '短评打分': 4}
{'短评内容': '很不错，我已习惯到这边就住这里！', '短评打分': 3}
{'短评内容': '很好，最主要是环境卫生好。', '短评打分': 5}
{'短评内容': '窗户很大，床垫也很舒适，比在厚街住的莫泰好多了。就是卫浴比较简单，少了挂钩吊衣服', '短评打分': 5}
{'短评内容': '环境不错，位于镇中心，交通也很方便。就是公交站比较远，截车还得靠运气', '短评打分': 5}
{'短评内容': '交通很方便，性价比不错，只是房间要是再大点就好了\n', '短评打分': 5}
{'短评内容': '环境不错,愿意以后再去住,住过很多的酒店,还是喜欢那种简捷舒适型的', '短评打分': 5}
{'短评内容': '第二次到这家了  感觉一般了  第一次的感觉还可以   厕所的洗手台有点脏  好像没洗一样 有灰的  希望改进', '短评打分': 5}
{'短评内容': '不错的店，服务挺好的~就是有点吵~。。。。。。。。', '短评打分': 5}
{'短评内容': '东莞寮步，不能刷卡，不太方便，房间还可以，打车不太方便', '短评打分': 1}
{'短评内容': '房间很干净，不错。', '短评打分': 3}
{'短评内容': '很不好找到的，先后2个出租车司机都没有印象，其中一个找了一圈，在离该酒店300左右放弃了，后坐了另一个出租车，借用导航，加上我拨打服务台的电话，才终于找到。而周边环境不好，却比长安的莲峰店还贵，里面也少了剃须刀，总之不太值。', '短评打分': 1}
{'短评内容': '很好，很舒适，性价比相当高，离商业广场很近，推荐', '短评打分': 5}
{'短评内容': '如果能像99连锁旅馆那样99元入住，每间房还有电脑与电视配备就好了！', '短评打分': 1}
{'短评内容': '酒店房间还可以，但是没有早餐，不能用信用卡，不是很好', '短评打分': 1}
{'短评内容': '酒店是刚装修的，设备比较新，环境也很好。我觉得不足的地方就是没有衣柜和卫生间没有装淋浴房。但总的来说，这家酒店的性价比还是比较高的。', '短评打分': 3}
{'短评内容': '房间很大，很干净，唯一不足的地方枕头很高，很不习惯。如果能配上衣柜久很好了。', '短评打分': 5}
{'短评内容': '酒店经济实惠，服务态度好，房间卫生较好，适合出差人员入店投宿。建议在房间增设电脑给入店住宿的会员使用', '短评打分': 5}
{'短评内容': ' 酒店临时停业，让我扑空。', '短评打分': 5}
