{'短评内容': '早上太吵了', '短评打分': 2}
{'短评内容': '每次都是来这家，交通方便，干净价位合理', '短评打分': 4}
{'短评内容': '卫生条件不错，服务态度很好。', '短评打分': 4}
{'短评内容': '普通的酒店，但价格也不高，离火车站也不远，缺点是电视频道太少了，早餐也很简单，转车住一晚还可以，推荐一下', '短评打分': 3}
{'短评内容': '床大', '短评打分': 4}
{'短评内容': '每次过来都在这住，经济实惠，环境也挺好', '短评打分': 5}
{'短评内容': '床单被套都是黑的！  太恶心了！', '短评打分': 3}
{'短评内容': '酒店位置很好，房间内要用的东西比较齐全，桌子看上去有点旧了，不过挺干净的，床软软的也比较舒服，以后会常来的', '短评打分': 5}
{'短评内容': '望加以改善', '短评打分': 4}
{'短评内容': '中规中矩,还算整洁', '短评打分': 5}
{'短评内容': '还可以！比较干净！这酒店太火了，差点没让住！', '短评打分': 4}
{'短评内容': '喜欢这里的早饭', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '卫生很好，空间不错，价格合理 这是第二次住了，以后还会来', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
