{'短评内容': '很好 下次还会住很好 下次还会住很好 下次还会住', '短评打分': 5}
{'短评内容': '这家酒店离我要去拜访的公司很近，价格适中，服务也不错。', '短评打分': 5}
{'短评内容': ' 酒店一般，早餐非常非常一般。站在房间地板上咯吱咯吱的响。酒店餐厅实在不怎么样。下次不会再入住了。', '短评打分': 1}
{'短评内容': '性价比挺高的老宾馆。房间有点旧但是环境部错。', '短评打分': 5}
{'短评内容': '地点不错 在闵行开发区出差比较方便住这的话', '短评打分': 3}
{'短评内容': '设施,服务可以,周边方便.下午退房收了半天房价...', '短评打分': 5}
{'短评内容': '闵行地区的老牌饭店,现在属于锦江集团,性价比高,方便.', '短评打分': 5}
{'短评内容': '环境很不错，交通便利，早餐的无锡小笼很好吃，', '短评打分': 5}
{'短评内容': '出差经常入住，感觉卫生和服务蛮到位的！酒店有历史经典的风格，追求奢华的可能要失落了，还好趁我心意！', '短评打分': 5}
{'短评内容': '房内设施一般，内设中餐经济实惠，还可以。', '短评打分': 5}
{'短评内容': '有吃有住，还可以。', '短评打分': 3}
{'短评内容': '马马虎虎，离开办事的地方比较近，价格稍贵，都算可以。', '短评打分': 5}
{'短评内容': '酒店家具，电视机略显陈旧，地板声音比较响，环境还是不错的，地理位置可以，价格马马虎虎，离我办事地方比较近，还算可以。', '短评打分': 5}
{'短评内容': '老闵行的老牌宾馆,周边特别方便.房间也可以的', '短评打分': 5}
{'短评内容': '房间的装潢很不错，价格也还算公道。只不过电视是老式显像管还不是纯平', '短评打分': 5}
{'短评内容': '该酒店地理位置好，环境清静，服务设施较好，晚上餐厅菜肴较丰盛，价格适中。', '短评打分': 5}
{'短评内容': '房间比较安静，符合我的要求。条件还不错，推荐', '短评打分': 5}
{'短评内容': '条件不错，房间比较安静，附近吃饭也很方便。不足之处是房间没有台灯，看笔记本太费劲。', '短评打分': 5}
{'短评内容': '房间还可以,早餐不错,就是酒店的IPTV一直没能看成.', '短评打分': 5}
{'短评内容': '隔音差', '短评打分': 3}
{'短评内容': '附近最好的酒店了 旧了点 但是还不错 赞一个吧', '短评打分': 5}
{'短评内容': '酒店不错，服务员的服务态度也很好，早餐也不错，值得推荐', '短评打分': 5}
{'短评内容': '房间挺干净的\n房间里免费提供的IPTV操作有点问题\n服务员很热情的帮我调试好了\n感觉很满意', '短评打分': 5}
{'短评内容': '整体还可以，算老闵行附近比较好的了，但房间隔音差，上网额外收费不太好…商务房只有一张早餐券也不合理……', '短评打分': 3}
{'短评内容': '房间比较干净，有停车场停车方便，服务员较热情，就是设施比较老，听说明天就要装修了', '短评打分': 5}
{'短评内容': '酒店干净，周边热闹。。。不错。。。还能帮忙打印文件发发传真。。。真的谢谢了', '短评打分': 5}
{'短评内容': '比较旧的宾馆，但是设施还不错。\n服务比较旧式，订房的时候还需要做一个登记\n不过服务还可以，比如洗衣服务挺方便的，早上放在房内，晚上可以取到 \n缺点是每一层都有它的餐厅\n入住的时候是周日，有人结婚……酒席异常的吵', '短评打分': 5}
{'短评内容': '酒店的感觉较安静，客房总体很舒适干净，出门购物也方便。', '短评打分': 5}
{'短评内容': '听说闵行饭店是一家老店了，入住后感觉客房整洁明亮，卫生到位，服务员态度相当好，很热情，尤其是前台服务人员，让人感觉像在自己家中一样，推荐入住闵行地区首选该饭店！', '短评打分': 5}
{'短评内容': '50年历史的老饭店了，就冲这个名气入住了一下，房间宽敞明亮，服务态度很不错，餐厅菜式量足，价格公道，房间设施能更上现代化潮流就更好了，推荐大家都去试下老饭店的气氛。', '短评打分': 5}
{'短评内容': '房间的采光度很好，打扫得也很干净，特别是前台的服务很热情周到，下次还会入住这家酒店。', '短评打分': 5}
{'短评内容': '看了多人点评后，入住了以该地区名字命名的这家酒店，觉得非常满意。听说锦江上海闵行饭店在建国初期还接待过老一辈国家领导人刘少奇、朱德、宋庆龄、郭沫若等。', '短评打分': 5}
{'短评内容': '房间不是很大，卫生打扫很好，空气挺好，没什么异味，卫生间收拾的也挺干净，这点挺满意。', '短评打分': 5}
{'短评内容': '价格挺实惠的，服务效率挺高，房间舒适度挺好，下次还会选择入住。', '短评打分': 5}
{'短评内容': '这的网速挺快的，用着很方便，服务态度挺好，位置有点偏，交通不是太便利。', '短评打分': 3}
{'短评内容': '不靠街的房间还是比较安静的，睡眠质量还好，服务态度很好，服务的也挺周到。', '短评打分': 5}
{'短评内容': '房间挺好，床单被罩每天都及时更换，通风采光很好，隔音效果也不错，住的挺舒适。', '短评打分': 5}
{'短评内容': '房间舒适度还好，早餐挺丰盛的，位置稍微偏了点。', '短评打分': 3}
{'短评内容': '酒店总体感觉不错，干净卫生，服务挺周到，设施基本齐全，价格还不贵，值得推荐。', '短评打分': 5}
{'短评内容': '服务上还不错，房间挺干净，设施基本齐全，早餐是自助的，吃的还算可口。整体感觉不错。', '短评打分': 5}
{'短评内容': '房间还好，电视空调网络都有，卫生也不错，住着挺舒服的。', '短评打分': 5}
{'短评内容': '酒店有停车场，停车挺方便，前台服务挺热情的，房间还好，干净卫生，采光也挺好，住的挺舒适。', '短评打分': 5}
