{'短评内容': '环境不错哦，离火车站也挺近的。下次还来这里。', '短评打分': 5}
{'短评内容': ' 位置还可以，环境也算干净，服务态度也不错。就是洗漱用品没有免费的，10元一套。', '短评打分': 3}
{'短评内容': '宾馆很干净，交通也方便，就在市政府旁边，工作人员服务态度也好，下次去青岛还住这里。', '短评打分': 5}
{'短评内容': '房间干净整洁，服务人员热情周到，价格合理是个绝佳的休息地点。', '短评打分': 3}
{'短评内容': '挺好的，经济实惠。别的酒店不好找。非常困难。这个季节青岛也不凉爽。', '短评打分': 5}
{'短评内容': '房间隔音效果较差，电视只能收四个台。不过水很热，挺干净。', '短评打分': 3}
{'短评内容': '房间还可以，挺干净，插座少、没有免费洗漱用具。电视只能收俩台…据说因为维修电缆。隔音不好。前台只有一个吹风机必须早借！保洁五点下班，要想换东西还得自己收拾。服务员都还挺热情。', '短评打分': 3}
{'短评内容': '宾馆服务人员挺热情，服务也不错。就是房间不隔音。', '短评打分': 5}
{'短评内容': '房间和照片上是一致的，但是！记住一句恒久不变的真理，一分钱一分货。房子没有窗户，很闷，电视只有中央一中央二，更闷，房子隔音不好，隔壁看电视声音很吵，连续两天都要打电话让他们安静点。洗漱用具是收费的，10块钱一包。\n如果是手里比较宽裕，来青岛游玩的，建议住贵一点的酒店吧，毕竟人家青岛人一年就挣这么两个月的钱嘛，自己玩的舒服，住的舒服，能休息好，酒店也能赚点钱，何乐而不为呢。', '短评打分': 1}
{'短评内容': '位置不错，不是很难找。新装修的，东西都比较新，总体来说还不错。价格值。', '短评打分': 3}
{'短评内容': ' 比我想象的好，门头前厅很小，但房间比较干净，纯论房间而言比一些挂牌三星的房都新', '短评打分': 3}
{'短评内容': '不错的酒店', '短评打分': 3}
{'短评内容': '酒店较干净整洁,出入还算方便,在青岛游玩也算是一个选择,经济型酒店中也算是可以的,以后还是会考虑入住.', '短评打分': 5}
{'短评内容': '房间干净、整齐、简洁，大落地窗很抢眼，服务态度很好。支持一个！', '短评打分': 5}
{'短评内容': '房间太小了，价格还死贵！不值。。不过是旅游旺季。。只能这样了。', '短评打分': 1}
{'短评内容': '因为是旅游忘记，赶上啤酒节，所以房间不好订，才住的这里。如果是平季或者淡季，不会选择这里。', '短评打分': 1}
{'短评内容': '总的来说还可以，交通方便。因为是旅游忘记，赶上啤酒节，所以房间不好订，才住的这里。', '短评打分': 5}
{'短评内容': '地理位置不错，房间太小，房间设施很简陋，房间价位偏高。不过服务人员比较周到，但硬件实在很差啊！', '短评打分': 1}
{'短评内容': '这个价格相对于这个环境来说，有点贵，而且晚上隔音很不好，电视声音听的很清楚，说话也能听到', '短评打分': 1}
{'短评内容': '298的房价，太不值了，房间特别小，而且洗漱什么的都收费，。。。。。。。。。', '短评打分': 1}
{'短评内容': '房间很干净，各种设施比较新，服务态度不错，好评', '短评打分': 5}
{'短评内容': '酒店位置很不错，价格也合理，唯一的缺点就是停车有点困难', '短评打分': 5}
{'短评内容': '位置好，干净，卫生间小，老板热情，就是有点贵，没有办法，青岛就是贵', '短评打分': 5}
{'短评内容': '房间有点小, 但很干净, 服务还不错, 就是现在青岛的酒店价格有点贵, 但若提前定房, 价格还是比较优惠的, ', '短评打分': 5}
{'短评内容': '价格便宜，酒店比较新，是刚刚开业的，房间不大，但空调，电视，独卫都有了，就是隔音效果比较差，需要通知前台让他去协调，服务态度不错。住宿费不含早餐，但附近有些小吃，早饭可以解决。洗刷用品要单独买，10元两人份。位置离五四广场很近，可以步行，对得起这个价格吧（198/晚，7月份）', '短评打分': 5}
{'短评内容': '很难说是否满意，刚开业，所以干净，但房间很小，布局不合理，网线居然只能在床头，书桌却没有，不舒服', '短评打分': 3}
{'短评内容': '方间很干净，服务也挺好的，给个好评吧！', '短评打分': 3}
