{'短评内容': '早餐相当好', '短评打分': 5}
{'短评内容': '各种设施都很齐全。', '短评打分': 5}
{'短评内容': '比较高大上的一家酒店', '短评打分': 5}
{'短评内容': '酒店就在服装城附近，对面就是摩天城shopping mall，吃东西比较方便。酒店设施也很好，还附带一份糕点和饮品', '短评打分': 5}
{'短评内容': '还行。', '短评打分': 5}
{'短评内容': '服务员态度很好，赞一个。性价比高的酒店，价格便宜', '短评打分': 5}
{'短评内容': '不错的宾馆。', '短评打分': 5}
{'短评内容': '在当地属于好的了。', '短评打分': 5}
{'短评内容': '老家的酒店，很好！', '短评打分': 5}
{'短评内容': '好。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '很好，下次还会入住', '短评打分': 4}
{'短评内容': '一直', '短评打分': 3}
{'短评内容': '环境好，服务好，早餐差了一点，，，，，，', '短评打分': 4}
{'短评内容': '酒店整体来说还行，但软件部分需要加强，欢迎水果是要打电话才有，不打电话他是不会送的，早餐一般。房间还算大！', '短评打分': 4}
{'短评内容': 'nice and clean. the buffet is great with lots of choices for chinese breakfast, but minimal for western breakfast.', '短评打分': 5}
