{'短评内容': '好好好好好好好好好好地方不错', '短评打分': 5}
{'短评内容': '挺好的挺好的挺好的挺好的挺好的', '短评打分': 5}
{'短评内容': '不错不错不错不错不错不错不错不错不错不错不错不错', '短评打分': 5}
{'短评内容': '第二次入住，位置不错，就是房子里有些破旧，希望改进。。。。。。', '短评打分': 5}
{'短评内容': '太次了', '短评打分': 5}
{'短评内容': '好的很，非常好。。。。。。。。非常好。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '酒店翻新了，卫生状况还行，就是白色毛巾很容易看见那种洗不掉的污渍痕迹，建议酒店定期更换新的。其余好评，前台服务很好！', '短评打分': 4}
{'短评内容': '不错不错，位置靠南宁门，交通方便，地理优越，购物快捷，服务员周到热情，还可以代管物品，介绍周边情况。', '短评打分': 4}
{'短评内容': '酒店很好找，在西安繁华地段，地铁公交都很方便。', '短评打分': 5}
{'短评内容': '位置很好，服务不错。', '短评打分': 5}
{'短评内容': '超值，房间很不错，宽敞 ，不是那么压抑', '短评打分': 5}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '价格亲民，环境还好停车方便，这个区域全是性价比高的酒店', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '酒店就在路边，环境还可以，房间也够宽敞.停车也方便.我们晚上十二点办理入住手续，服务员态度也挺好，因为网上预定出问题服务员也很耐心，一百多还是很超值', '短评打分': 5}
{'短评内容': '这边离大雁塔不远，我坐个公交车直接就可以去过去了。吃饭方面欠缺，比较少一点的餐馆，不过反正也是出差，那么就将就一点', '短评打分': 4}
{'短评内容': '都是因为出差还订的房子，还行！周边附近很多旅游的景点，也不远。吃的并不是很多，要走比较远的地方找吃的去！', '短评打分': 4}
{'短评内容': '位置好，价钱便宜，房间干净，有个大停车场，方便开车族。', '短评打分': 4}
{'短评内容': '还不错，干净卫生，出门交通便利，有个小型的停车场，快捷酒店都是这样', '短评打分': 4}
{'短评内容': '位置不错，性价比也可以。', '短评打分': 4}
{'短评内容': '非常好。前台妹妹漂亮。服务周到。价格便宜。下次还会来的。出差来的。', '短评打分': 5}
{'短评内容': '非常好。前台妹妹漂亮。服务周到。价格便宜。下次还会来的。出差来的。111', '短评打分': 5}
{'短评内容': '非常好。前台妹妹漂亮。服务周到。价格便宜。下次还会来的。出差来的。2', '短评打分': 5}
{'短评内容': '非常好。前台妹妹漂亮。服务周到。价格便宜。下次还会来的。出差来的。1', '短评打分': 5}
{'短评内容': '1、好找且地理位置好。距地铁南稍门站步行7～8分钟就到，距公交小雁塔站步行约3分钟就到。\r\n2、服务员态度亲切和蔼。\r\n3、酒店的设施、卫生状况、房间大小、安静程度都还可以。特别是洗澡水和有线无线上网很桻。\r\n4、防火通道晚上不锁门，这点很好，很重要。', '短评打分': 5}
