{'短评内容': '早餐挺好吃，服务人员还挺好的，位置不怎么滴，偏的很，建议自驾游的去住还可以，没车是真不方便', '短评打分': 3}
{'短评内容': '干净清爽舒适', '短评打分': 5}
{'短评内容': '感觉特别不好，具体原因就不想说了', '短评打分': 1}
{'短评内容': '我没用早餐，不过看上去很精致的，房间宽敞，适合加床，酒店位置在胜大路（272国道）旁，内部有停车场，房间隔音还行，已经住两天了，今天再续住一晚', '短评打分': 5}
{'短评内容': '环境不错，交通方便离高速路较近。周边配套较差没有什么成熟的商业区，就餐也不是很方便。但酒店的设施还算齐备，特别是停车场是一个独立封闭区域，感觉非常安全。', '短评打分': 4}
{'短评内容': '还可以了', '短评打分': 5}
{'短评内容': '还可以了', '短评打分': 5}
{'短评内容': '酒店网络差得不要不要 上个网都没有！真郁闷！商务出行不方便无网络！', '短评打分': 2}
{'短评内容': '挺好', '短评打分': 4}
{'短评内容': '不错，环境好，地址位置好', '短评打分': 5}
{'短评内容': '好好好好好好好好好好好好好好好好好好', '短评打分': 5}
{'短评内容': '好', '短评打分': 3}
{'短评内容': '服务员很热情', '短评打分': 4}
{'短评内容': '匆匆一晚，什么都没干！', '短评打分': 5}
{'短评内容': '酒店卫生还可以，淋雨水太小，而且水不热', '短评打分': 4}
{'短评内容': '房间靠内侧，安静', '短评打分': 5}
{'短评内容': '房间可以，房间内侧没有梳头用的梳子.', '短评打分': 5}
{'短评内容': '酒店时间久了，被套不是很好，看上去旧.', '短评打分': 4}
