{'短评内容': '爽，舒服！安逸啦', '短评打分': 5}
{'短评内容': '客栈环境很不错……地理位置也好……建议来丽江游玩的朋友可以考虑……………………………………………………', '短评打分': 4}
{'短评内容': '床单绝对没有清洗过 上面感觉有沙 睡的很不舒服 房间隔音效果非常差 上午还停电 并且服务态度极为不好 指着鼻子对着客人骂 房间采光非常差 灯不是很亮  乱扣押金 床单脏了一点就随意扣押金 说好的包早餐也没有包 态度恶劣 洗漱用品不更换 住过最垃圾的客栈 ', '短评打分': 1}
{'短评内容': '洗衣机不是全自动的，要30元一桶，其实很多都是无所谓，本身房价便宜，109，不要求太多，当时只是觉得离北门近，出去玩坐车方便，但是是态度真的不敢恭维，全部都是爱要不要的态度，只是说了句洗衣机不是全自动还要30一桶，人家直接回了句你心思家里呢，表示无语，下次白给都不来住了，态度太差，你可以有这个规定，我都认可，没有强迫我必须在这，但是完全没有客栈的服务意识，可能是一家人过来养老顺便做个客栈，真的坑定', '短评打分': 1}
{'短评内容': '环境一般，卫生一般', '短评打分': 3}
{'短评内容': '小院倒是不错，就在古城北门附近，大部分房间倒是也不错！但出来旅游就是玩个心情，老板一家是东北人，大家都晓得东北人都会说嘴，总归会算计你的啦，要知道他们是东北人一定不会住这的。她家还搞私人旅游团，劝大家报个正规点的旅游团，云南盘山路那么多，出门在外安全第一嘛～斤斤计较的老板娘还会损人的⋯⋯搞得心情也会破坏掉了！周围有特别多环境更好而且价位便宜的客栈，建议去别家对比一下，真的比他家棒！', '短评打分': 4}
{'短评内容': '这家店的老板完全破坏了东北人在我心目中的印象，我们到了酒店门口不让我们进门，还拒绝退款，我们五个宝妈不得不重新找客栈，太恶劣了，还说不是看着我们带孩子的份上，还要揍我们，想起都觉得恐怖。原谅我没照相，当时被他们恶劣的态度吓得不行，哪里有时间照相喔。', '短评打分': 1}
{'短评内容': '院子大，还有个藏族小伙人很好玩，叫小蒲老板，哈哈，我还会回来的', '短评打分': 5}
{'短评内容': '非常好，院子漂亮，老板服务态度好', '短评打分': 5}
{'短评内容': '老板人很好，院子很漂亮！', '短评打分': 4}
{'短评内容': '还行吧', '短评打分': 5}
{'短评内容': '还好', '短评打分': 4}
