{'短评内容': '交通方便，周圍餐廳多吃也方便。', '短评打分': 4}
{'短评内容': '酒店位置较好', '短评打分': 5}
{'短评内容': '方便快捷', '短评打分': 5}
{'短评内容': '房间还不错，地点也合适。唯一的就是前台退房速度确实慢。', '短评打分': 4}
{'短评内容': '环境很好，方便', '短评打分': 5}
{'短评内容': '位置的确不错，就在汉秀剧场对面。房间不隔音，晚上很多醉酒销售摔门、吵嚷，实在无语。', '短评打分': 3}
{'短评内容': '是胜家不是如家，貌似比如家好', '短评打分': 5}
{'短评内容': '性价比不错  地理位置蛮好', '短评打分': 5}
{'短评内容': '还行  性价比高    就在汉秀对面', '短评打分': 5}
{'短评内容': '设施一般，早餐是亮点', '短评打分': 5}
{'短评内容': '酒店设施一般，早餐是亮点', '短评打分': 5}
{'短评内容': '非常好的酒店，支持。每次去武大医学部都住这里。好方便', '短评打分': 5}
{'短评内容': '酒店很好，一如既往地支持', '短评打分': 5}
{'短评内容': '上网速度有点慢，就地段和价格和服务！还是性价比比较高！值得推荐！', '短评打分': 5}
{'短评内容': '非常干净 服务很好 周边环境好 离汉街很近', '短评打分': 5}
{'短评内容': '非常好', '短评打分': 5}
{'短评内容': '房间临马路，隔音不好，有点吵，优势是离汉街近，逛街方便！', '短评打分': 3}
{'短评内容': '酒店的网络差到死，其他都还好', '短评打分': 5}
{'短评内容': '第二次入住了:还不错:在汉街边上', '短评打分': 4}
{'短评内容': '酒店地理位置不错，出门就是汉秀剧场，走过去还有汉街，很方便；作为便捷酒店算是不错的；如果要求不是很高，为了玩是很不错的选择', '短评打分': 4}
{'短评内容': '酒店地理位置不错，出门就是汉秀剧场，走过去还有汉街，很方便；作为便捷酒店算是不错的；如果要求不是很高，为了玩是很不错的选择', '短评打分': 4}
{'短评内容': '交通方便，房间干净', '短评打分': 5}
{'短评内容': '首次入住胜家玫瑰酒店,感觉不错,设施齐备,干净整洁,洗手间和置物柜格局独特,个性电脑房的电脑和电视一体化,非常方便.值得推荐!', '短评打分': 5}
{'短评内容': '好，交通很方便，离汉街购物也很近。过去汉口办事也快。风景人文都赞！', '短评打分': 5}
{'短评内容': '条件都很不错，就是贵了点，环境什么都挺好的，', '短评打分': 5}
{'短评内容': '酒店位置很理想,离汉街非常近,靠近水果湖中学;里面设施则稍显陈旧,其余都好', '短评打分': 5}
{'短评内容': '酒店服务态度很好，设施齐全，虽然窗户外面在施工，但是关上窗户还是很安静的。去武汉大学等地方都很方便。值得一住。', '短评打分': 5}
{'短评内容': '在经济型酒店中价位稍高,但物有所值,方便整洁实用,推荐.', '短评打分': 3}
{'短评内容': '位置好,离武汉站打的30元,附近有汉街有点特色.就是枕头少了点!', '短评打分': 5}
{'短评内容': '房间宽敞，布置大方。只是没睡到桃心形状的床有些遗憾。', '短评打分': 3}
{'短评内容': ' 离汉街超近，挺方便的', '短评打分': 3}
{'短评内容': '其实除了离楚河汉街很近以外，其他毛病多多，我想主要是因为酒店有些旧了吧，厕所了帘子都霉了', '短评打分': 5}
{'短评内容': '环境很好', '短评打分': 3}
{'短评内容': '方便，服务尚可以。20至2000字以内，请勿发表', '短评打分': 5}
{'短评内容': '环境好,安静.市中心,去哪里都方便.打车也容易.离各高校都近.晚上可以逛逛汉街.餐厅服务员态度很好,印象深刻.', '短评打分': 5}
{'短评内容': '已入住，服务一般', '短评打分': 3}
{'短评内容': '多次预订该酒店，价格适中，环境较好，地理位置优越，但周边餐饮设施较少', '短评打分': 5}
{'短评内容': '环境、地段都很好，非常推荐，价格也比较适中。', '短评打分': 5}
{'短评内容': '酒店环境还可以，隔音不太好！但是离汉街非常近，步行最多5分钟就到！！！', '短评打分': 5}
{'短评内容': '就图他离中南医院近 照看病人方便 网上说距离0.6m 那是直接游过沙湖 测出来的 点对点距离么？？\n房间还行 就是服务稍微差强人意\n电脑房 居然是电视电脑一体机 算是长见识了一回  电脑经常卡机 \n总的还算可以', '短评打分': 5}
{'短评内容': '满意', '短评打分': 3}
{'短评内容': '很干净呀。床也大，服务业不错，蛮温馨的，还会再来。虽然窗外景色不好。', '短评打分': 5}
{'短评内容': '硬件设施还可以，但服务缺少人性化。每张床上只有一个枕头，找楼层服务员要，她让找总台，找总台要，却答复没有多余的，无语！', '短评打分': 1}
{'短评内容': '房间挺新.比较时尚.楼下风景不错.是新修建的楚河汉街.感觉不错', '短评打分': 3}
{'短评内容': '去东湖玩的话，是非常不错的选择，就是出租车司机有的会不认识路，酒店整体设计别具一格，下次还会再来！', '短评打分': 5}
{'短评内容': '前台服务呃……不说了，那叫一个冷艳啊~~~\n内部设施不错，但是服务特小气啊，一次性的拖鞋都不给换的啊！！！有木有！！！有木有！！！崩溃啊！！！一次性的拖鞋非要你穿到你走啊！！！三天啊！！！', '短评打分': 1}
{'短评内容': '位置便利：距离省政府不到五分钟的车程。\n环境好：安静干净。\n设施好：设施齐备。\n总体感觉是一家性价比极高的酒店\n', '短评打分': 5}
{'短评内容': '每次来武汉都会住这里。性价比不错。\n前台服务有待改善。', '短评打分': 5}
{'短评内容': '房间很干净，设施很新，服务器态度也不错，就是不能刷卡比较遗憾。', '短评打分': 5}
{'短评内容': '挺不错的酒店，很舒适！价格', '短评打分': 3}
{'短评内容': '和大家说的一样，环境很好，房间很大，特别喜欢那个沙发，中午休息很到位。不过酒店前面的积水确实有点多。另外赞一下，楼下的白鹭96吃饭真的很实惠哈。', '短评打分': 5}
{'短评内容': '环境不错，性价比挺高的。', '短评打分': 3}
{'短评内容': '环境不错，离武大较近，就在东湖旁边，强烈推荐哈 ', '短评打分': 5}
{'短评内容': '酒店不错，设计的很时尚，女朋友很喜欢~~~~~~~', '短评打分': 5}
{'短评内容': '距离东湖和武大不远，房间相对陈旧些，但卫生不错，前台态度相对符合这个价位的酒店，如果选择经济型酒店，属于可以考虑的', '短评打分': 5}
{'短评内容': '浴室透明玻璃，很好玩。床也很大，就是电视太小了。', '短评打分': 3}
{'短评内容': '还可以的酒店啊，交通也方便，性价比蛮高的', '短评打分': 5}
{'短评内容': '房间不错，小姑娘很喜欢！', '短评打分': 3}
