{'短评内容': '不错，空间挺大的，都是实体墙，不像很多酒店都是隔板', '短评打分': 5}
{'短评内容': '这是第二次预定了，酒店挺好的，交通也算是方便，干净卫生，价格也算给力，继续支持', '短评打分': 5}
{'短评内容': '放假挺大的，卫生也不错，下次还是会向朋友推荐的，只是不好预定到，很疑惑，续住消费卷也不让增加 不爽的', '短评打分': 5}
{'短评内容': '离农科院和物流市场很近，房间内比较干净，环境也比较安静。', '短评打分': 5}
{'短评内容': '交通方便，服务好、干净、有三人间，下次还会选择', '短评打分': 5}
{'短评内容': '安静，卫生也不错，交通便利，还有免费停车，物有所值', '短评打分': 5}
{'短评内容': '刚住下，地段很好的，宾馆条件一般般，但住下也就安心了。', '短评打分': 3}
{'短评内容': '室内环境还算干净，房间空间可以接受。走廊电梯设备陈旧。\n前台服务员漂亮，有气质。就是不认识。', '短评打分': 5}
{'短评内容': '第二次住，非常满意，很舒服，环境不错，很宽敞，价格也适中。', '短评打分': 5}
{'短评内容': '周围环境挺安静的，旁边是花卉市场，可以去买花，里面也不错，床挺舒服的', '短评打分': 3}
{'短评内容': '价格合理，卫生干净。只是装修较为陈旧，尚待改善！', '短评打分': 5}
{'短评内容': '是以前的老宾馆了， 还凑合，暖气很足，又朝阳。 就是东西太旧了。  前台的小妹妹很漂亮很客气。啊哈哈，北京姑娘真好', '短评打分': 5}
{'短评内容': '地理位置不错，价格比较实惠，前台服务不错！', '短评打分': 5}
{'短评内容': '在北京还算经济实惠,卫生间真的很小', '短评打分': 3}
{'短评内容': '总体来说还不错，价格比较实惠，比较干净，服务还行。', '短评打分': 5}
{'短评内容': '位置很好找，床什么的也挺干净的，不过卫生间还真是小', '短评打分': 5}
{'短评内容': '虽然到了之后酒店没有给查询到预定，但是最后我们还是住了，还行。。', '短评打分': 5}
{'短评内容': '环境不错，服务也好，就是设施比较陈旧，价位适中，适合出差自助游。', '短评打分': 5}
{'短评内容': '比较旧,像学校招待所.这个价格比较合理.关键就在农科院门口,方便.', '短评打分': 3}
{'短评内容': '非常不错的酒店', '短评打分': 3}
{'短评内容': '宾馆有点旧，毛巾不白都露毛边了，服务台的态度欠佳，不规范。有个优点价格比较实惠。', '短评打分': 3}
{'短评内容': '房间干净，热水很好，服务员的服务也不错。中午结算时间是14点，这个很好。', '短评打分': 5}
{'短评内容': '这个宾馆条件非常好，而且比较实惠。图片也很属实。我给打95分。', '短评打分': 5}
{'短评内容': '预订宾馆', '短评打分': 3}
{'短评内容': '酒店很宽敞，所有房间都有窗，环境也很好，前台服务态度也挺好。不能以外观来判断，属于低调的类型，的确不错。', '短评打分': 5}
{'短评内容': '虽然设施比较陈旧，但整体感觉还不错。\n房间电子门锁不太灵敏，开门较为困难，需要调试。\n房间内无垃圾桶，只有卫生间有一个，多少有些不方便。\n床头两边没有电源插座的，貌似它是第一家，也可能是我少见多怪？\n被子太单薄了。', '短评打分': 5}
{'短评内容': '环境卫生都不错，我上回住过，这次和朋友过来是我的首选酒店。', '短评打分': 5}
{'短评内容': '好啊，服务周到，环境不错，最重要的是安静，值得一住。', '短评打分': 5}
{'短评内容': '房间很舒适  电视很好 就是附近小吃少了点', '短评打分': 5}
{'短评内容': '：干净、整洁，感觉不错。物美价廉！', '短评打分': 3}
{'短评内容': '酒店设施简单但比较实用，位置不错', '短评打分': 3}
{'短评内容': '总体上不错，干净，服务热情。干净，房间比较安静，热水较好。相对于价格来说比较值。网上订房后在入住当天酒店会电话联系确认你是否入住。地毯、家俱稍旧，但干净。\n', '短评打分': 5}
{'短评内容': '成功入住。好评。', '短评打分': 3}
