{'短评内容': '服务态度很好，需要什么给前台打电话，很快送到，虽然设施差点，但是服务人员很耐心', '短评打分': 5}
{'短评内容': '酒店位置好出行方便', '短评打分': 3}
{'短评内容': '地点不错 门面不错 但屋内设施陈旧 住了2天 我只说我住的那个屋子 别的或许不这样 床头插座已经掉落 有安全隐患 门有缝隙 屋内没吹风机 隔音很差 ', '短评打分': 4}
{'短评内容': '非常满意', '短评打分': 5}
{'短评内容': '酒店位置非常好，离市区景点很近，原本打算租车或参团出游改为了自由行。住的廊窗标间，设施一般，卫生间门方向感觉安反了真不好用，房间里免费饮用水仅第一天放有，住宿期间卫生间地面没打扫干净。', '短评打分': 4}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '不错，很好', '短评打分': 3}
{'短评内容': '环境一般', '短评打分': 3}
{'短评内容': '环境设施一般，还行，位置比较好', '短评打分': 3}
{'短评内容': '门口就有机场大巴站，非常方便，毗邻中央大街，性价比高', '短评打分': 5}
{'短评内容': '还好', '短评打分': 5}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '还可以吧，就是店里可用的设施太少了', '短评打分': 3}
