{'descr': '环境不错，交通便利', 'star': 5}
{'descr': '挺好的，房间干净，服务态度特别好，房间暖和。', 'star': 5}
{'descr': '很好！', 'star': 5}
{'descr': '房间比较小没有窗，隔音不好……为了第二天坐机场大巴方便才定这的。一晚上没睡好。酒店附近的饭店倒是挺多。味道也好', 'star': 3}
{'descr': '不错', 'star': 5}
{'descr': '好评！！！！！很舒适&hellip;&hellip;', 'star': 5}
{'descr': '各方面都很差劲，充分展示了东北的服务水平之低', 'star': 1}
{'descr': '￼ ￼ 双鹿 纽扣电池CR2032电池3v锂电池5粒装 电脑主板汽车钥匙遥控器电子秤计算器电子词典电子手表电池', 'star': 1}
{'descr': '干净，整洁', 'star': 5}
{'descr': '环境还好，服务员态度不错', 'star': 5}
{'descr': '服务态度不错，早餐还可口', 'star': 5}
{'descr': '酒店不错，设施完善，交通便利，总的来说不错！', 'star': 5}
{'descr': '房间暖和 干净', 'star': 5}
{'descr': '连续住了好几天，真心不错，服务员热情，服务态度很好，房间干净，送两瓶矿泉水，考虑的很周到，有洗衣机洗衣服', 'star': 5}
{'descr': '挺干净的价格也好', 'star': 5}
{'descr': '还好', 'star': 5}
{'descr': '总体非常好，到了还给换个商务大床，唯一不足就是，洗浴的水流有点小', 'star': 5}
{'descr': '服务态度非常好', 'star': 5}
{'descr': '环境很好', 'star': 5}
{'descr': '交通很方便   对面还可逛商场', 'star': 3}
{'descr': '酒店内部环境不错，值得推荐，附近吃饭的地方少了点。', 'star': 5}
{'descr': '特价无窗房,卫生干净,设施齐备,整体不错,服务态度好,早餐超好.唯一欠缺点就是隔音稍差一点.', 'star': 5}
{'descr': '特价无窗房,卫生干净,设施齐备,整体不错,服务态度好,早餐超好.唯一欠缺点就是隔音稍差一点.', 'star': 5}
{'descr': '不错，房间大，东西全，隔音好，干净，早餐非常不错', 'star': 3}
{'descr': '觉得还可以，虽然隔音不是很好，交通没有想象中便利，但是很温馨，性价比很高，以后还会入住', 'star': 5}
{'descr': '很好啊 干净  早餐不错  交通业不错 晚上还去对面的商场逛了逛', 'star': 5}
{'descr': '很好，方便', 'star': 3}
{'descr': '很好，方便', 'star': 3}
{'descr': '服务态度很好  周围环境也不错  就是特价大床房 没有窗户 有些闷   但是  对得起这个价钱 很好下次依然选择', 'star': 5}
{'descr': '服务态度很好  周围环境也不错  就是特价大床房 没有窗户 有些闷   但是  对得起这个价钱 很好下次依然选择', 'star': 5}
{'descr': '酒店很好，全国连锁酒店设施九十不错，值得入住！', 'star': 3}
{'descr': '性价比很高 很干净 早餐也非常好 下次还会去的  不过 返还现金不明白是怎么回事 我也没有收到', 'star': 5}
{'descr': '性价比很高 很干净 早餐也非常好 下次还会去的  不过 返还现金不明白是怎么回事 我也没有收到', 'star': 5}
{'descr': '酒店还可以房间太小了，距离火车站打车15左右到龙塔20左右。', 'star': 3}
{'descr': ' 位置还算好找，酒店对面有个大商场，可以逛逛，但是过马路要绕个大弯才行。', 'star': 3}
{'descr': ' 果然很适合去机场', 'star': 3}
{'descr': '这次住的大床房，房间很小，设置还算可以，就是隔音很差，楼道一过人就听的很清楚。电视没几个台还不是液晶。', 'star': 5}
{'descr': '价钱合适，房间条件不错，对面就是一个购物中心', 'star': 5}
{'descr': '房间设置和大小还行，电视没几个台，而且定的大床房是假大床，是两个床拼一起的中间还有缝。这个最叫人不舒服', 'star': 5}
{'descr': '房间太小了，隔间太差，又不能上网！有一好处：机场大巴站有一个站就在对面！', 'star': 1}
{'descr': '房间太小了，隔间太差，又不能上网！有一好处：机场大巴站有一个站就在对面！', 'star': 1}
{'descr': '酒店不错，附近有个机场大巴站，比较方便。', 'star': 5}
{'descr': '酒店不错，附近有个机场大巴站，比较方便。', 'star': 5}
{'descr': '前台服务特别好，对面就是华联，去超市挺方便，距离市区有点距离，但是也不远10元钱', 'star': 5}
{'descr': '前台服务特别好，对面就是华联，去超市挺方便，距离市区有点距离，但是也不远10元钱', 'star': 5}
{'descr': '瞒干净的，比较不错，下次还会选择莫泰168', 'star': 5}
{'descr': '住的商务大床房，很宽敞，比想象的大，自己住或者两个人住，住普通的大床房就够了~', 'star': 3}
{'descr': '干净，总体感觉还不错。', 'star': 1}
