{'短评内容': '不错，环境很好', '短评打分': 5}
{'短评内容': '不错不错', '短评打分': 5}
{'短评内容': '跟一般的感觉', '短评打分': 3}
{'短评内容': '早餐一般，环境和停车都好', '短评打分': 4}
{'短评内容': '房间比较宽敞。相对马路对面的广悦酒店。这个舒适，房间大点。对面得酒店可以免费接送地铁站。', '短评打分': 5}
{'短评内容': '很好环境卫生都还行，早餐如果在丰富点就更好了', '短评打分': 5}
{'短评内容': '太不好了。早餐太差，客气不好。', '短评打分': 2}
{'短评内容': '还不错，赞一个', '短评打分': 4}
{'短评内容': '还不错，挺好的', '短评打分': 4}
{'短评内容': '体验一般，不推荐', '短评打分': 3}
{'短评内容': '据说有点吵，因为有事没有入住，在市区。', '短评打分': 4}
{'短评内容': '因为有事未有入住，据说有点吵，在市区。', '短评打分': 4}
{'短评内容': '衛生一般，有點老舊。', '短评打分': 3}
{'短评内容': '住了一个礼拜 挺好的', '短评打分': 5}
{'短评内容': '酒店不错,总体卫生还可以,里高铁南站十几分钟的车程。', '短评打分': 4}
{'短评内容': '总体还行，没有具体意见，望更好', '短评打分': 4}
{'短评内容': '位置不错，交通便利，性价比还是比较高的。', '短评打分': 5}
{'短评内容': '很不错...价格实惠，房间干净整洁卫生...每次出差都是入住那里...还有早餐...', '短评打分': 5}
{'短评内容': '酒店不算很好找，但是对面的渔民新村酒店很好找，找到渔民后前行掉头回来就到酒店了，不过酒店离长隆还算比较近，开车估计不到１０分钟，酒店比较新，房间比较大，干净，新开业的就是不错，推荐，但是早餐很简单，而且周末去长隆的人太多，晚点去吃的就没了', '短评打分': 5}
{'短评内容': '跟着导航走的朋友，要注意，导航只会找到另一家，这家在金辉酒店的旁边。酒店外观让人有点失望，看着旧旧的感觉，不过，房间还是不错，挺大，比较新，也干净，早餐就一般般般了，总体来说，这家比较实惠。', '短评打分': 5}
{'短评内容': '条件不错！但是前台服务员比较冷漠！建议改善', '短评打分': 5}
{'短评内容': '这离长隆很近，房价适中，周边吃东西方便，可免去住长隆的高房费。', '短评打分': 5}
{'短评内容': '酒店的房间干净，整洁，比较大。服务很好。就是去长隆虽然地理位置近，但交通不便，的士叫不到。比对面的渔民新村酒店要实惠多了。自助游的，要是订了渔民新村，快搬到这边来。', '短评打分': 5}
{'短评内容': '酒店还可以，新装修的，地理位置也不错，离长隆10分钟左右。', '短评打分': 5}
{'短评内容': '酒店位置不错，离长隆也就10分钟车程，酒店的设施也很齐全，卫生很好，新装修的房间也好不错。。。', '短评打分': 5}
{'短评内容': '酒店服务特别好', '短评打分': 3}
{'短评内容': '还不错，新装修的，就是离长隆还有一段距离，一般司机都不懂位置。', '短评打分': 5}
{'短评内容': '酒店环境确实还好，床比普通酒店的大也很舒服。酒店是新装修的设施很新很干净，酒店的早餐很一般，品种少。酒店离长隆度假区很近，总体来说对自驾游的人们还是不错的选择.以后去番禺还住这里。\n\n', '短评打分': 5}
{'短评内容': '酒店环境确实还好，床比普通酒店的大也很舒服。感觉非常不便的就是吃的选择太少，酒店送的早餐很一般，导致我们对自助午餐也木有信心了，总体来说自驾的人还是不错的。\nPS：我们住的三床房，房内置物的桌子太窄，不太方便。', '短评打分': 5}
{'短评内容': '很干净，应该是新装修不久，但没有气味。酒店空调很给力，自助早餐还不错，有WIFI，速度一般，还可以忍受，服务员的态度很好。有免费的到长隆的大巴。离长隆不远，打的15块。总的来说，不错。下次来还有选。', '短评打分': 5}
{'短评内容': '酒店新装修的，环境还不错，位置也好找，去长隆世界很近，但是周边配套不怎么样，单纯去长隆游玩住天汇还是不错的选择', '短评打分': 5}
{'短评内容': '房间不错，很大很干净，就是地点不怎么样好找。', '短评打分': 3}
{'短评内容': '酒店的服务很不错，我们是在12点之前到达这个酒店的，不过我们没有马上入住，只是把行李寄存在前台，之后去长龙公园玩，直到晚上10点多才回到酒店。我们住的是三人房，三张大床，非常的舒服。虽然是中央空间，但是晚上冷气很足，我们都睡得很好。酒店提供的浴巾，毛巾也很柔软。另外，酒店也在房间里放了3瓶免费的矿泉水，非常的贴心。还有电吹风，纸巾等，这些是我们出行最在意的，酒店都做到了，我和我的朋友们都很满意。 ', '短评打分': 5}
{'短评内容': '设施新，房间大并且干净，服务好，免费送。', '短评打分': 5}
{'短评内容': '房间很大，床也非常大，非常好，值得推荐！', '短评打分': 5}
{'短评内容': ' 酒店开业不到一年 设施很新 干净舒适 交通餐饮都很方便 下次出差番禺首选', '短评打分': 3}
{'短评内容': '很不错的酒店，干净，房型也大，交通方便，下次还来', '短评打分': 5}
{'短评内容': '酒店设施不错，很干净的酒店，下次来还定这', '短评打分': 5}
{'短评内容': '酒店设施很好，环境也不错，卫生干净，交通业方便', '短评打分': 5}
{'短评内容': '很不错的酒店，设施完善，环境很好，很干净', '短评打分': 5}
{'短评内容': '新开张的店，设施全新，带早餐，要是去长隆玩的，还有免费巴士（往返），很满意！', '短评打分': 5}
{'短评内容': '比较新的酒店，硬件不错，但在旁边找吃的就有点儿麻烦，听朋友说原来有个自助餐的，不知为何没有了？', '短评打分': 5}
