{'短评内容': '没热水', '短评打分': 1}
{'短评内容': '位置还不错 服务还行 就是酒店环境太差 烧水壶都没有 传单有破洞不干净 住的比较胆战心惊 不值这个价格', '短评打分': 2}
{'短评内容': '位置还不错 服务还行 就是酒店环境太差 烧水壶都没有 传单有破洞不干净 住的比较胆战心惊 不值这个价格', '短评打分': 3}
{'短评内容': '实在不想说。这是我见过最差的酒店，并不是指环境，而且服务人员的服务态度，作为服务业态度差成这样也真的是少见的。我们飞机晚点晚上十点多好多容易到户部巷，出租车司机没有准确把我们送到宾馆，我们就打了宾馆电话，打电话我表明了，我是携程预定过得钱已经给了的，结果前台人员一个年纪大的女的凶巴巴跟我说没没房了就挂了电话，后来我们又打了第一次直接不接电话了。我们三个女生大半夜就被这样对对待。后来换了一个电话打。', '短评打分': 1}
{'短评内容': '垃圾的一匹，房间卫生是可以，但是设施是要什么没什么！！！连基本的空调电视遥控器还有酒店前台电话也没有，摆两个杯子却没有烧水壶，衣架没有衣撑，矿泉水也没，连基本的酒店男女安全措施也没，卫生间那刷牙的杯子底部估计是上个客人用过的痕迹，脏的一匹，放五分钟了连热水的影子也没，从来没有见过这么烂的宾馆！！！！我是真的忍不住了想吐槽的，第一次给差评。。。慎重！！？', '短评打分': 2}
{'短评内容': '一般般', '短评打分': 5}
{'短评内容': '一般', '短评打分': 5}
{'短评内容': '还大酒店，豪华单间，被忽悠了', '短评打分': 2}
{'短评内容': '喷淋是坏的，蚊子特多，一晩没睡好，有电蚊香无蚊香片，房间内灯也有坏的，Wife无密码，座机打不通，尤其是总台，房间隔音效果不好。', '短评打分': 3}
{'短评内容': '环境还是很不错的，我是国庆出来玩的，一百多一夜，很便宜！交通也挺好的！离户部巷也挺近。很满意', '短评打分': 5}
{'短评内容': '半夜到的，合方面都对得起这个价钱，比较安静，值得选择', '短评打分': 4}
{'短评内容': '酒店太老，服务差，竟然开不了发票。要不是原来预定的酒店不能入住又怕展会期间找不到住处，不会选择该酒店。', '短评打分': 3}
{'短评内容': '价格还是可以', '短评打分': 4}
{'短评内容': '前台很好，楼下就是吃的地方，一连吃了四天，不错，靠着江边，靠着户部巷，靠着黄鹤楼，靠着音乐学院，推荐，房间挺宽敞', '短评打分': 3}
{'短评内容': '还算可以就是十一多收了20有点不爽', '短评打分': 4}
{'短评内容': '非常好，挺干净又实惠，地点就是长江边上，离黄鹤楼和户部巷很近！', '短评打分': 5}
{'短评内容': '总体还不错。除了隔音不怎么样，有点吵。\n打麻将的声音大了点。', '短评打分': 5}
