{'短评内容': '环境不错～服务态度很好', '短评打分': 5}
{'短评内容': '环境不错～服务态度很好', '短评打分': 5}
{'短评内容': '第二次住了。酒店的外观与室内装潢极富挺不错，客房有风格，丰富的色彩、舒适的床品、人性化的服务，安静。离景点也挺近。', '短评打分': 5}
{'短评内容': '酒店的外观与室内装潢极富挺不错，客房有风格，丰富的色彩、舒适的床品、人性化的服务，安静。离景点也挺近。', '短评打分': 5}
{'短评内容': '六月三日和朋友来紫金办事，通过携程旅行网订了紫金金源宾馆，感觉宾馆地理位置优越，环境安静，房间卫生干净，来紫金办事、旅游各届人士的首选宾馆，另外今天中午退房，因之前是预交了房费，中午十二点退房，直接让宾馆前台结账开了发票就离开了，下午两点半接到宾馆电话，说我忘记退押金，我回忆，中午退房，因我朋友急着去办事，我也忘了，但是总台结帐却主动来电话我告诉，让我开通她微信，将我的住房押金退到我微信红包里，很', '短评打分': 4}
{'短评内容': '离市中心略远，装修，设施还可以，干净，洗浴用品也好，停车场大，停车方便，隔壁就是金源酒楼，菜有当地特点。就是送的瓶装水太小了，只好到门口买。性价比较高。', '短评打分': 4}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '酒店较老旧，在交通要道新紫路上，安排给我们入住的房子正好位外靠马路的外侧上，汽车行走、喇叭的刺耳噪音极大，严重影响休闲和睡眠！总台的服务意识也须认真提高。', '短评打分': 3}
{'短评内容': '子县城酒店，各种设施都可接受，靠马路大吵', '短评打分': 3}
{'短评内容': '应该是当地较出名的酒店', '短评打分': 4}
{'短评内容': '经常安排在路边，吵！', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
