{'短评内容': '还好的，住着习惯', '短评打分': 5}
{'短评内容': '还可以不错的', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '位置不错，在市政府附近，价格实惠！', '短评打分': 5}
{'短评内容': '就是外面修路有点吵', '短评打分': 5}
{'短评内容': '很一般！太老了', '短评打分': 3}
{'短评内容': '感觉潮乎乎有点霉味，周边也在施工。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 4}
{'短评内容': '还不错，经济实惠～', '短评打分': 4}
{'短评内容': '酒店不错住起来很舒服。', '短评打分': 5}
{'短评内容': '住过很多次了，还不错，交通便利，房间还可以这个价位，就是隔音没有那好，总体来说还是比较喜欢的，下次有机会再去', '短评打分': 5}
{'短评内容': '价格便宜，周边有个超市很方便。', '短评打分': 4}
{'短评内容': '价格便宜，周边有个超市很方便。', '短评打分': 4}
{'短评内容': '价格便宜，周边有个超市很方便。', '短评打分': 4}
{'短评内容': '价格便宜，周边有个超市还是很方便', '短评打分': 4}
{'短评内容': '酒店价格实惠，外部环境和设施不太理想。', '短评打分': 4}
{'短评内容': '类似于连锁酒店，水木清华的分店，设施一般。', '短评打分': 3}
{'短评内容': '不错，习惯性好评。就那样', '短评打分': 3}
{'短评内容': '总的来说还不错，只是门关了味道比较大。', '短评打分': 4}
{'短评内容': '还行就是隔音不好，经常和男友去', '短评打分': 3}
{'短评内容': '酒店设施一般.地毯有点旧价格便宜', '短评打分': 3}
{'短评内容': '设施比较陈旧，所以显得有点脏，卫生间的门关不上，洗水台面上也总爱渗水。好处是便宜，而且当地公交很不错，交通方便', '短评打分': 5}
{'短评内容': '入住好几次了，不错~~~就是早上出来后很难打车', '短评打分': 5}
{'短评内容': '一宿没睡着，床是硬的，墙纸也开始打折了。被褥居然浑身生痒。不敢造次。写出来的目的是希望酒店本身注重改善与提高。不要一味为了低价促销就把服务也同步速度下调。', '短评打分': 1}
{'短评内容': '应该说服务还不错，只是这门和锁都不太给力，巨响', '短评打分': 5}
{'短评内容': '＋环境好，交通方便，节约首选！', '短评打分': 3}
{'短评内容': '一般了，地方也稍微远了些，不是很方便。。。。。。', '短评打分': 1}
{'短评内容': '我当时住的是6楼房间，环境还不错，可以上网，下回还住在哪里', '短评打分': 5}
{'短评内容': '周边坏境不错，远离了市区的吵闹，就是周边吃饭不是很方便，经过装修的房间，性价比应该会更高！', '短评打分': 5}
{'短评内容': '房间各方面都很旧了，房间倒是大，可是设施很差，空调都不行，一夜了也不暖和', '短评打分': 1}
{'短评内容': '很不好！！网络没有！说是有宽带里面根本就是个装饰，不能连接', '短评打分': 1}
{'短评内容': '房间网上不去，弄了半天工作人员说弄不好\n空调也不够热', '短评打分': 1}
{'短评内容': '单间房间很不错，床大干净卫生，感觉很好，很超值', '短评打分': 5}
{'短评内容': '条件比较一般，毕竟就这价格，服务不错，位置也很好。', '短评打分': 5}
{'短评内容': '位置离宜兴市政府很近，交通便利，周围紫砂店多，很好\r\n选.', '短评打分': 3}
{'短评内容': '环境干净安全,服务周到,就是离市中心和金三角度车站远了点,不过还是较满意的', '短评打分': 3}
{'短评内容': '  还不错，性价比比较高！值得住！', '短评打分': 3}
{'短评内容': '房间破旧，味道怪怪的，而且地址较偏，周围没有吃饭的地方.....中午洗澡没热水，差点没被冻死！靠马路的房间早上有点吵。服务态度不好，才晚了几分钟退房就要收10块钱延迟费！提供免费的网线。', '短评打分': 1}
{'短评内容': '挺实惠的', '短评打分': 3}
{'短评内容': '环境挺不错的，免费的网线，服务态度也很好，就是早上9点左右好像没有热水', '短评打分': 5}
{'短评内容': '可以， 房间总体可以的！隔音效果太差了点！还算是可以吧！', '短评打分': 5}
{'短评内容': '酒店价格便宜，但档次不是“便宜酒店”的档次。值得推荐，以后还会住。', '短评打分': 5}
{'短评内容': '总的来说条件还不错。就是感觉隔音效果不是很好。。卫生间没想象中的大', '短评打分': 3}
{'短评内容': ' 还不错 性价比较高 推荐', '短评打分': 3}
{'短评内容': '常来住', '短评打分': 3}
{'短评内容': '房间味道怪怪的，而且地址较偏。周围没有吃饭的地方.....', '短评打分': 1}
{'短评内容': '经常来住，主要价格实惠', '短评打分': 3}
{'短评内容': '虽然有点旧   但房间很大   非常实惠  但是早上有点吵', '短评打分': 5}
{'短评内容': '不错网上预订很方便 价格也很合理 会员价格跟网上价格一样 但网上订可以得到积分', '短评打分': 5}
{'短评内容': '性价比还可以，但是不推荐的一点是离市中心很远，而且服务人员的态度极差，房间打前台的电话要衣挂，打通后很凶的告诉我这事不归他们管，不等我回答就挂掉电话，然后再也打不通了......', '短评打分': 1}
{'短评内容': '实惠，值得一住！', '短评打分': 3}
{'短评内容': '性价比可以的！就是靠马路的房间早上有点吵。', '短评打分': 5}
{'短评内容': '总体还好，就是2楼潮气太重，墙壁都有水迹，卫生间地面渗水。', '短评打分': 1}
{'短评内容': '感觉还不错~~设施完善。环境优雅，值得大家去看看，经济实惠', '短评打分': 5}
{'短评内容': '还行吧 对得起这个价格、、、、、、、、、、、', '短评打分': 5}
{'短评内容': '较远一般', '短评打分': 3}
{'短评内容': '住宿一般吧，差不多就是普通，住了一晚，两个老人不小心喝了桌子上放的参茶，被扣掉40元押金，建议这样的东西不要放在桌子上，而是放在那个需要付费的柜子上。', '短评打分': 1}
{'短评内容': '还好', '短评打分': 3}
{'短评内容': '总体上还不错物美价廉，值得下次再入住！', '短评打分': 3}
{'短评内容': '还好，老样子！', '短评打分': 3}
{'短评内容': '很满意，是否还能够提供交通图，旅游信息，餐饮服务那就更好了。', '短评打分': 5}
{'短评内容': '还不错，地段很好，实惠，对的起100元的房价', '短评打分': 5}
{'短评内容': '空调暖和一点更好啦！', '短评打分': 3}
{'短评内容': '不错的酒店,交通比较便利,比较好找,值得推荐', '短评打分': 5}
{'短评内容': '空调不制热折腾了三个房间', '短评打分': 3}
{'短评内容': '就是希望地毯可以干净些', '短评打分': 3}
{'短评内容': '1、居然无热水，新年第一天，郁闷非常。\n2、隔音效果不好，吵。\n3、有免费大宝使用，有一本床头书、有电吹风，值得肯定。\n4、停车场有几个车位，虽然小，但是停车位无人管理，当地人把车子挺得乱七八糟，一辆车停2、3个位置（依维柯3个车位占了），让人火大。\n5、位置还行，近陶都路，近市政府。\n6、服务态度很一般，比较冷！\n7、空调不给力，被子薄！', '短评打分': 1}
{'短评内容': '这次住的房间里面的物品竟然有损坏的，浴室拉门也没有。', '短评打分': 5}
{'短评内容': '空调暖气不够！', '短评打分': 3}
{'短评内容': '空调暖气不够', '短评打分': 3}
{'短评内容': '总体感觉很好。简单实用。就是新的单人或双人有些房间还无法上网', '短评打分': 5}
{'短评内容': '酒店性价比不错，周围环境可以，如果时间充裕，还可以去爬山。\n去市中心其实还方便，就一辆车。', '短评打分': 5}
{'短评内容': '房间环境不错，价钱也合理。以后再来宜兴就住这了', '短评打分': 5}
{'短评内容': '去了很多次了  价格还算实惠 离市区做公交15分钟  算是小地方 的比较元的', '短评打分': 5}
{'短评内容': '设施差了点。', '短评打分': 3}
{'短评内容': '来宜兴一直住的，老样子吧，就是前台一直推销会员卡蛮烦的。', '短评打分': 5}
{'短评内容': '还好吧！', '短评打分': 3}
{'短评内容': '地理位置还行，周围环境也不错，房间干净舒适', '短评打分': 5}
{'短评内容': '空调不行，暖气太少，正是寒流来袭，睡得确实是冷了点。', '短评打分': 5}
{'短评内容': '房间总体来说还是不错的，交通比较便利，对面的饭店口味不错，最好自己按自己口味点菜。', '短评打分': 3}
{'短评内容': '价格不错，开车的朋友入住的话还是蛮不错的，对面的饭店也不错', '短评打分': 5}
{'短评内容': '交通方便环境不错，性价比高，是不错的选择', '短评打分': 3}
{'短评内容': '酒店设施齐全,性价比高,服务热情,下回去宜兴还住', '短评打分': 5}
{'短评内容': '床，被单，毛巾实在是太硬啦，我是由于公司每周必须来宜兴出差一次才住的，希望可以得到改善。', '短评打分': 5}
{'短评内容': '地毯太脏了，房间里有个大柱子，毛巾好硬！', '短评打分': 5}
{'短评内容': '就是离市区远了点，不开车的朋友不方便，还没有早餐，其他的还行', '短评打分': 5}
{'短评内容': '不错，很便宜，   房间也不错，下次再住', '短评打分': 5}
{'短评内容': '位置离市中心远了一点，出行公交挺方便的，门口就是公交车站，可以到宜兴金三角客运站，就是需要花些时间。\r\n总体来说还是挺划算的，主要就是价格实惠!\r\n酒店对面有家叫万客来的饭店，菜做的干净又美味，价格也实惠，老板娘也很热情爽快，吃的非常愉快，意外收获哦！', '短评打分': 5}
{'短评内容': '交通不够好，隔音太差了。交通不够好，隔音太差了。', '短评打分': 5}
{'短评内容': '原定房型名称：新标间，入住后发现是普通标间，并且房价不预定也一样，根本没有优惠。', '短评打分': 1}
{'短评内容': '不错，房子干净，比较舒适，位置也很好啊，就是小了一点。', '短评打分': 3}
{'短评内容': '第三次住了，一如既往的好。', '短评打分': 5}
{'短评内容': '预订时候想着可以去森林公园爬爬山，所以订了这一家。\r\n到达后，没有爬山，就觉得位置偏远了，离市中心步行街有段距离，后悔该订市中心，晚上在湖边溜达该多好。\r\n酒店性价比还可以，就是一般住一晚而已，凑合。', '短评打分': 5}
{'短评内容': '很温馨的地方，宾馆距离市中心有半小时车程，但是有直达的公交，很安静，不错。', '短评打分': 3}
{'短评内容': '酒店干净，就是隔音效果不怎么样。前台服务要加强', '短评打分': 5}
{'短评内容': '第二次住了，感觉依然不错，以后来宜兴都会住这，希望可以有优惠！', '短评打分': 3}
{'短评内容': '第二次来这边住了，感觉依然不错，来宜兴都会住这边啦，希望可以有优惠！', '短评打分': 3}
{'短评内容': '房间不大，但很干净，设施比较全，值得一住', '短评打分': 5}
{'短评内容': '房间挺干净整洁的，周围交通也很方便，下次来宜兴还住这。', '短评打分': 3}
