{'短评内容': '周围环境好', '短评打分': 5}
{'短评内容': '设施太老，服务一般，有一间房非常潮，想换房间得加加价。', '短评打分': 4}
{'短评内容': '环境不错早餐差点！', '短评打分': 5}
{'短评内容': '设施陈旧，卫生环境较差，尤其是卫生间狭小，洗澡连站的地方都没有，紧靠马桶，洗澡间下水一点都不下水，联系前台告之所有房间都这样，需要自己把下水盖打开，晕。有些收费的东西没有明示，容易让人误解。', '短评打分': 4}
{'短评内容': '环境不错', '短评打分': 5}
{'短评内容': '非常好，而且干净', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '酒店电梯和走廊，有一股发霉的味道，很臭很臭，像臭脚丫子味道；酒店的位置是在原来老火车站，距离新火车站很远，这一点携程并没有注明，害得我折腾了半天，以为从火车站出来步行就到了，结果还是打车到了这里；酒店安全管理有待提高，半夜有多位陌生男子拉门。建议大家不要选择这里入住。', '短评打分': 1}
{'短评内容': '服务热情周到，卫生条件很好，酒店管理的井井有条，夏天去绥芬河还要住在这。', '短评打分': 5}
{'短评内容': '前台服务态度差，有待提高！', '短评打分': 2}
{'短评内容': '酒店、电视电脑没一个好使的', '短评打分': 1}
{'短评内容': '订购的圆床房，房间挺大，就是装修好像有点久了，很旧，床品和浴品到没说的，总体来说还是不错', '短评打分': 3}
{'短评内容': '酒店前台服务热情，艺龙预定价格真优惠，比禧龙会员价格还低！', '短评打分': 3}
{'短评内容': '比较满意', '短评打分': 5}
{'短评内容': '服务态度好！有机会还来这！好评！', '短评打分': 3}
