{'短评内容': '酒店环境不错', '短评打分': 5}
{'短评内容': '美女接待的我们，服务很好，很满意，以后朋友亲戚去西塘就找她们家', '短评打分': 5}
{'短评内容': '老板娘挺好的  服务挺好的  去景区玩最好在客栈里买票可以便宜点  ', '短评打分': 5}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '很安静  很舒服', '短评打分': 5}
{'短评内容': '划算，离景区近，帅哥人好。', '短评打分': 5}
{'短评内容': '非常的干净，员工非常周到，给12个赞，下次去还会选择这家，推荐一下这家宾馆', '短评打分': 5}
{'短评内容': '环境不错', '短评打分': 5}
{'短评内容': '环境挺好的，老板人很好。挺满意的', '短评打分': 5}
{'短评内容': '住的明月房，很古色古香，还有露台可以荡秋千，老板人也很好，下次去还会住这家', '短评打分': 3}
{'短评内容': '房间很干净，设施齐全，在景区内', '短评打分': 5}
{'短评内容': '这次的住的是明月房间，虽然价格相比贵一点，但环境挺不错的，远离酒吧街而且派出所就在旁边，根本不用担心安全的问题。就是晚上蚊子有一点，但开个空调问题不大。最后谢谢老板帮我寄出的明信片，都收到了，谢谢。', '短评打分': 5}
{'短评内容': '   老板娘人很好哦， 客栈环境也很好， 走的时候衣服落下来，还帮我寄回来。 主要是张老师， 我们觉得你很可爱肋。', '短评打分': 5}
{'短评内容': '老板娘人很好，但酒店的隔音效果实在太差了。我们的房间是秋水房，旁边就是前台，还有吃饭的地方，到凌晨一两点才安静下来。如果是平时睡眠质量不好的人，或者对声音特别敏感的人，千万不要住啊！', '短评打分': 1}
{'短评内容': '老板不错，很热情，只是不是在景区里面，早上进去还要买票呢，不过也可以晚上进去或者早上早点进去，老板给买票还能省一半呢，呵呵', '短评打分': 5}
{'短评内容': '非常好的一家店，客栈的老板和老板娘都非常热情,店的位置也不错，像我们出去玩到很晚，老板还一直在等我们回来,就是早上在睡觉的时候- -有客人在外面讲话很大声- -其他的都非常好。强烈推荐大家订这家店哦！', '短评打分': 5}
{'短评内容': '非常不错的一家客栈，老板和老板娘都很热情，房间也干净，很推荐！', '短评打分': 5}
{'短评内容': '1.价钱不算非常便宜，但是性价比很高，因为客房的设备比较齐全，房内还有电脑，这样能利用休息住店的时间来处理自己的资料或者查找攻略等，比较方便。\n2.店内的环境比较好，庭院内和前台的房内有很多老板细心栽种的杜鹃花，是不容易成活的品种，老板对养植物比较有心得，是个随和亲切的人，交谈中学到不少养植物的技巧，但是行程的关系没能多聊，否则应该能获益更多。另外老板还是个对古董比价有研究的人。老板娘的态度也很不', '短评打分': 5}
{'短评内容': '在西塘古镇，应该算是非常干净的客栈，老板一看就是很讲究的人，就是被子小了点儿，把我老公冻感冒了，呵呵', '短评打分': 5}
{'短评内容': '客栈的环境还不错，房间也很干净。院子里还有店家准备的茶具，可以喝茶的呦！！而且老板和老板娘的服务态度超级棒！', '短评打分': 5}
{'短评内容': '其实还是一家客栈，没原来想象的好。不过老板娘算蛮热情的，晚上睡觉很安静，还算挺舒服的。庆幸没去订那些临河大床的，不然晚上睡觉会被酒吧街的音乐吵死。', '短评打分': 5}
{'短评内容': '总体感觉还是不错的，虽然只住了一晚，老板娘还是很热情的，如果要入住的话最好先行联系好，有些钱是可以省的。', '短评打分': 5}
