{'短评内容': '酒店位置很方便，早餐不错，能加床，有提车场', '短评打分': 5}
{'短评内容': '装修豪华，卫生干净', '短评打分': 5}
{'短评内容': '两个字，满意', '短评打分': 5}
{'短评内容': '周围环境各方面都好', '短评打分': 5}
{'短评内容': '房间很大，有停车场', '短评打分': 5}
{'短评内容': '房间够大，服务也好，就是性价比有点低，和新兴其他的酒店相比，这个价位确实贵了', '短评打分': 5}
{'短评内容': '价格有点偏高 其他很好', '短评打分': 5}
{'短评内容': '当地最好了，早晚茶不错。', '短评打分': 5}
{'短评内容': '交通便利，周边配套设施齐全，酒店设施不错', '短评打分': 5}
{'短评内容': '酒店服务很好，帮忙调到了最高楼层。可惜房间门隔音不好，一大早各种吵杂声。没睡好觉，有点苦恼。其余都很棒！', '短评打分': 5}
{'短评内容': '方便，环境还行，', '短评打分': 4}
{'短评内容': '感觉酒店还是物超所值的，整体感觉是4星的，唯一美中不足的就系离温泉区有的远', '短评打分': 5}
{'短评内容': '县城能有这样的酒店已经可以了，不能要求过高。', '短评打分': 5}
{'短评内容': '酒店不错，就是有点贵哦', '短评打分': 3}
