{'短评内容': '各个方面都很好，尤其刘玉莹和廖子钧服务非常周到。以后还会再来', '短评打分': 5}
{'短评内容': '停车方便，不错的酒店', '短评打分': 5}
{'短评内容': '酒店还可以', '短评打分': 5}
{'短评内容': '非常的漂亮', '短评打分': 5}
{'短评内容': '得谢谢礼宾部naomi的帮助 很热情', '短评打分': 5}
{'短评内容': '一般般吧，达不到五星，开业比较久了，硬件床铺都比较旧，前台入住比较快，送了水果，早上退房也还算快吧，早餐品种不是很多。', '短评打分': 3}
{'短评内容': '晚上10点多才到酒店的，酒店前台还是蛮给力的，入住效率挺快的，入住之后还送了水果，就是硬件比较破旧，早餐品种不多。', '短评打分': 4}
{'短评内容': '不错不错非常好', '短评打分': 5}
{'短评内容': '不错哦，赣州高端宾馆。', '短评打分': 5}
{'短评内容': '蛮好 价格实惠 经常住', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '每次都住这里，大堂副理温小倩很负责任，点个赞！', '短评打分': 5}
{'短评内容': '酒店卫生真心一般', '短评打分': 4}
{'短评内容': '到了房间没多久，前台打来电话问有没有什么不满意的地方，有什么需要我们改进的，这一点让人很舒服。酒店整体挺好的，就是早餐品种有点少。', '短评打分': 5}
{'短评内容': '不错的酒店 旁边就是购物中心 出行吃喝都很方便 服务也好 入住还有小礼物 下次还会选择', '短评打分': 5}
{'短评内容': '不错.升级到行政客房', '短评打分': 5}
{'短评内容': '很好 非常好 yes', '短评打分': 5}
{'短评内容': '环境不错！', '短评打分': 5}
{'短评内容': '酒店非常好 周边也有商场 很繁华', '短评打分': 5}
{'短评内容': '离市政府不远，地理位置很好。房间环境也很不错，但是有股味道，像刚装修好。携程预定还送了水果，挺贴心的。', '短评打分': 4}
{'短评内容': '离市政府不远，地理位置很好。房间环境也很不错，但是有股味道，像刚装修好。携程预定还送了水果，挺贴心的。', '短评打分': 4}
{'短评内容': '高大上！', '短评打分': 5}
{'短评内容': '高大上！，', '短评打分': 5}
{'短评内容': '重复重复购买重复重复购买', '短评打分': 5}
{'短评内容': '格兰云天酒店房间油漆味道太浓。', '短评打分': 3}
{'短评内容': '酒店卫生差一点，服务跟不上', '短评打分': 3}
{'短评内容': '味道太重，晚上很吵，位置也偏，性价比不高。', '短评打分': 1}
