{'短评内容': '挺好的。。。。', '短评打分': 5}
{'短评内容': '酒店还可以', '短评打分': 4}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '房间味道大得很 再也不会来', '短评打分': 3}
{'短评内容': '干净舒适，每次都去这住', '短评打分': 5}
{'短评内容': '一般吧，感觉有点贵了。房间很小，不过也就住一晚上而已。隔音效果不太好，房间安全一般。前台服务不错，第二天要去五台山，前台很热情地告诉应该怎么乘车。', '短评打分': 4}
{'短评内容': '第一次到忻州出差，总体感觉还是蛮好的，住的挺舒服，周边环境也还行，就是有这里还有一个忻如家，差点儿就搞混了。', '短评打分': 4}
{'短评内容': '正常的如家快捷酒店', '短评打分': 5}
{'短评内容': '正常的如家快捷酒店', '短评打分': 5}
{'短评内容': '途中休息一站，选择如家就是看重连锁酒店的一致品质，总体满意，推荐', '短评打分': 5}
{'短评内容': '如家一直觉得是最靠得住的连锁快捷', '短评打分': 3}
{'短评内容': '经常去住，还可以', '短评打分': 4}
{'短评内容': '挺好的，', '短评打分': 5}
{'短评内容': '离市区较远，出差入住', '短评打分': 4}
