{'短评内容': '经常住七天，真心不错，感觉比如家好', '短评打分': 5}
{'短评内容': '经济吧，前台服务态度不错，适合差旅出行', '短评打分': 4}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '典型的快捷酒店，没有什么特别之处， 有免费的专车接送，早餐种类较少 ，还有房间没有挂衣服的地方，有点不方便，希望改进。', '短评打分': 4}
{'短评内容': '七天是不错的，干净卫生、服务态度好，多次居住了位置很好，交通方便。', '短评打分': 5}
{'短评内容': '停车比较紧张', '短评打分': 4}
{'短评内容': '不错的酒店，干净卫生，交通特别方便，离公交站很近，门口就是天桥，过马路也很方便。价格也不贵，下次还会来的', '短评打分': 5}
{'短评内容': '活动买的&hellip;&hellip;还不错', '短评打分': 5}
{'短评内容': '房间较大，只是设施有点老', '短评打分': 3}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '价格实惠，房间还行', '短评打分': 4}
{'短评内容': '酒店干净整洁，前台服务好，对广州也很熟悉，可以咨询很多信息。短期出行最好的选择就是住经济型酒店，方便舒适，价格又便宜。', '短评打分': 5}
{'短评内容': '服务好，蛮舒服的', '短评打分': 5}
{'短评内容': '前台服务很棒 认真 细心 耐心解答我的各种问题 相比如家好太多', '短评打分': 5}
{'短评内容': '提供基本的住宿', '短评打分': 2}
{'短评内容': '一般般', '短评打分': 3}
{'短评内容': '7天还是7天', '短评打分': 5}
{'短评内容': '不错，方便有车位，店员态度也很好！！！！', '短评打分': 3}
