{'短评内容': '京东也可以订房了，不错', '短评打分': 5}
{'短评内容': '挺好的的的的的的的的的的的的地方', '短评打分': 5}
{'短评内容': '比较安静还是很舒服的', '短评打分': 4}
{'短评内容': '可以加油。', '短评打分': 4}
{'短评内容': '去领事馆挺方便的', '短评打分': 4}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '都还行。', '短评打分': 5}
{'短评内容': '很好很不错非常的不错可以', '短评打分': 5}
{'短评内容': '还不错&hellip;', '短评打分': 5}
{'短评内容': '性价比高～', '短评打分': 5}
{'短评内容': '性价比很好～七天一贯的风格～', '短评打分': 5}
{'短评内容': '一般。', '短评打分': 3}
{'短评内容': '安静', '短评打分': 5}
{'短评内容': '安静', '短评打分': 5}
{'短评内容': '安静', '短评打分': 5}
{'短评内容': '安静', '短评打分': 5}
{'短评内容': '离地铁站不远，服务人员态度不错，房间大小都差不多，热水24小时供，房间里有WIFI，卫生条件也可以，周边小超市、吃东西的地方也多~唯一一点不好的就是临街，过往车辆有点吵~', '短评打分': 5}
{'短评内容': '总体验一下，安静且交通便利，吃的也很多选择，印象还是不错的，可以推荐。', '短评打分': 3}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '还行', '短评打分': 4}
{'短评内容': '外面比较吵，不过比较方便！', '短评打分': 4}
{'短评内容': '就是比较吵，外面车子多的很。', '短评打分': 4}
