{'短评内容': '还可以，到机场比较方便', '短评打分': 5}
{'短评内容': '在京东订酒店的体验还不错，有有各种优惠还有金豆可以换。', '短评打分': 5}
{'短评内容': '第一次在京东选择订酒店，很快捷', '短评打分': 5}
{'短评内容': '不错的房间！！', '短评打分': 5}
{'短评内容': '不错，房间很好', '短评打分': 5}
{'短评内容': '四星级酒店，不知道怎么评上的，餐厅里的食物太难吃，环境和服务我不想再说什么', '短评打分': 5}
{'短评内容': '环境很好，房间很宽敞，早餐很丰盛，尤其是面包很好吃，每天还赠送一份水果。下次带小朋友玩还是首选这家酒店。', '短评打分': 5}
{'短评内容': '空调开一晚上，太干燥了', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '好，干净', '短评打分': 5}
{'短评内容': '差不多不错的酒店', '短评打分': 4}
{'短评内容': '酒店靠近城市阳台，步行可到海边，性价比很高。酒店大堂有去机场的大巴，只是班次间隔太长，总体来说出行还算方便。', '短评打分': 4}
{'短评内容': '公司出差入住的，离公司地产项目比较近，周边觅食还算方便，对面有个披萨店味道尚可（重点可以开发票）。酒店内部餐饮菜式水平SOSO有待提高，没有什么特色的海鲜。但自助早餐的品种较多。房间内卫生情况良好，整体值得推荐。', '短评打分': 5}
{'短评内容': '酒店干净卫生。有到机场的大巴车。', '短评打分': 5}
{'短评内容': '挺好的。', '短评打分': 5}
{'短评内容': '地方有点偏。', '短评打分': 3}
{'短评内容': '我是帮朋友订的，听他说房间不错，休息的很好。说下次还要去住。呵呵……', '短评打分': 5}
{'短评内容': '酒店硬件不错．感觉客房比什么海的要好！软件则比较差．具体的：\n１．自助餐必须先买单．在酒吧消费，鸡尾酒货不对板，沙发掉毛，粘到裤子上很难看．跟他们讲，结果是叫我自己注意！酒水挂账，其中一个单子忘记签名，结果第二天一早就电话进来．自己的错误，去骚扰客人！！！\n２．订房工作没交接好，结果让我去跟ＥＬＯＮＧ说我没有入住！这好像不地道了．\n\n自助餐负责烧烤的女士值得表扬．\u3000每次看到我们去吃，因为有老外，主', '短评打分': 5}
{'短评内容': '我很喜欢住在这里，尽管酒店是去年开业的，但是没有新房间的那种刺鼻味道。酒店员工的热情、乐于助人和欢迎态度给我留下了非...', '短评打分': 5}
{'短评内容': '我很喜欢住在这里，尽管酒店是去年开业的，但是没有新房间的那种刺鼻味道。酒店员工的热情、乐于助人和欢迎态度给我留下了非常深刻的印象。我住在这儿期间，感觉就像回家里一样。酒店管理的真棒，非常安宁洁净。员工似乎都很喜欢他们的工作。客房的大床和淋浴非常给力，感觉棒极了，鲜花、新鲜水果给房间注入清新的生命力；服务也是非常好。总而言之，来这家酒店入住，是一个不错的选择。强烈推荐！\n', '短评打分': 5}
{'短评内容': '酒店装修不错，最吸引我的就是机场巴士直达酒店，大堂吧服务员服务的很好，我刚坐下，服务员就面带微笑送来了柠檬水。退房跟入住都很快，房间大床是我住过的酒店最棒的！！赠送 的新鲜水果跟饮料，整体感觉安静温馨。巧合的是，当地政府安排的欢迎晚宴就在这家酒店，粤菜非常的棒！桌上的本地刀鱼听说是灵山岛的，大快朵颐啊！下个月公司胶南办事处成立，以后就定点这家酒店了。', '短评打分': 5}
{'短评内容': '环境不错\u3000\u3000只是缺少气氛', '短评打分': 3}
