{'短评内容': '一间房可以住三四个人，比较划算', '短评打分': 5}
{'短评内容': '服务态度好！酒店位置也不错！', '短评打分': 4}
{'短评内容': '特别满意的丽江行，感谢童话精品客栈神话店的橘子和小柯，为我筹划的求婚仪式，客房看图就行，服务是他们最大的特色，无论你有什么需求都会尽全力为你解忧，明年我们还会来，争取带个小的', '短评打分': 5}
{'短评内容': '晚上1点才到，感谢阿莲那么晚等着我们。木质的小屋，很适合休闲的住几晚。位置也很方便，在古城的里面，下次一定还住童话。', '短评打分': 5}
{'短评内容': '客栈超好超用心，床很舒服，活动很丰富，大家玩的很开心，阿吉和小柯超热情！！！^_^', '短评打分': 5}
{'短评内容': '接待服务周到，热情，住的也很舒服。', '短评打分': 5}
{'短评内容': '看到客栈评价不错网上直接预定的，入住后并没有那么舒服，优缺点都有，首先说下优点，助理阿莲非常棒，帮忙安排接机并直接接我们到客栈，并提前告诉我一些注意事项，推荐了很多好吃好玩的，大半夜帮忙找拼车去泸沽湖，人很热心，不过上车才发现同车是双程130，我是200，有点不爽。缺点主要是房间设施不行，热水不是很热，关键是床垫是坏的，半边已经塌了，睡得很不舒服，其他都不错。', '短评打分': 4}
{'短评内容': '跟我妹妹两个人一起去的，去的时候考虑到第一次出这么远的门，又是女生，又是凌晨下飞机，我是对比了很多家客栈才选的童话的，看评论都是说会配一名助理的，订完房间，掌柜就安排助理跟我联系了，订好接机事宜，下飞机接机师傅主动联系我，助理小柯在古城出口等我们，帮拿行李，到客栈里还不忘问我们喝不喝银耳莲子粥，被暖到哦，第二天我俩起得早，早早出门，看我们不在就打电话询问，一到饭点儿就联系我们，问候吃没吃饭，能不能', '短评打分': 5}
{'短评内容': '第一次到丽江没有像一个无头苍蝇一样到处跑。因为有管家阿彦一路做陪。还帮提所有东西。好贴心。怒赞????。酒店氛围特别好。大家就像一家人  两天三夜玩的开心。拉市海和玉龙雪山行都玩的尽兴。下次带家人过来。还住这家', '短评打分': 5}
{'短评内容': '来丽江最开心的就是选对了地方，少走了很多冤枉路。小琴特别好，推荐了好多好吃的好玩儿的。其他人也特别好特别热情，就像一家人一样。还带着我们逛古城。住的也特别好～干净卫生，特别有意境，感受丽江的慢生活', '短评打分': 5}
{'短评内容': '酒店很有感觉，关键是店员们都很好，管家也很尽心，推荐居住', '短评打分': 5}
{'短评内容': '客栈出乎意料，每个入住的客人都配备管家，很贴心，也会很方便，我们的管家是小琴，很棒，还有裤子，洋芋，都很好。而且客栈就和家一样，大家都是朋友的相处，还能一起喝茶，晚上可以一起吃火锅玩，还有ktv。房间更棒，加湿器，电热毯，热水，茶座，很满意。', '短评打分': 5}
{'短评内容': '服务很好，环境也是相当可以，大家氛围不错', '短评打分': 5}
