{'短评内容': '挺干净整洁的', '短评打分': 5}
{'短评内容': '不错，住着很舒服', '短评打分': 5}
{'短评内容': '非常干净，', '短评打分': 5}
{'短评内容': '早餐没有，附近小餐馆还方便', '短评打分': 5}
{'短评内容': '还不错 总体满意的', '短评打分': 5}
{'短评内容': '停车方便，工作人员态度很好', '短评打分': 5}
{'短评内容': '门禁挺严，电梯上楼需要前台刷卡。总的来说还不错，挺方便的', '短评打分': 5}
{'短评内容': '可以的', '短评打分': 5}
{'短评内容': '总体还行', '短评打分': 5}
{'短评内容': '没什么问题', '短评打分': 4}
{'短评内容': '第一次入住挺好', '短评打分': 5}
{'短评内容': '环境一般，比较实惠', '短评打分': 5}
{'短评内容': '还行', '短评打分': 4}
{'短评内容': '不错的，地铁口出来了很快就能找到', '短评打分': 5}
{'短评内容': '住了几次，总体还行', '短评打分': 4}
{'短评内容': '服务态度超好，吃饭方便，交通一般，自驾就无所谓了！', '短评打分': 3}
{'短评内容': '性价比还可以，旁边就是饭店很方便。前台的服务也很好。', '短评打分': 4}
{'短评内容': '帮同事订的，反馈还不错，我也经常入住这酒店，就是偶尔有蚊子，需要酒店注意下', '短评打分': 3}
{'短评内容': '还可以，在杭州这边算是比较便宜的了', '短评打分': 3}
