{'短评内容': '老板人很好，就是房间灯是坏的', '短评打分': 5}
{'短评内容': '很不错', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '第二次入住，环境小温馨，不错', '短评打分': 5}
{'短评内容': '性价比超级高！', '短评打分': 3}
{'短评内容': '我去了，给我说她接错单了！太度很恶劣！！！房间空调美什么用！直接冻感冒了！！？房间里电视直接是个废品！', '短评打分': 3}
{'短评内容': '前台接待服务好。房间整体挺干净的。离客运站特别近。早上阳光照进来特别美好！', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '国庆预定的房间，晚上过去住结果跟我说房间满了，我下午七点预定成功，晚上入住了却说没有房间了，就算没有房间了也不提醒客户，好在大厅服务员热情招待我才消消火，说是给我安排到他们的联盟酒店，说是安排豪华单间，结果进去一看，哎哎哎', '短评打分': 3}
{'短评内容': '还是不错 可以可以', '短评打分': 5}
{'短评内容': '各方面都还可以', '短评打分': 5}
{'短评内容': '位置好找，房间很漂亮，也很干净，出门坐车很方便，很不错。', '短评打分': 3}
{'短评内容': '房间很好，忘了评价，位置靠近车站挺安静。', '短评打分': 3}
{'短评内容': '条件很差，完全对不起这个价格', '短评打分': 3}
