{'短评内容': '设施太老旧，床头插座是坏的，房顶竟然没有灯只有台灯', '短评打分': 1}
{'短评内容': '很好，只是刚好有事去不了，服务员态度也好，退款很快。', '短评打分': 5}
{'短评内容': '离火车站近，出行方便', '短评打分': 4}
{'短评内容': '好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好', '短评打分': 5}
{'短评内容': '挺不错的，环境挺好，安静，舒适，地处位置也很好，出门方便，总体来说选择这里是很好的，价格也不贵，可以接受', '短评打分': 5}
{'短评内容': '老牌四星级，设备比较老，早餐种类较少，床太硬，酒店附近比较冷清，没什么人和饭店，但价位合适，物有所值吧', '短评打分': 3}
{'短评内容': '老牌四星级了，房间内一些电器什么的设施比较老，差点没找到电源开关在哪里。不过这个价位还行，算是物有所值吧', '短评打分': 3}
{'短评内容': '还不错～～～～～～～', '短评打分': 5}
{'短评内容': '环境特别好，酒店内整洁干净。', '短评打分': 5}
{'短评内容': '挺好的！住得挺舒服。', '短评打分': 5}
{'短评内容': '挺好的，服务热情！', '短评打分': 5}
{'短评内容': '挺好的，服务热情！', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '酒店离火车站很近，吃饭地点少！', '短评打分': 4}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '整体还是不错的。', '短评打分': 5}
{'短评内容': '总体来说都还不错！', '短评打分': 5}
{'短评内容': '总体都很好！', '短评打分': 5}
{'短评内容': '挺好', '短评打分': 5}
{'短评内容': '不错，方便', '短评打分': 5}
{'短评内容': '已经入住过几次，还算可以的啦！但是整体设施，没有夏威夷更值得推荐，同类型顾客，建议在2家酒店对比选择。', '短评打分': 5}
{'短评内容': '在火车站边上，酒店的性价比还是值得推荐的！', '短评打分': 5}
{'短评内容': '在孝感，200以内首推吧，虽然我没住什么夏威夷之类\n\n先说优点:\n1.酒店大厅、电梯入口接待人员态度不错，很孝感（蛮有孝感特点）\n2.2层的餐厅早餐很好，热干面一闻到味道就知道很正宗，服务也不错\n3.200以内的酒店，目前为止，只看到这一家卫生间里面是有座机的\n4.酒店会随机赠送水果（就是桃子有点硬，建议可以送的更好点）\n5.离火车站近\n\n缺点：\n1.离汽车站超远呐，打的要15左右吧，当时没打到，', '短评打分': 5}
{'短评内容': '火车站附近，档次和价格倒也相符，设施很一般，还行', '短评打分': 1}
{'短评内容': '酒店不错，建设大堂设背景音乐！', '短评打分': 3}
{'短评内容': '第一次入住感觉还不错!', '短评打分': 3}
{'短评内容': '来孝感入住锦怡大酒店是不错的选择。', '短评打分': 3}
{'短评内容': '交通方便，离火车站近，室内装饰有点陈旧，这个价位也只好这样吧', '短评打分': 5}
{'短评内容': '还不错 会考虑再次入住', '短评打分': 3}
{'短评内容': '不错的酒店，性价比很高。', '短评打分': 3}
{'短评内容': '总体感觉不错，服务比较好，就是餐厅饭菜的味道真不怎么样。', '短评打分': 5}
{'短评内容': '住宿条件非常好 价钱非常公道 服务非常周到  个人觉得出门在外 一是洗澡二是床单被罩我觉得这2点非常满意 其他更不用说了  各种设施条件 吹风机 睡衣 等都有 赞一个', '短评打分': 5}
{'短评内容': '这个价位的酒店，还是不错的，周围的环境一般，小地方嘛，不能要求太高，住着舒服就好', '短评打分': 5}
{'短评内容': '总的来说还可以，服务态度很好，还帮我订了去机场的的士，谢谢前台服务员。早餐太单调，凭早餐卷是免费的。安保方面应该提高一些，随便进进出出的人很多。', '短评打分': 5}
{'短评内容': '酒店环境蛮好滴  价格也很实惠，还是四星级的呢，虽然设施有点旧，但是想想这个价格也就平衡了。', '短评打分': 5}
{'短评内容': '蛮干净的 价格也比较适中  退房手续还算快\n不过我那个房间空调没隔壁的大····', '短评打分': 5}
{'短评内容': '毛巾既然还是烂的，这好象不该是挂着四星该出现的吧？主要是便宜，将就了。', '短评打分': 3}
{'短评内容': '房间是我喜欢的半复古式的装修风格，看着还很新，难道是新装过了？性价比很高', '短评打分': 5}
{'短评内容': '空调很好，热水充足，早餐丰富，感觉不错', '短评打分': 3}
{'短评内容': '还算不错的酒店，值得推荐吧。\n只是早餐有点不怎么的，能改进些就还了', '短评打分': 5}
{'短评内容': '这家酒店蛮不错，个人觉得性价比非常高，以后去孝感还会入住。', '短评打分': 5}
{'短评内容': '离火车站很近，房间还可以，但不是特别4星的档次，毕竟是老4星了，装修老了\n服务员热情', '短评打分': 5}
{'短评内容': '地理环境较好，但设施比较陈旧。希望下次能有提高', '短评打分': 1}
{'短评内容': '还行！比较老的四星酒店！！！！！！价格不贵。', '短评打分': 5}
{'短评内容': '喜欢这个酒店,但门卡的磁性不太好,要好长时间才能打开\u3000', '短评打分': 3}
{'短评内容': '此酒店离火车站近,交通方便,早餐也不错,品种较多,房内干净', '短评打分': 5}
{'短评内容': '很干净方便，也很安静舒适，下次去还会住那。', '短评打分': 5}
{'短评内容': '没什么特点，不像4星的标准。希望以后能改进', '短评打分': 1}
{'短评内容': '这是我一年来第三次入住此酒店。还有什么需要说的吗？', '短评打分': 5}
{'短评内容': '感觉还可以', '短评打分': 3}
{'短评内容': '不错，物有所值，价格、卫生、服务都可以。', '短评打分': 5}
{'短评内容': '酒店装修有些老气,很沉闷.房间里床有些硬,感觉枕头被人睡久了都给压扁了.酒店的服务还不错,这个价格来说算是性价比很高的了.', '短评打分': 5}
{'短评内容': '感觉还行。房间的灯光貌似不够亮。。不过可以接受。\n酒店的服务员 很亲切 给人的感觉不错 接线员也不错 普通话标准。。\n洗澡很舒服。。\n早餐的 大家还是早点去吃比较好 花样很多。晚了就没多少了', '短评打分': 5}
{'短评内容': '价格还可以接受，早饭还可以，服务也还算到位，浴室有点简陋，总体来说还算不错的，以后还住。', '短评打分': 5}
{'短评内容': '感觉这家酒店似乎是没人管理，连三星都不如。', '短评打分': 1}
{'短评内容': '酒店的设施太陈旧，服务也不规范。房间打扫得很不干净，早餐几乎相当于路边早餐，而且到了大年初一早上连仅有的两份蔬菜也没有了，问了服务员，竟然说厨师放假了，感到太不可思议，这就是所谓的四星级酒店，居然还会放假，干脆关门得了。\n房间里面淋雨安装的特高，挂衣架也特高，我162厘米的身高，不点着脚尖都够不着，大概这家酒店的老板是打篮球的吧。\n', '短评打分': 1}
{'短评内容': '酒店的设施太陈旧，服务也不规范。房间打扫得很不干净，早餐几乎相当于路边早餐，而且到了大年初一早上连仅有的两份蔬菜也没有了，问了服务员，竟然说厨师放假了，感到太不可思议，这就是所谓的四星级酒店，居然还会放假，干脆关门得了。\n房间里面淋雨安装的特高，挂衣架也特高，我162厘米的身高，不点着脚尖都够不着，大概这家酒店的老板是打篮球的吧。', '短评打分': 1}
{'短评内容': '酒店装修设施非常好，物超所值，下次有机会还住这家酒店', '短评打分': 3}
{'短评内容': '湖北孝感锦怡大酒店属四星级酒店，位于火车站附近，地处交通枢纽中心，店内环境安逸，标准间、单人间和豪华商务间内设免费宽带网线并配备电脑，房间格局精巧，适合远途而来的客人身心放松，另有果盘和优质矿泉水免费享用；自助早餐丰富多彩，粗细粮营养搭配合理，服务质量上乘，酒店房费适中，是外出旅游休闲和商务人士旅途休憩的首选酒店，本人自2010年12月至2011年1月连续4次次入住该酒店...', '短评打分': 5}
{'短评内容': '交通方便、服务周到、饭菜不错，在孝感应该是最好的酒店之一了。谢谢!', '短评打分': 5}
{'短评内容': ' 大堂装修豪华，服务人员热情，但房间卫浴设施比较陈旧。', '短评打分': 3}
{'短评内容': '   要求改订万事达国际大酒店', '短评打分': 3}
{'短评内容': '和它的价位相比还是可以的，但与四星相比还存在相当的差距。可能四星标准是因地而宜的。', '短评打分': 5}
{'短评内容': '酒店性价比较好 早餐一般 值得推荐入住', '短评打分': 3}
{'短评内容': '环境不错，交通便利，离孝感火车站走十分钟。', '短评打分': 3}
{'短评内容': '在孝感来说，这是一家很不错的酒店了\n不足：\n1、没有空调，也没有任何取暖设施，比较冷\n2、网速很快，但奇怪的是浏览网页很慢，下载速度反倒不错', '短评打分': 5}
{'短评内容': '还可以,好象达不到准四的样子', '短评打分': 5}
{'短评内容': '不错，比较适合于商务，价格合理。下次还住此地。', '短评打分': 5}
{'短评内容': '设施, 交通均好.\r\n就是里面吃饭不太方便,  没有适合几个人小聚的餐食. 全是大桌子.', '短评打分': 5}
{'短评内容': '无西餐，装饰陈旧，房间有点阴暗，不能使用VISA信用卡\r\n总体不像星级酒店', '短评打分': 3}
{'短评内容': '酒店环境优雅，服务态度很好', '短评打分': 5}
{'短评内容': '不错，挺好的', '短评打分': 5}
{'短评内容': '+性价比好，交通方便，非常适合公差人士。', '短评打分': 5}
{'短评内容': '新铺的床单上有头发,给忍了;太阳能的24小时热水早上不热,给问了,没解决;酒店餐厅上的小碗米饭是馊的,给换了。', '短评打分': 5}
{'短评内容': '离火车站近，出行方便。酒店比较干净，就是灯光有点暗。', '短评打分': 3}
{'短评内容': '不是标准星级酒店，不能币VISA外币卡，不能兑换外币', '短评打分': 3}
{'短评内容': '外币信用卡无法使用', '短评打分': 5}
{'短评内容': '离火车站比较近，感觉性价比还行，就是装修有点陈旧！', '短评打分': 3}
{'短评内容': '装饰有点陈旧，其他的还好，性价比比较高！', '短评打分': 5}
{'短评内容': '照明设施有点不行', '短评打分': 5}
{'短评内容': '还不错...', '短评打分': 5}
{'短评内容': '和4星级的水准相差太远！', '短评打分': 1}
{'短评内容': '感觉不错，性价比高', '短评打分': 3}
{'短评内容': '很不错', '短评打分': 5}
{'短评内容': 'wegfzmkj,zdfdf ', '短评打分': 5}
{'短评内容': '性价不错，房间设施也很好，前台服务有不够专业', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '性价比较高地酒店。', '短评打分': 5}
{'短评内容': '还可以吧', '短评打分': 5}
