{'短评内容': '非常棒', '短评打分': 5}
{'短评内容': '酒店没有早餐，门前可以停几辆车，位置在草园胡同，离簋街比较近，走过去大约五分钟，吃饭比较方便，退房一般可以延迟1小时', '短评打分': 4}
{'短评内容': '酒店位置不错，性价比高。', '短评打分': 4}
{'短评内容': '酒店位置不错，性价比高。', '短评打分': 4}
{'短评内容': '酒店位置不错，交通便利，和周边酒店比较性价比高', '短评打分': 4}
{'短评内容': '是在一个巷子里，公交地铁很方便，环境还算可以', '短评打分': 3}
{'短评内容': '还不错，比预期好', '短评打分': 4}
{'短评内容': '一般般的！', '短评打分': 3}
{'短评内容': '这个酒店简直了，本来预定的十一点入住，后来因为赶不到，修改的入住时间十一点五十九分，然后酒店前台打电话说等不了那么晚，让我加她微信给她转100元红包做押金，不然房间不给留，因为那天太晚了，就加了微信转了钱，后来我们费了九牛二虎之力终于找到酒店，剩下房费又转的红包，100押金是给的现金，（估计前台小姑娘自己把钱扣了）一进房间，就傻了，被子很脏发黄的那种，窗户不能锁，因为是二楼考虑到安全问题，要求酒店', '短评打分': 2}
{'短评内容': '可以吧', '短评打分': 4}
{'短评内容': '总体还好，安静', '短评打分': 5}
{'短评内容': '宾馆服务很好，簋街附近吃东西超方便，不过装修旧了点！', '短评打分': 4}
{'短评内容': '酒店位置很好，出行方便，价格也不贵。喜欢麻小的可以去簋街过足瘾。但酒店设施比较老，卫生情况也实在不敢恭维，第二天一早赶火车，叫了前台的服务员五六分钟后才有应答的', '短评打分': 3}
{'短评内容': '优点是房间坐落安静，北京老胡同里面。出门到簋街非常方便，不行不到十分钟。到雍和宫也很方便，不行也在10分钟左右。卫生条件一般，毕竟价格就这样。', '短评打分': 4}
{'短评内容': '大部分方面都挺好的，就是洗澡水太凉了，勉强温乎乎。', '短评打分': 4}
{'短评内容': '只能作为一个歇脚的地方，不能叫宾馆，比如早出晚归的哪一种，晚上歇脚的地方。公用的卫生间和洗浴。', '短评打分': 1}
{'短评内容': '没住过比这个再差劲的酒店了，敢问您是八十年代的招待所吗？房间门居然还是钥匙的，屋里面一切都很陈旧，厕所内的瓷砖泛着我爹妈那年代的黄色，而且居然还限制热水供应！！强烈建议你们改成八十年代招待所特色体验主题酒店！！这样我或许还不会这么愤懑', '短评打分': 1}
{'短评内容': '从没注过这么差的宾馆', '短评打分': 3}
{'短评内容': '服务员态度特别恶劣，是一家私人开的酒店，反正挺破的。唯一一个优点就是地理位置不错，出了门往前走不多远就是簋街。', '短评打分': 1}
{'短评内容': '草原酒店被褥和床挺干净的，就是公用卫生间小些。服务态度挺好的', '短评打分': 3}
{'短评内容': '还不错，就是有点旧', '短评打分': 3}
{'短评内容': '安静舒适，胡同内远离喧哗。离马路约60米，周围就餐方便，店内有微波炉帮热饭，有点家的感觉。房间虽旧，但空间较大。交通方便，106路，406路，24路，地铁北新桥站都在周围', '短评打分': 5}
{'短评内容': '地理位置，环境，硬件，服务都很差！', '短评打分': 3}
{'短评内容': ' 在胡同里不好找啊  旧楼改造的房子  条件非常一般  心里价位最多130  结果普通两人标间198', '短评打分': 3}
